instrument,side,units,entry_time,exit_time,entry_price,exit_price,stop_price,pnl,r_multiple,bars_held,spread_paid_pips,exit_reason,fill_timing
GBP_USD,short,246,2021-12-30T06:00:00+00:00,2021-12-30T10:00:00+00:00,1.345795,1.35095,1.35095,-1.268130,-1,1,1.7,stop,signal_bar_close
GBP_USD,long,230,2021-12-31T06:00:00+00:00,2022-01-03T06:00:00+00:00,1.351145,1.35164,1.34564,0.113850,0.08991825613079019073569482289,6,1.9,time,signal_bar_close
GBP_USD,long,215,2022-01-04T06:00:00+00:00,2022-01-05T06:00:00+00:00,1.351325,1.35309,1.34546,0.379475,0.3009377664109121909633418585,6,1.5,time,signal_bar_close
GBP_USD,short,201,2022-01-06T06:00:00+00:00,2022-01-07T06:00:00+00:00,1.351035,1.35562,1.35732,-0.921585,-0.7295147175815433571996817820,6,1.9,time,signal_bar_close
GBP_USD,long,208,2022-01-07T06:00:00+00:00,2022-01-10T06:00:00+00:00,1.355720,1.35816,1.34965,0.507520,0.4019769357495881383855024712,6,2.0,time,signal_bar_close
GBP_USD,long,216,2022-01-11T06:00:00+00:00,2022-01-12T06:00:00+00:00,1.361105,1.36261,1.35524,0.325080,0.2566069906223358908780903666,6,1.9,time,signal_bar_close
GBP_USD,short,206,2022-01-12T06:00:00+00:00,2022-01-12T14:00:00+00:00,1.362515,1.36865,1.36865,-1.263810,-1,2,1.9,stop,signal_bar_close
GBP_USD,long,216,2022-01-13T06:00:00+00:00,2022-01-14T06:00:00+00:00,1.373910,1.37336,1.36808,-0.118800,-0.09433962264150943396226415094,6,1.8,time,signal_bar_close
GBP_USD,long,219,2022-01-19T06:00:00+00:00,2022-01-20T06:00:00+00:00,1.361560,1.36262,1.35579,0.232140,0.1837088388214904679376083189,6,2.0,time,signal_bar_close
GBP_USD,short,225,2022-01-21T06:00:00+00:00,2022-01-24T06:00:00+00:00,1.356695,1.35261,1.36231,0.919125,0.7275155832591273374888691006,6,1.7,time,signal_bar_close
GBP_USD,short,238,2022-01-24T06:00:00+00:00,2022-01-25T06:00:00+00:00,1.352340,1.34837,1.35767,0.944860,0.7448405253283302063789868668,6,1.8,time,signal_bar_close
GBP_USD,short,205,2022-01-27T06:00:00+00:00,2022-01-28T06:00:00+00:00,1.342495,1.33831,1.34867,0.857925,0.6777327935222672064777327935,6,2.1,time,signal_bar_close
GBP_USD,short,199,2022-01-28T06:00:00+00:00,2022-01-31T06:00:00+00:00,1.338040,1.34441,1.34441,-1.267630,-1,6,1.8,stop,signal_bar_close
GBP_USD,long,188,2022-01-31T06:00:00+00:00,2022-02-01T06:00:00+00:00,1.344700,1.34974,1.33799,0.947520,0.7511177347242921013412816692,6,1.8,time,signal_bar_close
GBP_USD,long,189,2022-02-01T06:00:00+00:00,2022-02-02T06:00:00+00:00,1.350025,1.35405,1.34333,0.760725,0.6011949215832710978342046303,6,1.9,time,signal_bar_close
GBP_USD,long,202,2022-02-02T06:00:00+00:00,2022-02-03T06:00:00+00:00,1.354350,1.35571,1.34806,0.274720,0.2162162162162162162162162162,6,2.0,time,signal_bar_close
GBP_USD,short,198,2022-02-04T06:00:00+00:00,2022-02-07T06:00:00+00:00,1.356730,1.35168,1.36315,0.999900,0.7866043613707165109034267913,6,1.8,time,signal_bar_close
GBP_USD,long,199,2022-02-08T06:00:00+00:00,2022-02-09T06:00:00+00:00,1.355340,1.3568,1.34895,0.290540,0.2284820031298904538341158059,6,1.8,time,signal_bar_close
GBP_USD,long,213,2022-02-09T06:00:00+00:00,2022-02-10T06:00:00+00:00,1.357070,1.35706,1.35110,-0.002130,-0.001675041876046901172529313233,6,1.8,time,signal_bar_close
GBP_USD,long,228,2022-02-10T06:00:00+00:00,2022-02-11T06:00:00+00:00,1.357345,1.35176,1.35176,-1.273380,-1,6,1.9,stop,signal_bar_close
GBP_USD,long,158,2022-02-11T06:00:00+00:00,2022-02-14T06:00:00+00:00,1.355805,1.35121,1.34778,-0.726010,-0.5725856697819314641744548287,6,1.9,time,signal_bar_close
