instrument,side,units,entry_time,exit_time,entry_price,exit_price,stop_price,pnl,r_multiple,bars_held,spread_paid_pips,exit_reason,fill_timing
EUR_USD,short,196,2022-06-28T09:00:00+00:00,2022-06-29T09:00:00+00:00,1.053635,1.05219,1.06006,0.283220,0.2249027237354085603112840467,6,1.5,time,signal_bar_close
EUR_USD,long,193,2022-06-29T09:00:00+00:00,2022-06-29T13:00:00+00:00,1.052260,1.04572,1.04572,-1.262220,-1,1,1.4,stop,signal_bar_close
EUR_USD,short,190,2022-06-30T09:00:00+00:00,2022-06-30T13:00:00+00:00,1.039650,1.04628,1.04628,-1.259700,-1,1,1.4,stop,signal_bar_close
EUR_USD,short,174,2022-07-01T09:00:00+00:00,2022-07-04T09:00:00+00:00,1.040515,1.04517,1.04773,-0.809970,-0.6451836451836451836451836452,6,1.5,time,signal_bar_close
EUR_USD,long,174,2022-07-04T09:00:00+00:00,2022-07-05T05:00:00+00:00,1.045245,1.03806,1.03806,-1.250190,-1,5,1.5,stop,signal_bar_close
EUR_USD,short,158,2022-07-05T09:00:00+00:00,2022-07-06T09:00:00+00:00,1.029035,1.0188,1.03693,1.617130,1.296390120329322355921469284,6,1.5,time,signal_bar_close
EUR_USD,short,158,2022-07-06T09:00:00+00:00,2022-07-07T09:00:00+00:00,1.018590,1.0171,1.02648,0.235420,0.1888466413181242078580481622,6,1.4,time,signal_bar_close
EUR_USD,short,162,2022-07-07T09:00:00+00:00,2022-07-08T09:00:00+00:00,1.016875,1.01438,1.02461,0.404190,0.3225597931480284421460892049,6,1.5,time,signal_bar_close
EUR_USD,long,154,2022-07-12T09:00:00+00:00,2022-07-13T09:00:00+00:00,1.005475,1.00194,0.99736,-0.544390,-0.4356130622304374614910659273,6,1.5,time,signal_bar_close
EUR_USD,short,136,2022-07-14T09:00:00+00:00,2022-07-15T09:00:00+00:00,1.000080,1.00733,1.00927,-0.986000,-0.7889009793253536452665941240,6,1.4,time,signal_bar_close
EUR_USD,short,139,2022-07-26T09:00:00+00:00,2022-07-27T09:00:00+00:00,1.014695,1.01437,1.02369,0.045175,0.03613118399110617009449694275,6,1.5,time,signal_bar_close
EUR_USD,short,138,2022-08-02T09:00:00+00:00,2022-08-03T09:00:00+00:00,1.021050,1.0187,1.03005,0.324300,0.2611111111111111111111111111,6,1.4,time,signal_bar_close
EUR_USD,short,178,2022-08-05T09:00:00+00:00,2022-08-08T09:00:00+00:00,1.015670,1.01994,1.02271,-0.760060,-0.6065340909090909090909090909,6,1.4,time,signal_bar_close
EUR_USD,long,216,2022-08-10T09:00:00+00:00,2022-08-11T09:00:00+00:00,1.032550,1.03464,1.02674,0.451440,0.3597246127366609294320137694,6,1.4,time,signal_bar_close
EUR_USD,long,168,2022-08-11T09:00:00+00:00,2022-08-12T09:00:00+00:00,1.034865,1.02744,1.02744,-1.247400,-1,6,1.5,stop,signal_bar_close
EUR_USD,short,184,2022-08-12T09:00:00+00:00,2022-08-15T09:00:00+00:00,1.026935,1.02014,1.03372,1.250280,1.001473839351510685335298452,6,1.3,time,signal_bar_close
EUR_USD,short,198,2022-08-19T09:00:00+00:00,2022-08-22T09:00:00+00:00,1.006410,1.00069,1.01273,1.132560,0.9050632911392405063291139241,6,1.4,time,signal_bar_close
EUR_USD,short,187,2022-08-24T09:00:00+00:00,2022-08-24T13:00:00+00:00,0.992705,0.99942,0.99942,-1.255705,-1,1,1.5,stop,signal_bar_close
EUR_USD,long,177,2022-08-26T09:00:00+00:00,2022-08-26T17:00:00+00:00,1.003435,0.99638,0.99638,-1.248735,-1,2,1.5,stop,signal_bar_close
EUR_USD,long,159,2022-08-29T09:00:00+00:00,2022-08-30T09:00:00+00:00,1.001005,1.00109,0.99319,0.013515,0.01087651951375559820857325656,6,1.5,time,signal_bar_close
EUR_USD,short,150,2022-09-01T09:00:00+00:00,2022-09-02T09:00:00+00:00,0.998700,1.00113,1.00701,-0.364500,-0.2924187725631768953068592058,6,1.4,time,signal_bar_close
EUR_USD,long,154,2022-09-02T09:00:00+00:00,2022-09-04T21:00:00+00:00,1.001200,0.99314,0.99314,-1.241240,-1,3,1.4,stop,signal_bar_close
EUR_USD,short,160,2022-09-06T09:00:00+00:00,2022-09-07T09:00:00+00:00,0.989905,0.98938,0.99768,0.084000,0.06752411575562700964630225080,6,1.3,time,signal_bar_close
