instrument,side,units,entry_time,exit_time,entry_price,exit_price,stop_price,pnl,r_multiple,bars_held,spread_paid_pips,exit_reason,fill_timing
NZD_USD,short,190,2022-07-05T09:00:00+00:00,2022-07-06T09:00:00+00:00,0.614300,0.61805,0.62098,-0.712500,-0.5613772455089820359281437126,6,2.4,time,signal_bar_close
NZD_USD,long,212,2022-07-12T09:00:00+00:00,2022-07-13T09:00:00+00:00,0.613435,0.60996,0.60745,-0.736700,-0.5806182121971595655806182122,6,2.3,time,signal_bar_close
NZD_USD,long,188,2022-08-01T09:00:00+00:00,2022-08-02T09:00:00+00:00,0.633625,0.62834,0.62690,-0.993580,-0.7858736059479553903345724907,6,2.5,time,signal_bar_close
NZD_USD,long,201,2022-08-08T09:00:00+00:00,2022-08-09T09:00:00+00:00,0.629700,0.62839,0.62342,-0.263310,-0.2085987261146496815286624204,6,2.4,time,signal_bar_close
NZD_USD,short,192,2022-08-19T09:00:00+00:00,2022-08-22T09:00:00+00:00,0.621225,0.61992,0.62782,0.250560,0.1978771796815769522365428355,6,2.5,time,signal_bar_close
NZD_USD,short,207,2022-08-24T09:00:00+00:00,2022-08-25T05:00:00+00:00,0.617165,0.62328,0.62328,-1.265805,-1,5,2.3,stop,signal_bar_close
NZD_USD,short,146,2022-09-27T09:00:00+00:00,2022-09-28T09:00:00+00:00,0.567185,0.56476,0.57576,0.354050,0.2827988338192419825072886297,6,2.5,time,signal_bar_close
NZD_USD,short,143,2022-09-30T09:00:00+00:00,2022-10-03T09:00:00+00:00,0.567410,0.5678,0.57618,-0.055770,-0.04446978335233751425313568985,6,2.4,time,signal_bar_close
NZD_USD,long,142,2022-10-03T09:00:00+00:00,2022-10-04T09:00:00+00:00,0.567915,0.57085,0.55906,0.416770,0.3314511575381140598531902880,6,2.3,time,signal_bar_close
NZD_USD,short,122,2022-10-06T09:00:00+00:00,2022-10-07T09:00:00+00:00,0.570450,0.56276,0.58074,0.938180,0.7473275024295432458697764820,6,2.4,time,signal_bar_close
NZD_USD,long,137,2022-10-17T09:00:00+00:00,2022-10-18T09:00:00+00:00,0.563150,0.57121,0.55395,1.104220,0.8760869565217391304347826087,6,2.4,time,signal_bar_close
NZD_USD,long,140,2022-10-18T09:00:00+00:00,2022-10-19T09:00:00+00:00,0.571585,0.56638,0.56255,-0.728700,-0.5760929717764250138350857775,6,2.5,time,signal_bar_close
NZD_USD,long,161,2022-10-20T09:00:00+00:00,2022-10-21T09:00:00+00:00,0.568705,0.56087,0.56087,-1.261435,-1,6,2.5,stop,signal_bar_close
NZD_USD,long,164,2022-11-01T09:00:00+00:00,2022-11-02T09:00:00+00:00,0.589395,0.58805,0.58172,-0.220580,-0.1752442996742671009771986971,6,2.5,time,signal_bar_close
NZD_USD,short,149,2022-11-03T09:00:00+00:00,2022-11-04T05:00:00+00:00,0.574185,0.58261,0.58261,-1.255325,-1,5,2.5,stop,signal_bar_close
NZD_USD,long,129,2022-11-11T06:00:00+00:00,2022-11-14T06:00:00+00:00,0.605455,0.60811,0.59574,0.342495,0.2732887287699433865156973752,6,2.5,time,signal_bar_close
NZD_USD,short,172,2022-11-21T06:00:00+00:00,2022-11-22T06:00:00+00:00,0.610530,0.6149,0.61782,-0.751640,-0.5994513031550068587105624143,6,2.4,time,signal_bar_close
NZD_USD,long,162,2022-12-01T06:00:00+00:00,2022-12-02T06:00:00+00:00,0.634545,0.64064,0.62682,0.987390,0.7889967637540453074433656958,6,2.5,time,signal_bar_close
NZD_USD,long,165,2022-12-02T06:00:00+00:00,2022-12-02T10:00:00+00:00,0.641015,0.63338,0.63338,-1.259775,-1,1,2.5,stop,signal_bar_close
NZD_USD,short,181,2022-12-09T06:00:00+00:00,2022-12-12T06:00:00+00:00,0.637045,0.64203,0.64399,-0.902285,-0.7177825773938084953203743701,6,2.5,time,signal_bar_close
NZD_USD,short,180,2022-12-15T06:00:00+00:00,2022-12-15T22:00:00+00:00,0.637745,0.6352,0.64473,0.458100,0.3643521832498210450966356478,4,2.5,eod,signal_bar_close
