instrument,side,units,entry_time,exit_time,entry_price,exit_price,stop_price,pnl,r_multiple,bars_held,spread_paid_pips,exit_reason,fill_timing
USD_CAD,short,296,2025-06-16T09:00:00+00:00,2025-06-17T09:00:00+00:00,1.355820,1.35839,1.36162,-0.5600159011771288068963994140,-0.3261975193249818306712484937,6,1.8,time,signal_bar_close
USD_CAD,short,283,2025-06-18T09:00:00+00:00,2025-06-19T01:00:00+00:00,1.364565,1.37067,1.37067,-1.260489395696994900304230778,-0.7295702101891775555020537403,4,1.9,stop,signal_bar_close
USD_CAD,long,298,2025-06-20T09:00:00+00:00,2025-06-23T09:00:00+00:00,1.372025,1.37817,1.36621,1.328725774033682346880283274,0.7667775274738914903485450576,6,1.9,time,signal_bar_close
USD_CAD,long,296,2025-06-23T09:00:00+00:00,2025-06-23T13:00:00+00:00,1.378425,1.37253,1.37253,-1.271316473956853402111429258,-0.7285815246296984401069557676,1,1.7,stop,signal_bar_close
USD_CAD,short,291,2025-06-24T09:00:00+00:00,2025-06-25T09:00:00+00:00,1.370470,1.37403,1.37642,-0.7539573371760441911748651776,-0.4354485183955899339714488883,6,2.0,time,signal_bar_close
USD_CAD,long,320,2025-06-25T09:00:00+00:00,2025-06-26T05:00:00+00:00,1.374125,1.36870,1.36870,-1.268356834952874990867246292,-0.7306202966318404325272156060,5,1.9,stop,signal_bar_close
USD_CAD,short,308,2025-06-26T09:00:00+00:00,2025-06-27T09:00:00+00:00,1.366980,1.36436,1.37256,0.5914568002579964232314052010,0.3441423452602036629145168278,6,1.8,time,signal_bar_close
USD_CAD,long,280,2025-07-01T09:00:00+00:00,2025-07-02T09:00:00+00:00,1.362890,1.36494,1.35677,0.4205313054053658036250677685,0.2454080913896859264852169517,6,1.8,time,signal_bar_close
USD_CAD,long,321,2025-07-03T09:00:00+00:00,2025-07-03T13:00:00+00:00,1.361895,1.35654,1.35654,-1.267161307443938254677340882,-0.7371695637430521768617217333,1,1.9,stop,signal_bar_close
USD_CAD,long,296,2025-07-04T09:00:00+00:00,2025-07-07T09:00:00+00:00,1.360660,1.3647,1.35488,0.8762658459734740235949292885,0.5121725930360247495995799171,6,2.0,time,signal_bar_close
USD_CAD,long,336,2025-07-10T09:00:00+00:00,2025-07-11T09:00:00+00:00,1.369375,1.36778,1.36423,-0.3918173975346912515170568366,-0.2266517409034957954538946947,6,1.9,time,signal_bar_close
USD_CAD,short,289,2025-07-11T09:00:00+00:00,2025-07-14T09:00:00+00:00,1.367680,1.36908,1.37365,-0.2955269231892950010225845093,-0.1712871874883616473501211416,6,2.0,time,signal_bar_close
USD_CAD,short,323,2025-07-15T09:00:00+00:00,2025-07-15T13:00:00+00:00,1.367275,1.37262,1.37262,-1.257766169806647141962087103,-0.7285337529687750433477583014,1,1.9,stop,signal_bar_close
USD_CAD,long,338,2025-07-16T09:00:00+00:00,2025-07-17T09:00:00+00:00,1.372695,1.37585,1.36760,0.7750772249881891194534287895,0.4500741677292328129175423112,6,1.7,time,signal_bar_close
USD_CAD,long,305,2025-07-17T09:00:00+00:00,2025-07-18T09:00:00+00:00,1.376090,1.37042,1.37042,-1.261912406415551436785802893,-0.7297033026371477357306519172,6,1.6,stop,signal_bar_close
USD_CAD,short,330,2025-07-18T09:00:00+00:00,2025-07-21T09:00:00+00:00,1.370215,1.37005,1.37542,0.03974307507025291047771979125,0.02313805203053760106990352589,6,1.7,time,signal_bar_close
USD_CAD,short,358,2025-07-21T09:00:00+00:00,2025-07-22T09:00:00+00:00,1.369780,1.36806,1.37459,0.4500972179582766837711796266,0.2613835340470137189579319310,6,1.8,time,signal_bar_close
USD_CAD,long,365,2025-07-24T09:00:00+00:00,2025-07-25T09:00:00+00:00,1.361990,1.36846,1.35729,1.725698960875728921561463251,1.005945182673115081061768144,6,1.8,time,signal_bar_close
USD_CAD,long,350,2025-07-25T09:00:00+00:00,2025-07-28T09:00:00+00:00,1.368715,1.37169,1.36378,0.7591000882123511872216025487,0.4394847811332182296839499486,6,1.7,time,signal_bar_close
USD_CAD,short,342,2025-08-01T09:00:00+00:00,2025-08-04T09:00:00+00:00,1.379490,1.37743,1.38459,0.5114742672948897584632249915,0.2932429006391983479321322047,6,1.8,time,signal_bar_close
USD_CAD,long,419,2025-08-29T09:00:00+00:00,2025-08-29T13:00:00+00:00,1.377210,1.37304,1.37304,-1.272526656178989687117636777,-0.7283109013575715201305133136,1,1.6,stop,signal_bar_close
USD_CAD,long,411,2025-09-02T09:00:00+00:00,2025-09-03T09:00:00+00:00,1.381040,1.37982,1.37679,-0.3633952254641909814323607427,-0.2080407759920944505123004109,6,1.6,time,signal_bar_close
USD_CAD,short,367,2025-09-08T09:00:00+00:00,2025-09-09T09:00:00+00:00,1.379160,1.38238,1.38391,-0.8548590112704176854410509411,-0.4903823383166027164440275010,6,1.8,time,signal_bar_close
USD_CAD,long,353,2025-10-30T09:00:00+00:00,2025-10-31T09:00:00+00:00,1.400325,1.40273,1.39532,0.6052233858262103184504501936,0.3425602079655247406703495901,6,1.9,time,signal_bar_close
USD_CAD,short,373,2025-11-10T06:00:00+00:00,2025-11-11T06:00:00+00:00,1.401000,1.40346,1.40574,-0.6537984694968150143217476807,-0.3697913312614195621778869474,6,1.8,time,signal_bar_close
USD_CAD,long,391,2025-11-24T06:00:00+00:00,2025-11-25T06:00:00+00:00,1.411560,1.41148,1.40701,-0.02216113582905886020347436733,-0.01245672456033212119022757501,6,1.6,time,signal_bar_close
