instrument,side,units,entry_time,exit_time,entry_price,exit_price,stop_price,pnl,r_multiple,bars_held,spread_paid_pips,exit_reason,fill_timing
EUR_USD,long,272,2021-12-30T02:00:00+00:00,2021-12-31T02:00:00+00:00,1.132730,1.131,1.12808,-0.470560,-0.3720430107526881720430107527,6,1.4,time,signal_bar_close
EUR_USD,short,250,2021-12-31T02:00:00+00:00,2021-12-31T14:00:00+00:00,1.130925,1.13599,1.13599,-1.266250,-1,3,1.5,stop,signal_bar_close
EUR_USD,long,231,2022-01-03T06:00:00+00:00,2022-01-03T14:00:00+00:00,1.135325,1.12987,1.12987,-1.260105,-1,2,1.5,stop,signal_bar_close
EUR_USD,long,261,2022-01-10T10:00:00+00:00,2022-01-11T10:00:00+00:00,1.129850,1.13253,1.12502,0.699480,0.5548654244306418219461697723,6,1.4,time,signal_bar_close
EUR_USD,long,269,2022-01-25T10:00:00+00:00,2022-01-26T10:00:00+00:00,1.127715,1.12817,1.12303,0.122395,0.09711846318036286019210245464,6,1.5,time,signal_bar_close
EUR_USD,long,194,2022-02-04T02:00:00+00:00,2022-02-07T02:00:00+00:00,1.146150,1.14299,1.13969,-0.613040,-0.4891640866873065015479876161,6,1.4,time,signal_bar_close
EUR_USD,short,200,2022-02-16T14:00:00+00:00,2022-02-17T14:00:00+00:00,1.137280,1.13601,1.14356,0.254000,0.2022292993630573248407643312,6,1.4,time,signal_bar_close
EUR_USD,short,119,2022-03-11T06:00:00+00:00,2022-03-14T05:00:00+00:00,1.096615,1.09573,1.10706,0.105315,0.08472953566299664911440880804,6,1.3,time,signal_bar_close
EUR_USD,short,159,2022-03-31T09:00:00+00:00,2022-04-01T09:00:00+00:00,1.110075,1.10449,1.11795,0.888015,0.7092063492063492063492063492,6,1.5,time,signal_bar_close
EUR_USD,long,202,2022-04-18T05:00:00+00:00,2022-04-19T05:00:00+00:00,1.079345,1.081,1.07311,0.334310,0.2654370489174017642341619888,6,1.5,time,signal_bar_close
EUR_USD,long,170,2022-05-18T05:00:00+00:00,2022-05-19T05:00:00+00:00,1.050925,1.04955,1.04353,-0.233750,-0.1859364435429344151453684922,6,1.5,time,signal_bar_close
EUR_USD,long,174,2022-05-25T01:00:00+00:00,2022-05-26T01:00:00+00:00,1.070705,1.06817,1.06349,-0.441090,-0.3513513513513513513513513514,6,1.5,time,signal_bar_close
