instrument,side,units,entry_time,exit_time,entry_price,exit_price,stop_price,pnl,r_multiple,bars_held,spread_paid_pips,exit_reason,fill_timing
GBP_USD,short,200,2022-01-07T02:00:00+00:00,2022-01-10T02:00:00+00:00,1.354280,1.35864,1.36061,-0.872000,-0.6887835703001579778830963665,6,1.8,time,signal_bar_close
GBP_USD,long,210,2022-01-12T10:00:00+00:00,2022-01-13T10:00:00+00:00,1.367890,1.37376,1.36188,1.232700,0.9767054908485856905158069884,6,1.8,time,signal_bar_close
GBP_USD,short,225,2022-01-26T06:00:00+00:00,2022-01-27T06:00:00+00:00,1.350815,1.34281,1.35645,1.801125,1.420585625554569653948535936,6,1.7,time,signal_bar_close
GBP_USD,long,193,2022-02-02T02:00:00+00:00,2022-02-03T02:00:00+00:00,1.352260,1.35522,1.34565,0.571280,0.4478063540090771558245083207,6,2.2,time,signal_bar_close
GBP_USD,long,180,2022-02-04T14:00:00+00:00,2022-02-07T14:00:00+00:00,1.353665,1.3516,1.34661,-0.371700,-0.2927002126151665485471296953,6,1.7,time,signal_bar_close
GBP_USD,short,211,2022-02-09T14:00:00+00:00,2022-02-10T14:00:00+00:00,1.353695,1.35972,1.35972,-1.271275,-1,6,1.9,stop,signal_bar_close
GBP_USD,long,157,2022-02-11T06:00:00+00:00,2022-02-14T06:00:00+00:00,1.355805,1.35121,1.34778,-0.721415,-0.5725856697819314641744548287,6,1.9,time,signal_bar_close
GBP_USD,long,177,2022-02-17T14:00:00+00:00,2022-02-18T14:00:00+00:00,1.362535,1.3582,1.35540,-0.767295,-0.6075683251576734407848633497,6,1.7,time,signal_bar_close
GBP_USD,long,137,2022-02-25T10:00:00+00:00,2022-02-28T10:00:00+00:00,1.340080,1.34117,1.33088,0.149330,0.1184782608695652173913043478,6,2.0,time,signal_bar_close
GBP_USD,short,147,2022-03-03T06:00:00+00:00,2022-03-04T06:00:00+00:00,1.337905,1.33057,1.34649,1.078245,0.8543972044263249854397204426,6,1.9,time,signal_bar_close
GBP_USD,long,155,2022-03-16T01:00:00+00:00,2022-03-17T01:00:00+00:00,1.305235,1.31563,1.29707,1.611225,1.273116962645437844458052664,6,1.9,time,signal_bar_close
GBP_USD,short,154,2022-03-25T13:00:00+00:00,2022-03-28T13:00:00+00:00,1.318780,1.30909,1.32700,1.492260,1.178832116788321167883211679,6,2.0,time,signal_bar_close
GBP_USD,short,143,2022-03-29T13:00:00+00:00,2022-03-30T13:00:00+00:00,1.308375,1.31723,1.31723,-1.266265,-1,6,2.1,stop,signal_bar_close
GBP_USD,long,167,2022-04-01T01:00:00+00:00,2022-04-04T01:00:00+00:00,1.313295,1.31172,1.30568,-0.263025,-0.2068286277084701247537754432,6,2.1,time,signal_bar_close
GBP_USD,short,197,2022-04-08T09:00:00+00:00,2022-04-11T09:00:00+00:00,1.302135,1.30376,1.30858,-0.320125,-0.2521334367726920093095422808,6,1.7,time,signal_bar_close
GBP_USD,short,201,2022-04-12T01:00:00+00:00,2022-04-13T01:00:00+00:00,1.302410,1.30049,1.30874,0.385920,0.3033175355450236966824644550,6,2.0,time,signal_bar_close
GBP_USD,long,161,2022-04-13T17:00:00+00:00,2022-04-14T13:00:00+00:00,1.311940,1.30406,1.30406,-1.268680,-1,5,2.4,stop,signal_bar_close
GBP_USD,short,208,2022-04-19T05:00:00+00:00,2022-04-20T05:00:00+00:00,1.303855,1.30306,1.30994,0.165360,0.1306491372226787181594083813,6,1.7,time,signal_bar_close
GBP_USD,long,192,2022-04-21T01:00:00+00:00,2022-04-22T01:00:00+00:00,1.305355,1.30253,1.29874,-0.542400,-0.4270597127739984882842025699,6,2.1,time,signal_bar_close
GBP_USD,long,102,2022-05-09T05:00:00+00:00,2022-05-10T05:00:00+00:00,1.227225,1.23369,1.21489,0.659430,0.5241183623834616943656262667,6,1.7,time,signal_bar_close
GBP_USD,short,108,2022-05-12T05:00:00+00:00,2022-05-13T05:00:00+00:00,1.217820,1.22066,1.22950,-0.306720,-0.2431506849315068493150684932,6,1.6,time,signal_bar_close
GBP_USD,short,112,2022-05-19T13:00:00+00:00,2022-05-20T13:00:00+00:00,1.249615,1.2473,1.26089,0.259280,0.2053215077605321507760532151,6,2.3,time,signal_bar_close
GBP_USD,short,127,2022-05-23T09:00:00+00:00,2022-05-24T09:00:00+00:00,1.256560,1.24929,1.26648,0.923290,0.7328629032258064516129032258,6,2.0,time,signal_bar_close
GBP_USD,long,132,2022-05-27T01:00:00+00:00,2022-05-30T01:00:00+00:00,1.265475,1.26455,1.25591,-0.122100,-0.09670674333507579717720857292,6,1.9,time,signal_bar_close
GBP_USD,short,157,2022-06-01T09:00:00+00:00,2022-06-02T09:00:00+00:00,1.258580,1.25557,1.26666,0.472570,0.3725247524752475247524752475,6,1.8,time,signal_bar_close
GBP_USD,short,160,2022-06-10T09:00:00+00:00,2022-06-13T09:00:00+00:00,1.238135,1.21959,1.24607,2.967200,2.337114051669817265280403277,6,1.9,time,signal_bar_close
