instrument,side,units,entry_time,exit_time,entry_price,exit_price,stop_price,pnl,r_multiple,bars_held,spread_paid_pips,exit_reason,fill_timing
USD_JPY,long,173,2022-07-11T01:00:00+00:00,2022-07-12T01:00:00+00:00,137.0070,137.284,136.011,0.3490647125666501558812388916,0.002025818375041496366281535922,6,1.6,time,signal_bar_close
USD_JPY,short,133,2022-08-09T09:00:00+00:00,2022-08-10T09:00:00+00:00,134.9080,133.157,136.177,1.748935467155312901311985100,0.01036240404294016898814403088,6,1.8,time,signal_bar_close
USD_JPY,short,125,2022-08-11T05:00:00+00:00,2022-08-12T05:00:00+00:00,132.4955,133.244,133.831,-0.7021892167752394104049713308,-0.004206300063048981866896121787,6,1.9,time,signal_bar_close
USD_JPY,short,160,2022-09-19T09:00:00+00:00,2022-09-20T09:00:00+00:00,143.4620,143.689,144.591,-0.2527681311721843704110961869,-0.001399292134478434291469753028,6,1.4,time,signal_bar_close
USD_JPY,long,183,2022-09-20T13:00:00+00:00,2022-09-21T13:00:00+00:00,143.6175,144.389,142.627,0.9778064811031311249471912680,0.005394452109814445565921010628,6,1.5,time,signal_bar_close
USD_JPY,short,141,2022-09-28T01:00:00+00:00,2022-09-29T01:00:00+00:00,144.6570,144.502,145.945,0.1512435814037175956042130905,0.0008328024173148627571704610507,6,1.8,time,signal_bar_close
USD_JPY,short,200,2022-10-03T13:00:00+00:00,2022-10-04T13:00:00+00:00,144.5005,144.238,145.415,0.3639817523814806084388302666,0.001990058788307712457292675050,6,1.7,time,signal_bar_close
USD_JPY,long,188,2022-10-05T01:00:00+00:00,2022-10-06T01:00:00+00:00,144.1550,144.509,143.184,0.4605387899715588648457881516,0.002522836678416410285764775027,6,1.8,time,signal_bar_close
USD_JPY,short,223,2022-10-06T13:00:00+00:00,2022-10-07T13:00:00+00:00,144.9260,145.276,145.751,-0.5372532283377846306341033619,-0.002920251275106860337731231754,6,1.6,time,signal_bar_close
USD_JPY,short,248,2022-10-10T05:00:00+00:00,2022-10-11T05:00:00+00:00,145.4940,145.7,146.238,-0.3506382978723404255319148936,-0.001900354978930044796717367399,6,1.6,time,signal_bar_close
USD_JPY,long,257,2022-10-13T13:00:00+00:00,2022-10-14T13:00:00+00:00,147.2285,148.839,146.501,2.780847089808450742077009386,0.01487342500599543098173216942,6,1.7,time,signal_bar_close
USD_JPY,long,208,2022-10-17T01:00:00+00:00,2022-10-18T01:00:00+00:00,148.8170,148.777,147.909,-0.05592262244836231406736256276,-0.0002960999578975469865477939828,6,1.8,time,signal_bar_close
USD_JPY,long,120,2022-11-03T01:00:00+00:00,2022-11-04T01:00:00+00:00,147.2820,147.86,145.732,0.4690923846882185851481130799,0.002522002068216228952409210107,6,2.0,time,signal_bar_close
USD_JPY,short,138,2022-11-29T02:00:00+00:00,2022-11-30T02:00:00+00:00,138.5095,138.488,139.782,0.02142423892322800531453988793,0.0001220024425456450859288738244,6,1.9,time,signal_bar_close
USD_JPY,short,106,2022-12-01T14:00:00+00:00,2022-12-02T14:00:00+00:00,135.4170,134.666,137.027,0.5911365897850979460294357893,0.003463826261485397550858055721,6,1.8,time,signal_bar_close
USD_JPY,short,126,2022-12-15T02:00:00+00:00,2022-12-15T14:00:00+00:00,135.5770,136.947,136.947,-1.260487633902166531577909702,-0.007302094971047193439797878010,3,1.8,stop,signal_bar_close
