instrument,side,units,entry_time,exit_time,entry_price,exit_price,stop_price,pnl,r_multiple,bars_held,spread_paid_pips,exit_reason,fill_timing
NZD_USD,short,241,2025-06-17T09:00:00+00:00,2025-06-18T09:00:00+00:00,0.605850,0.60283,0.61115,0.727820,0.5698113207547169811320754717,6,2.4,time,signal_bar_close
NZD_USD,long,250,2025-06-18T09:00:00+00:00,2025-06-19T05:00:00+00:00,0.602945,0.59783,0.59783,-1.278750,-1,5,2.3,stop,signal_bar_close
NZD_USD,short,203,2025-06-24T01:00:00+00:00,2025-06-25T01:00:00+00:00,0.601280,0.60303,0.60755,-0.355250,-0.2791068580542264752791068581,6,2.4,time,signal_bar_close
NZD_USD,long,239,2025-06-25T13:00:00+00:00,2025-06-26T13:00:00+00:00,0.603035,0.6067,0.59771,0.875935,0.6882629107981220657276995305,6,2.5,time,signal_bar_close
NZD_USD,short,240,2025-06-26T13:00:00+00:00,2025-06-27T13:00:00+00:00,0.606585,0.60637,0.61190,0.051600,0.04045155221072436500470366886,6,2.3,time,signal_bar_close
NZD_USD,short,284,2025-07-03T05:00:00+00:00,2025-07-04T05:00:00+00:00,0.607480,0.60663,0.61199,0.241400,0.1884700665188470066518847007,6,2.4,time,signal_bar_close
NZD_USD,short,337,2025-08-11T09:00:00+00:00,2025-08-12T09:00:00+00:00,0.592820,0.59383,0.59664,-0.340370,-0.2643979057591623036649214660,6,2.2,time,signal_bar_close
NZD_USD,short,379,2025-08-19T09:00:00+00:00,2025-08-20T09:00:00+00:00,0.591945,0.58379,0.59536,3.090745,2.387994143484626647144948755,6,2.5,time,signal_bar_close
NZD_USD,long,374,2025-08-29T13:00:00+00:00,2025-09-01T13:00:00+00:00,0.590400,0.59,0.58692,-0.149600,-0.1149425287356321839080459770,6,2.4,time,signal_bar_close
NZD_USD,long,321,2025-09-22T09:00:00+00:00,2025-09-23T09:00:00+00:00,0.586510,0.58617,0.58248,-0.109140,-0.08436724565756823821339950372,6,2.4,time,signal_bar_close
NZD_USD,long,377,2025-09-24T05:00:00+00:00,2025-09-24T13:00:00+00:00,0.584940,0.58149,0.58149,-1.300650,-1,2,2.4,stop,signal_bar_close
NZD_USD,short,374,2025-10-07T09:00:00+00:00,2025-10-08T09:00:00+00:00,0.580570,0.57801,0.58404,0.957440,0.7377521613832853025936599424,6,2.4,time,signal_bar_close
NZD_USD,long,304,2025-10-10T05:00:00+00:00,2025-10-10T17:00:00+00:00,0.575865,0.57163,0.57163,-1.287440,-1,3,2.1,stop,signal_bar_close
NZD_USD,long,349,2025-10-22T05:00:00+00:00,2025-10-23T05:00:00+00:00,0.574995,0.5744,0.57130,-0.207655,-0.1610284167794316644113667118,6,2.3,time,signal_bar_close
NZD_USD,long,344,2025-11-07T06:00:00+00:00,2025-11-10T06:00:00+00:00,0.561895,0.56488,0.55814,1.026840,0.7949400798934753661784287617,6,2.5,time,signal_bar_close
NZD_USD,short,356,2025-11-13T10:00:00+00:00,2025-11-14T10:00:00+00:00,0.566210,0.56818,0.56985,-0.701320,-0.5412087912087912087912087912,6,2.4,time,signal_bar_close
NZD_USD,long,346,2025-11-17T14:00:00+00:00,2025-11-18T14:00:00+00:00,0.567145,0.56617,0.56340,-0.337350,-0.2603471295060080106809078772,6,2.5,time,signal_bar_close
