instrument,side,units,entry_time,exit_time,entry_price,exit_price,stop_price,pnl,r_multiple,bars_held,spread_paid_pips,exit_reason,fill_timing
USD_JPY,short,106,2022-08-04T09:00:00+00:00,2022-08-05T09:00:00+00:00,133.5110,134.687,135.083,-0.9255236214333974325658749545,-0.005554297022381039851684400082,6,1.8,time,signal_bar_close
USD_JPY,long,114,2022-08-05T09:00:00+00:00,2022-08-08T09:00:00+00:00,134.6965,134.842,133.223,0.1230106346687233947879740734,0.0007322976959543954588845872008,6,1.9,time,signal_bar_close
USD_JPY,short,115,2022-08-08T13:00:00+00:00,2022-08-09T13:00:00+00:00,134.6080,135.047,136.071,-0.3738328137611350122549927062,-0.002221954969010282696395094690,6,1.6,time,signal_bar_close
USD_JPY,long,135,2022-08-09T13:00:00+00:00,2022-08-10T09:00:00+00:00,135.0560,133.808,133.808,-1.259117541552074614372832716,-0.007473394714815257682649766833,5,1.8,stop,signal_bar_close
USD_JPY,short,163,2022-08-10T09:00:00+00:00,2022-08-11T09:00:00+00:00,133.1285,131.947,134.149,1.459559520110347336430536503,0.008774476123579187012444498234,6,1.9,time,signal_bar_close
USD_JPY,short,122,2022-08-11T09:00:00+00:00,2022-08-11T21:00:00+00:00,131.9170,133.269,133.269,-1.237677179238982809205441626,-0.007503620496889749304039198916,3,2.0,stop,signal_bar_close
USD_JPY,long,121,2022-08-12T01:00:00+00:00,2022-08-15T01:00:00+00:00,133.2670,133.194,131.892,-0.06631680105710467438473204499,-0.0003985983534611851202688627798,6,1.8,time,signal_bar_close
USD_JPY,short,136,2022-08-15T01:00:00+00:00,2022-08-16T01:00:00+00:00,133.1855,133.455,134.405,-0.2746393915552058746393915552,-0.001655930537800001655930537800,6,1.7,time,signal_bar_close
USD_JPY,long,145,2022-08-16T01:00:00+00:00,2022-08-17T01:00:00+00:00,133.4635,134.145,132.313,0.7366469119236646911923664691,0.004415752742727537899218429583,6,1.7,time,signal_bar_close
USD_JPY,short,156,2022-08-17T01:00:00+00:00,2022-08-17T09:00:00+00:00,134.1355,135.215,135.215,-1.245438745701290537292460156,-0.007395629183152756720778020190,2,1.9,stop,signal_bar_close
USD_JPY,long,154,2022-08-17T09:00:00+00:00,2022-08-18T09:00:00+00:00,135.1260,134.925,134.034,-0.2294163424124513618677042802,-0.001364209257483298617261930214,6,1.8,time,signal_bar_close
USD_JPY,long,152,2022-08-18T13:00:00+00:00,2022-08-19T13:00:00+00:00,135.6635,136.867,134.550,1.336567616737416616130988478,0.007896908850338055775594902737,6,1.9,time,signal_bar_close
USD_JPY,long,151,2022-08-19T13:00:00+00:00,2022-08-22T13:00:00+00:00,136.8895,137.449,135.759,0.6146607105180830708117192559,0.003600708298901225038512052956,6,1.5,time,signal_bar_close
