instrument,side,units,entry_time,exit_time,entry_price,exit_price,stop_price,pnl,r_multiple,bars_held,spread_paid_pips,exit_reason,fill_timing
EUR_USD,short,200,2023-08-01T13:00:00+00:00,2023-08-02T13:00:00+00:00,1.097075,1.09514,1.10338,0.387000,0.3068992862807295796986518636,6,1.5,time,signal_bar_close
EUR_USD,short,204,2023-08-02T13:00:00+00:00,2023-08-03T13:00:00+00:00,1.094930,1.09561,1.10111,-0.138720,-0.1100323624595469255663430421,6,1.4,time,signal_bar_close
EUR_USD,long,207,2023-08-03T13:00:00+00:00,2023-08-04T13:00:00+00:00,1.095685,1.10331,1.08958,1.578375,1.248976248976248976248976249,6,1.5,time,signal_bar_close
EUR_USD,long,199,2023-08-07T01:00:00+00:00,2023-08-08T01:00:00+00:00,1.099800,1.09915,1.09345,-0.129350,-0.1023622047244094488188976378,6,1.4,time,signal_bar_close
EUR_USD,short,223,2023-08-08T09:00:00+00:00,2023-08-09T09:00:00+00:00,1.094175,1.09824,1.09986,-0.906495,-0.7150395778364116094986807388,6,1.5,time,signal_bar_close
EUR_USD,long,236,2023-08-09T09:00:00+00:00,2023-08-10T09:00:00+00:00,1.098310,1.1041,1.09294,1.366440,1.078212290502793296089385475,6,1.4,time,signal_bar_close
EUR_USD,short,220,2023-08-11T01:00:00+00:00,2023-08-14T01:00:00+00:00,1.098400,1.09365,1.10417,1.045000,0.8232235701906412478336221837,6,1.4,time,signal_bar_close
EUR_USD,long,220,2023-08-15T09:00:00+00:00,2023-08-16T09:00:00+00:00,1.092325,1.09016,1.08655,-0.476300,-0.3748917748917748917748917749,6,1.5,time,signal_bar_close
EUR_USD,long,211,2023-09-04T05:00:00+00:00,2023-09-05T05:00:00+00:00,1.079945,1.07475,1.07394,-1.096145,-0.8651124063280599500416319734,6,1.5,time,signal_bar_close
EUR_USD,short,235,2023-09-06T01:00:00+00:00,2023-09-07T01:00:00+00:00,1.073435,1.07201,1.07883,0.334875,0.2641334569045412418906394810,6,1.5,time,signal_bar_close
EUR_USD,short,226,2023-10-25T01:00:00+00:00,2023-10-26T01:00:00+00:00,1.060480,1.05465,1.06608,1.317580,1.041071428571428571428571429,6,1.4,time,signal_bar_close
EUR_USD,short,211,2023-11-01T01:00:00+00:00,2023-11-02T01:00:00+00:00,1.056575,1.05969,1.06259,-0.657265,-0.5178719866999168744804655029,6,1.5,time,signal_bar_close
EUR_USD,long,197,2023-11-02T01:00:00+00:00,2023-11-03T01:00:00+00:00,1.059765,1.06257,1.05333,0.552585,0.4358974358974358974358974359,6,1.5,time,signal_bar_close
EUR_USD,short,200,2023-11-03T01:00:00+00:00,2023-11-03T09:00:00+00:00,1.062495,1.06884,1.06884,-1.269000,-1,2,1.5,stop,signal_bar_close
EUR_USD,long,215,2023-11-03T09:00:00+00:00,2023-11-06T10:00:00+00:00,1.071095,1.07368,1.06521,0.555775,0.4392523364485981308411214953,6,1.5,time,signal_bar_close
EUR_USD,long,205,2023-11-06T10:00:00+00:00,2023-11-07T10:00:00+00:00,1.073905,1.06771,1.06771,-1.269975,-1,6,1.5,stop,signal_bar_close
EUR_USD,short,234,2023-11-07T10:00:00+00:00,2023-11-08T10:00:00+00:00,1.067480,1.06701,1.07290,0.109980,0.08671586715867158671586715867,6,1.4,time,signal_bar_close
EUR_USD,short,242,2023-11-08T10:00:00+00:00,2023-11-09T10:00:00+00:00,1.066800,1.07083,1.07204,-0.975260,-0.7690839694656488549618320611,6,1.4,time,signal_bar_close
EUR_USD,short,258,2023-11-09T14:00:00+00:00,2023-11-10T14:00:00+00:00,1.070335,1.06801,1.07524,0.599850,0.4740061162079510703363914373,6,1.5,time,signal_bar_close
EUR_USD,long,263,2023-11-10T14:00:00+00:00,2023-11-13T14:00:00+00:00,1.068085,1.06951,1.06325,0.374775,0.2947259565667011375387797311,6,1.5,time,signal_bar_close
EUR_USD,long,281,2023-11-13T14:00:00+00:00,2023-11-14T14:00:00+00:00,1.069735,1.08722,1.06521,4.913285,3.864088397790055248618784530,6,1.5,time,signal_bar_close
EUR_USD,long,219,2023-11-15T02:00:00+00:00,2023-11-16T02:00:00+00:00,1.087420,1.08373,1.08159,-0.808110,-0.6329331046312178387650085763,6,1.4,time,signal_bar_close
EUR_USD,short,226,2023-11-16T02:00:00+00:00,2023-11-16T14:00:00+00:00,1.083660,1.08932,1.08932,-1.279160,-1,3,1.4,stop,signal_bar_close
EUR_USD,long,224,2023-11-16T14:00:00+00:00,2023-11-17T14:00:00+00:00,1.086140,1.08895,1.08045,0.629440,0.4938488576449912126537785589,6,1.4,time,signal_bar_close
EUR_USD,long,236,2023-11-20T02:00:00+00:00,2023-11-21T02:00:00+00:00,1.092015,1.09555,1.08661,0.834260,0.6540240518038852913968547641,6,1.5,time,signal_bar_close
EUR_USD,long,249,2023-11-21T02:00:00+00:00,2023-11-21T18:00:00+00:00,1.095760,1.09063,1.09063,-1.277370,-1,4,1.4,stop,signal_bar_close
EUR_USD,long,182,2023-12-14T18:00:00+00:00,2023-12-15T10:00:00+00:00,1.099320,1.09233,1.09233,-1.272180,-1,4,1.4,stop,signal_bar_close
EUR_USD,short,185,2023-12-15T10:00:00+00:00,2023-12-18T10:00:00+00:00,1.091510,1.09222,1.09835,-0.131350,-0.1038011695906432748538011696,6,1.4,time,signal_bar_close
EUR_USD,long,203,2023-12-18T10:00:00+00:00,2023-12-19T10:00:00+00:00,1.092295,1.09614,1.08605,0.780535,0.6156925540432345876701361089,6,1.5,time,signal_bar_close
