instrument,side,units,entry_time,exit_time,entry_price,exit_price,stop_price,pnl,r_multiple,bars_held,spread_paid_pips,exit_reason,fill_timing
USD_CAD,long,277,2024-04-10T17:00:00+00:00,2024-04-11T17:00:00+00:00,1.368320,1.36876,1.36208,0.08904409830795756743329729098,0.05151583952834719952403110882,6,1.6,time,signal_bar_close
USD_CAD,long,270,2024-04-11T17:00:00+00:00,2024-04-12T17:00:00+00:00,1.369060,1.37716,1.36264,1.588050771152226320834180487,0.9161479007454865125384680322,6,2.0,time,signal_bar_close
USD_CAD,short,282,2024-04-15T01:00:00+00:00,2024-04-16T01:00:00+00:00,1.375255,1.38145,1.38145,-1.264606029896123638206232582,-0.7238770856708530891454631005,6,1.9,stop,signal_bar_close
USD_CAD,long,287,2024-04-16T01:00:00+00:00,2024-04-17T01:00:00+00:00,1.379975,1.38198,1.37388,0.4163844628721110291031708129,0.2380339530443420688707376029,6,1.7,time,signal_bar_close
USD_CAD,short,292,2024-04-17T05:00:00+00:00,2024-04-18T05:00:00+00:00,1.380515,1.37553,1.38652,1.058224829702005772320487376,0.6035066837578306732520202206,6,1.9,time,signal_bar_close
USD_CAD,short,296,2024-04-18T05:00:00+00:00,2024-04-19T05:00:00+00:00,1.375275,1.37629,1.38119,-0.2182970158905463238125685720,-0.1246813049110977152752784789,6,1.7,time,signal_bar_close
USD_CAD,short,306,2024-04-19T09:00:00+00:00,2024-04-22T09:00:00+00:00,1.375570,1.37284,1.38128,0.6085049969406485825005098919,0.3482624205559839877868834014,6,1.6,time,signal_bar_close
USD_CAD,short,305,2024-04-22T09:00:00+00:00,2024-04-23T09:00:00+00:00,1.372555,1.36947,1.37829,0.6870723710632580487341818368,0.3927979596456947124982816681,6,1.9,time,signal_bar_close
USD_CAD,short,340,2024-04-23T13:00:00+00:00,2024-04-24T13:00:00+00:00,1.366640,1.37178,1.37178,-1.273965213080814707897767864,-0.7289798655761127877648019364,6,1.8,stop,signal_bar_close
USD_CAD,long,345,2024-04-24T13:00:00+00:00,2024-04-25T09:00:00+00:00,1.371875,1.36681,1.36681,-1.278469575142119241152757150,-0.7316305850849788924576202984,5,1.7,stop,signal_bar_close
USD_CAD,short,333,2024-04-25T13:00:00+00:00,2024-04-26T13:00:00+00:00,1.367820,1.36737,1.37304,0.1095899427367866780754294741,0.06304577148227922064330392122,6,1.8,time,signal_bar_close
USD_CAD,long,333,2024-04-26T13:00:00+00:00,2024-04-29T13:00:00+00:00,1.367455,1.36499,1.36224,-0.6013560538905046923420684401,-0.3462845706054115624783374593,6,1.7,time,signal_bar_close
USD_CAD,long,298,2024-04-30T17:00:00+00:00,2024-05-01T17:00:00+00:00,1.377955,1.37208,1.37208,-1.275982450002915281907760480,-0.7288204769401201096145997315,6,2.1,stop,signal_bar_close
USD_CAD,short,300,2024-05-02T17:00:00+00:00,2024-05-03T17:00:00+00:00,1.367305,1.36867,1.37308,-0.2991955694214091051897097182,-0.1726958553658927014082018575,6,1.9,time,signal_bar_close
USD_CAD,long,297,2024-05-06T01:00:00+00:00,2024-05-07T01:00:00+00:00,1.368815,1.36778,1.36300,-0.2247400897805202591059965784,-0.1301290866709631477318305314,6,1.5,time,signal_bar_close
USD_CAD,short,296,2024-09-23T17:00:00+00:00,2024-09-24T17:00:00+00:00,1.354080,1.34323,1.35989,2.390953150242326332794830372,1.390283033820025080705930114,6,2.4,time,signal_bar_close
