instrument,side,units,entry_time,exit_time,entry_price,exit_price,stop_price,pnl,r_multiple,bars_held,spread_paid_pips,exit_reason,fill_timing
AUD_USD,long,175,2025-02-04T02:00:00+00:00,2025-02-05T02:00:00+00:00,0.618640,0.62519,0.61144,1.146250,0.9097222222222222222222222222,6,1.4,time,signal_bar_close
AUD_USD,long,195,2025-02-05T02:00:00+00:00,2025-02-06T02:00:00+00:00,0.625415,0.62619,0.61894,0.151125,0.1196911196911196911196911197,6,1.5,time,signal_bar_close
AUD_USD,short,233,2025-02-06T02:00:00+00:00,2025-02-07T02:00:00+00:00,0.626125,0.62805,0.63156,-0.448525,-0.3541858325666973321067157314,6,1.3,time,signal_bar_close
AUD_USD,long,268,2025-02-07T02:00:00+00:00,2025-02-10T02:00:00+00:00,0.628115,0.62712,0.62338,-0.266660,-0.2101372756071805702217529039,6,1.3,time,signal_bar_close
AUD_USD,long,249,2025-02-10T06:00:00+00:00,2025-02-11T06:00:00+00:00,0.628010,0.62762,0.62292,-0.097110,-0.07662082514734774066797642436,6,1.4,time,signal_bar_close
AUD_USD,long,304,2025-02-11T14:00:00+00:00,2025-02-12T10:00:00+00:00,0.629265,0.62509,0.62509,-1.269200,-1,5,1.3,stop,signal_bar_close
AUD_USD,short,248,2025-02-12T18:00:00+00:00,2025-02-13T18:00:00+00:00,0.627710,0.63184,0.63283,-1.024240,-0.806640625,6,1.8,time,signal_bar_close
AUD_USD,long,254,2025-02-17T02:00:00+00:00,2025-02-18T02:00:00+00:00,0.636880,0.6356,0.63192,-0.325120,-0.2580645161290322580645161290,6,1.2,time,signal_bar_close
AUD_USD,long,188,2025-04-03T17:00:00+00:00,2025-04-04T01:00:00+00:00,0.633010,0.62631,0.62631,-1.259600,-1,2,1.6,stop,signal_bar_close
AUD_USD,short,193,2025-04-04T01:00:00+00:00,2025-04-07T01:00:00+00:00,0.623165,0.60152,0.62965,4.177485,3.337702390131071703932151118,6,1.5,time,signal_bar_close
AUD_USD,short,107,2025-04-07T01:00:00+00:00,2025-04-08T01:00:00+00:00,0.601340,0.60601,0.61304,-0.499690,-0.3991452991452991452991452991,6,1.2,time,signal_bar_close
AUD_USD,short,93,2025-04-08T01:00:00+00:00,2025-04-09T01:00:00+00:00,0.605800,0.5977,0.61921,0.753300,0.6040268456375838926174496644,6,1.4,time,signal_bar_close
AUD_USD,short,97,2025-04-09T01:00:00+00:00,2025-04-09T17:00:00+00:00,0.597475,0.61039,0.61039,-1.252755,-1,4,1.5,stop,signal_bar_close
AUD_USD,long,97,2025-04-09T17:00:00+00:00,2025-04-10T17:00:00+00:00,0.615650,0.62224,0.60268,0.639230,0.5080956052428681572860447186,6,2.0,time,signal_bar_close
AUD_USD,long,92,2025-04-11T05:00:00+00:00,2025-04-14T05:00:00+00:00,0.621940,0.63363,0.60841,1.075480,0.8640059127864005912786400591,6,1.4,time,signal_bar_close
AUD_USD,long,104,2025-04-14T05:00:00+00:00,2025-04-15T05:00:00+00:00,0.633795,0.63495,0.62176,0.120120,0.09597008724553385957623597840,6,1.1,time,signal_bar_close
AUD_USD,long,116,2025-04-15T05:00:00+00:00,2025-04-16T05:00:00+00:00,0.635160,0.63668,0.62435,0.176320,0.1406105457909343200740055504,6,1.4,time,signal_bar_close
AUD_USD,long,141,2025-04-16T05:00:00+00:00,2025-04-17T05:00:00+00:00,0.636890,0.63539,0.62797,-0.211500,-0.1681614349775784753363228700,6,1.4,time,signal_bar_close
AUD_USD,short,164,2025-04-17T05:00:00+00:00,2025-04-18T05:00:00+00:00,0.635315,0.637,0.64302,-0.276340,-0.2186891628812459441920830629,6,1.5,time,signal_bar_close
AUD_USD,short,193,2025-04-18T05:00:00+00:00,2025-04-21T05:00:00+00:00,0.636775,0.64334,0.64334,-1.267045,-1,6,1.5,stop,signal_bar_close
AUD_USD,long,223,2025-04-21T05:00:00+00:00,2025-04-22T05:00:00+00:00,0.643105,0.6408,0.63743,-0.514015,-0.4061674008810572687224669604,6,1.5,time,signal_bar_close
AUD_USD,short,229,2025-04-22T09:00:00+00:00,2025-04-23T09:00:00+00:00,0.638975,0.64178,0.64447,-0.642345,-0.5104640582347588717015468608,6,1.3,time,signal_bar_close
