instrument,side,units,entry_time,exit_time,entry_price,exit_price,stop_price,pnl,r_multiple,bars_held,spread_paid_pips,exit_reason,fill_timing
NZD_USD,short,163,2022-10-20T09:00:00+00:00,2022-10-21T09:00:00+00:00,0.568205,0.56366,0.57598,0.740835,0.5845659163987138263665594855,6,2.5,time,signal_bar_close
NZD_USD,short,148,2022-10-25T09:00:00+00:00,2022-10-26T05:00:00+00:00,0.569805,0.57834,0.57834,-1.263180,-1,5,2.5,stop,signal_bar_close
NZD_USD,short,154,2022-10-26T05:00:00+00:00,2022-10-27T05:00:00+00:00,0.580945,0.58288,0.58917,-0.297990,-0.2352583586626139817629179331,6,2.5,time,signal_bar_close
NZD_USD,short,148,2022-10-27T13:00:00+00:00,2022-10-28T13:00:00+00:00,0.583765,0.58027,0.59231,0.517260,0.4090111176126389701579871270,6,2.5,time,signal_bar_close
NZD_USD,short,157,2022-10-31T13:00:00+00:00,2022-11-01T09:00:00+00:00,0.580925,0.58900,0.58900,-1.267775,-1,5,2.5,stop,signal_bar_close
NZD_USD,short,165,2022-11-01T09:00:00+00:00,2022-11-02T09:00:00+00:00,0.588895,0.58831,0.59657,0.096525,0.07622149837133550488599348534,6,2.5,time,signal_bar_close
NZD_USD,short,150,2022-11-03T09:00:00+00:00,2022-11-04T05:00:00+00:00,0.574185,0.58261,0.58261,-1.263750,-1,5,2.5,stop,signal_bar_close
NZD_USD,short,135,2022-11-07T10:00:00+00:00,2022-11-08T10:00:00+00:00,0.593035,0.593,0.60232,0.004725,0.003769520732364028002154011847,6,2.5,time,signal_bar_close
NZD_USD,short,153,2022-11-08T10:00:00+00:00,2022-11-09T10:00:00+00:00,0.592625,0.58957,0.60085,0.467415,0.3714285714285714285714285714,6,2.5,time,signal_bar_close
NZD_USD,short,150,2022-11-09T10:00:00+00:00,2022-11-10T10:00:00+00:00,0.589195,0.59758,0.59758,-1.257750,-1,6,2.5,stop,signal_bar_close
NZD_USD,short,167,2022-11-10T10:00:00+00:00,2022-11-10T18:00:00+00:00,0.595405,0.60293,0.60293,-1.256675,-1,2,2.5,stop,signal_bar_close
NZD_USD,short,129,2022-11-11T06:00:00+00:00,2022-11-14T06:00:00+00:00,0.604955,0.60839,0.61467,-0.443115,-0.3535769428718476582604220278,6,2.5,time,signal_bar_close
NZD_USD,short,136,2022-11-14T10:00:00+00:00,2022-11-15T10:00:00+00:00,0.608695,0.61788,0.61788,-1.249160,-1,6,2.5,stop,signal_bar_close
NZD_USD,short,144,2022-11-16T10:00:00+00:00,2022-11-17T10:00:00+00:00,0.615760,0.60721,0.62441,1.231200,0.9884393063583815028901734104,6,2.4,time,signal_bar_close
NZD_USD,short,172,2022-11-21T06:00:00+00:00,2022-11-22T06:00:00+00:00,0.610530,0.6149,0.61782,-0.751640,-0.5994513031550068587105624143,6,2.4,time,signal_bar_close
NZD_USD,short,194,2022-11-22T10:00:00+00:00,2022-11-23T10:00:00+00:00,0.614090,0.61856,0.62056,-0.867180,-0.6908809891808346213292117465,6,2.2,time,signal_bar_close
NZD_USD,short,212,2022-11-25T06:00:00+00:00,2022-11-28T06:00:00+00:00,0.623145,0.62289,0.62906,0.054060,0.04311073541842772612003381234,6,2.5,time,signal_bar_close
NZD_USD,short,186,2022-11-30T02:00:00+00:00,2022-11-30T18:00:00+00:00,0.621925,0.62867,0.62867,-1.254570,-1,4,2.5,stop,signal_bar_close
