instrument,side,units,entry_time,exit_time,entry_price,exit_price,stop_price,pnl,r_multiple,bars_held,spread_paid_pips,exit_reason,fill_timing
EUR_USD,long,277,2024-04-11T05:00:00+00:00,2024-04-12T05:00:00+00:00,1.074215,1.06963,1.06963,-1.270045,-1,6,1.5,stop,signal_bar_close
EUR_USD,long,263,2024-04-12T05:00:00+00:00,2024-04-12T13:00:00+00:00,1.067250,1.06244,1.06244,-1.265030,-1,2,1.4,stop,signal_bar_close
EUR_USD,long,235,2024-04-12T13:00:00+00:00,2024-04-15T13:00:00+00:00,1.064310,1.06354,1.05895,-0.180950,-0.1436567164179104477611940299,6,1.4,time,signal_bar_close
EUR_USD,long,251,2024-04-15T13:00:00+00:00,2024-04-16T13:00:00+00:00,1.063765,1.06243,1.05874,-0.335085,-0.2656716417910447761194029851,6,1.5,time,signal_bar_close
EUR_USD,long,253,2024-04-16T13:00:00+00:00,2024-04-17T13:00:00+00:00,1.062655,1.06492,1.05767,0.573045,0.4543630892678034102306920762,6,1.5,time,signal_bar_close
EUR_USD,long,251,2024-04-17T13:00:00+00:00,2024-04-18T13:00:00+00:00,1.065130,1.06526,1.06011,0.032630,0.02589641434262948207171314741,6,1.4,time,signal_bar_close
EUR_USD,long,268,2024-04-18T13:00:00+00:00,2024-04-19T13:00:00+00:00,1.065470,1.06529,1.06076,-0.048240,-0.03821656050955414012738853503,6,1.4,time,signal_bar_close
EUR_USD,long,262,2024-04-19T13:00:00+00:00,2024-04-22T13:00:00+00:00,1.065500,1.06482,1.06069,-0.178160,-0.1413721413721413721413721414,6,1.4,time,signal_bar_close
EUR_USD,long,265,2024-04-22T13:00:00+00:00,2024-04-23T13:00:00+00:00,1.065030,1.06994,1.06028,1.301150,1.033684210526315789473684211,6,1.4,time,signal_bar_close
EUR_USD,long,264,2024-04-23T13:00:00+00:00,2024-04-24T13:00:00+00:00,1.070150,1.06899,1.06536,-0.306240,-0.2421711899791231732776617954,6,1.4,time,signal_bar_close
EUR_USD,long,279,2024-04-24T13:00:00+00:00,2024-04-25T13:00:00+00:00,1.069200,1.07304,1.06468,1.071360,0.8495575221238938053097345133,6,1.4,time,signal_bar_close
EUR_USD,long,269,2024-04-25T13:00:00+00:00,2024-04-26T13:00:00+00:00,1.073265,1.06855,1.06855,-1.268335,-1,6,1.5,stop,signal_bar_close
EUR_USD,long,257,2024-04-26T13:00:00+00:00,2024-04-29T13:00:00+00:00,1.069600,1.07253,1.06469,0.753010,0.5967413441955193482688391039,6,1.4,time,signal_bar_close
EUR_USD,long,240,2024-04-29T13:00:00+00:00,2024-04-30T13:00:00+00:00,1.072755,1.06782,1.06749,-1.184400,-0.9373219373219373219373219373,6,1.5,time,signal_bar_close
EUR_USD,long,240,2024-04-30T13:00:00+00:00,2024-05-01T13:00:00+00:00,1.068045,1.06709,1.06279,-0.229200,-0.1817316841103710751665080875,6,1.5,time,signal_bar_close
EUR_USD,long,259,2024-05-01T13:00:00+00:00,2024-05-02T13:00:00+00:00,1.067300,1.07159,1.06244,1.111110,0.8827160493827160493827160494,6,1.4,time,signal_bar_close
EUR_USD,long,252,2024-05-02T13:00:00+00:00,2024-05-03T13:00:00+00:00,1.071800,1.07629,1.06679,1.131480,0.8962075848303393213572854291,6,1.4,time,signal_bar_close
EUR_USD,long,233,2024-05-03T13:00:00+00:00,2024-05-06T13:00:00+00:00,1.076500,1.07736,1.07108,0.200380,0.1586715867158671586715867159,6,1.4,time,signal_bar_close
EUR_USD,long,254,2024-05-06T13:00:00+00:00,2024-05-07T13:00:00+00:00,1.077585,1.07697,1.07259,-0.156210,-0.1231231231231231231231231231,6,1.5,time,signal_bar_close
EUR_USD,long,288,2024-05-07T13:00:00+00:00,2024-05-08T13:00:00+00:00,1.077180,1.07451,1.07278,-0.768960,-0.6068181818181818181818181818,6,1.4,time,signal_bar_close
