instrument,side,units,entry_time,exit_time,entry_price,exit_price,stop_price,pnl,r_multiple,bars_held,spread_paid_pips,exit_reason,fill_timing
USD_JPY,short,320,2022-01-07T14:00:00+00:00,2022-01-10T14:00:00+00:00,115.6105,115.098,116.068,1.424872717162765643191019827,0.009732737139089929256769261113,6,1.3,time,signal_bar_close
USD_JPY,short,254,2022-01-18T06:00:00+00:00,2022-01-19T06:00:00+00:00,114.6505,114.53,115.222,0.2672400244477429494455601153,0.001840990517065485560484979542,6,1.3,time,signal_bar_close
USD_JPY,short,279,2022-02-04T14:00:00+00:00,2022-02-07T14:00:00+00:00,115.2350,115.17,115.759,0.1574628809585829643136233394,0.001077066957773009961378035920,6,1.4,time,signal_bar_close
USD_JPY,short,307,2022-03-04T14:00:00+00:00,2022-03-07T10:00:00+00:00,114.7570,115.232,115.232,-1.265490488753124132185504027,-0.008678144959733407386836989727,5,1.4,stop,signal_bar_close
USD_JPY,short,249,2022-03-18T05:00:00+00:00,2022-03-21T05:00:00+00:00,118.8530,119.216,119.457,-0.7581784324251778284793987384,-0.005041214077669471451896318641,6,1.6,time,signal_bar_close
USD_JPY,short,124,2022-04-01T13:00:00+00:00,2022-04-04T13:00:00+00:00,122.5575,122.755,123.798,-0.1995030752311514805914219380,-0.001296973613859860621961890614,6,1.5,time,signal_bar_close
USD_JPY,short,134,2022-04-28T05:00:00+00:00,2022-04-29T05:00:00+00:00,130.9135,130.115,132.139,0.8223417745840218268454828421,0.005007653133256738503598792099,6,1.5,time,signal_bar_close
USD_JPY,short,162,2022-05-06T13:00:00+00:00,2022-05-09T13:00:00+00:00,130.4115,130.308,131.425,0.1286720692513122755318169261,0.0007836921878791394905310221035,6,1.7,time,signal_bar_close
USD_JPY,short,209,2022-06-03T13:00:00+00:00,2022-06-06T13:00:00+00:00,130.7940,131.585,131.585,-1.256366607136071740699927803,-0.007599650416080860280427100351,6,1.6,stop,signal_bar_close
USD_JPY,long,164,2022-07-01T13:00:00+00:00,2022-07-04T13:00:00+00:00,135.2965,135.693,134.259,0.4792141083180414612397102282,0.002816421441775148170671232608,6,1.7,time,signal_bar_close
USD_JPY,short,175,2022-09-02T13:00:00+00:00,2022-09-05T13:00:00+00:00,140.2155,140.539,141.222,-0.4028241271106240972256811277,-0.002286986741100697450717088228,6,1.5,time,signal_bar_close
USD_JPY,short,227,2022-10-07T13:00:00+00:00,2022-10-10T13:00:00+00:00,145.2520,145.783,146.056,-0.8268248012456870828560257369,-0.004530348265531851112586986526,6,1.6,time,signal_bar_close
USD_JPY,long,121,2022-10-28T05:00:00+00:00,2022-10-31T05:00:00+00:00,147.4570,148.249,145.931,0.6464259455375752956175083812,0.003500893306855146039543279471,6,2.0,time,signal_bar_close
USD_JPY,long,134,2022-11-04T13:00:00+00:00,2022-11-07T14:00:00+00:00,147.1770,146.509,145.802,-0.6109658792292623661345036824,-0.003315961352668995202900969782,6,1.8,time,signal_bar_close
USD_JPY,short,94,2022-12-02T14:00:00+00:00,2022-12-05T14:00:00+00:00,134.6390,136.429,136.429,-1.233315497438227942739446892,-0.007329819906324901597167757589,6,1.8,stop,signal_bar_close
