instrument,side,units,entry_time,exit_time,entry_price,exit_price,stop_price,pnl,r_multiple,bars_held,spread_paid_pips,exit_reason,fill_timing
EUR_USD,long,164,2022-07-01T13:00:00+00:00,2022-07-04T13:00:00+00:00,1.040285,1.04226,1.03261,0.323900,0.2573289902280130293159609121,6,1.5,time,signal_bar_close
EUR_USD,short,124,2022-07-21T13:00:00+00:00,2022-07-22T13:00:00+00:00,1.017995,1.02328,1.02808,-0.655340,-0.5240456122954883490332176500,6,1.5,time,signal_bar_close
EUR_USD,short,150,2022-09-02T13:00:00+00:00,2022-09-05T13:00:00+00:00,0.996830,0.99301,1.00520,0.573000,0.4563918757467144563918757467,6,1.4,time,signal_bar_close
EUR_USD,short,156,2022-09-08T13:00:00+00:00,2022-09-08T21:00:00+00:00,0.996740,1.00478,1.00478,-1.254240,-1,2,1.4,stop,signal_bar_close
EUR_USD,short,133,2022-11-04T13:00:00+00:00,2022-11-07T14:00:00+00:00,0.991365,1.00080,1.00080,-1.254855,-1,6,1.5,stop,signal_bar_close
EUR_USD,short,146,2022-12-15T14:00:00+00:00,2022-12-16T14:00:00+00:00,1.059760,1.06058,1.06831,-0.119720,-0.09590643274853801169590643275,6,1.4,time,signal_bar_close
EUR_USD,short,160,2023-01-06T14:00:00+00:00,2023-01-09T10:00:00+00:00,1.063655,1.07147,1.07147,-1.250400,-1,5,1.1,stop,signal_bar_close
EUR_USD,long,171,2023-02-02T14:00:00+00:00,2023-02-03T10:00:00+00:00,1.091000,1.08368,1.08368,-1.251720,-1,5,1.4,stop,signal_bar_close
EUR_USD,long,148,2023-02-03T14:00:00+00:00,2023-02-06T14:00:00+00:00,1.082600,1.07422,1.07422,-1.240240,-1,6,1.4,stop,signal_bar_close
EUR_USD,short,208,2023-03-03T14:00:00+00:00,2023-03-06T14:00:00+00:00,1.062355,1.06834,1.06834,-1.244880,-1,6,1.3,stop,signal_bar_close
EUR_USD,long,142,2023-03-16T13:00:00+00:00,2023-03-17T13:00:00+00:00,1.062015,1.06667,1.05329,0.661010,0.5335243553008595988538681948,6,1.5,time,signal_bar_close
EUR_USD,long,171,2023-05-04T13:00:00+00:00,2023-05-05T13:00:00+00:00,1.102600,1.10316,1.09534,0.095760,0.07713498622589531680440771350,6,1.2,time,signal_bar_close
EUR_USD,long,169,2023-05-05T13:00:00+00:00,2023-05-08T13:00:00+00:00,1.103370,1.10267,1.09602,-0.118300,-0.09523809523809523809523809524,6,1.4,time,signal_bar_close
EUR_USD,long,222,2023-06-02T13:00:00+00:00,2023-06-05T13:00:00+00:00,1.071145,1.07109,1.06553,-0.012210,-0.009795191451469278717720391808,6,1.3,time,signal_bar_close
