instrument,side,units,entry_time,exit_time,entry_price,exit_price,stop_price,pnl,r_multiple,bars_held,spread_paid_pips,exit_reason,fill_timing
GBP_USD,long,157,2023-06-22T13:00:00+00:00,2023-06-23T13:00:00+00:00,1.273420,1.26978,1.26541,-0.571480,-0.4544319600499375780274656679,6,1.4,time,signal_bar_close
GBP_USD,short,178,2023-07-07T13:00:00+00:00,2023-07-10T13:00:00+00:00,1.284770,1.2847,1.29184,0.012460,0.009900990099009900990099009901,6,1.8,time,signal_bar_close
GBP_USD,long,151,2023-08-03T13:00:00+00:00,2023-08-04T13:00:00+00:00,1.272090,1.27808,1.26376,0.904490,0.7190876350540216086434573830,6,1.6,time,signal_bar_close
GBP_USD,short,150,2023-08-04T13:00:00+00:00,2023-08-07T13:00:00+00:00,1.277990,1.27758,1.28641,0.061500,0.04869358669833729216152019002,6,1.8,time,signal_bar_close
GBP_USD,short,184,2023-09-01T13:00:00+00:00,2023-09-04T13:00:00+00:00,1.258710,1.26296,1.26559,-0.782000,-0.6177325581395348837209302326,6,1.8,time,signal_bar_close
GBP_USD,long,171,2023-09-21T13:00:00+00:00,2023-09-22T13:00:00+00:00,1.229850,1.22508,1.22246,-0.815670,-0.6454668470906630581867388363,6,1.8,time,signal_bar_close
GBP_USD,long,149,2023-10-06T13:00:00+00:00,2023-10-09T13:00:00+00:00,1.223575,1.21965,1.21516,-0.584825,-0.4664289958407605466428995841,6,1.7,time,signal_bar_close
GBP_USD,short,165,2023-11-02T13:00:00+00:00,2023-11-03T09:00:00+00:00,1.217750,1.22536,1.22536,-1.255650,-1,5,1.8,stop,signal_bar_close
GBP_USD,short,146,2023-11-03T13:00:00+00:00,2023-11-06T14:00:00+00:00,1.238055,1.23719,1.24661,0.126290,0.1011104617182933956750438340,6,1.9,time,signal_bar_close
GBP_USD,long,168,2023-12-01T14:00:00+00:00,2023-12-04T14:00:00+00:00,1.269640,1.26218,1.26218,-1.253280,-1,6,1.6,stop,signal_bar_close
GBP_USD,short,139,2023-12-14T14:00:00+00:00,2023-12-15T14:00:00+00:00,1.278235,1.27061,1.28723,1.059875,0.8476931628682601445247359644,6,1.9,time,signal_bar_close
GBP_USD,long,171,2024-01-05T14:00:00+00:00,2024-01-08T14:00:00+00:00,1.272555,1.27541,1.26523,0.488205,0.3897610921501706484641638225,6,1.9,time,signal_bar_close
GBP_USD,short,176,2024-02-01T14:00:00+00:00,2024-02-02T14:00:00+00:00,1.273490,1.26196,1.28063,2.029280,1.614845938375350140056022409,6,1.6,time,signal_bar_close
GBP_USD,long,156,2024-02-02T14:00:00+00:00,2024-02-05T14:00:00+00:00,1.262065,1.25398,1.25398,-1.261260,-1,6,2.1,stop,signal_bar_close
GBP_USD,long,247,2024-03-01T14:00:00+00:00,2024-03-04T14:00:00+00:00,1.265745,1.26958,1.26064,0.947245,0.7512242899118511263467189030,6,1.5,time,signal_bar_close
GBP_USD,long,215,2024-03-21T13:00:00+00:00,2024-03-22T05:00:00+00:00,1.266595,1.26072,1.26072,-1.263125,-1,4,1.5,stop,signal_bar_close
GBP_USD,long,236,2024-04-05T13:00:00+00:00,2024-04-08T13:00:00+00:00,1.263635,1.26476,1.25829,0.265500,0.2104770813844714686623012161,6,1.5,time,signal_bar_close
GBP_USD,short,186,2024-05-03T13:00:00+00:00,2024-05-06T13:00:00+00:00,1.254125,1.25645,1.26087,-0.432450,-0.3446997776130467012601927354,6,1.5,time,signal_bar_close
GBP_USD,short,222,2024-05-09T13:00:00+00:00,2024-05-10T13:00:00+00:00,1.251255,1.25353,1.25692,-0.505050,-0.4015887025595763459841129744,6,1.7,time,signal_bar_close
GBP_USD,long,219,2024-06-07T13:00:00+00:00,2024-06-07T17:00:00+00:00,1.272570,1.27151,1.26684,-0.232140,-0.1849912739965095986038394415,1,1.6,eod,signal_bar_close
