instrument,side,units,entry_time,exit_time,entry_price,exit_price,stop_price,pnl,r_multiple,bars_held,spread_paid_pips,exit_reason,fill_timing,ambiguous_exit,gap_fill,gap_fill_distance_pips
GBP_USD,short,498,2024-10-28T17:00:00+00:00,2024-10-29T13:00:00+00:00,1.2977200,1.30041,1.30041,-1.3396200,-1,6,1.8,stop,next_bar_open,False,False,
GBP_USD,short,494,2024-10-30T05:00:00+00:00,2024-10-30T05:00:00+00:00,1.2995800,1.30229,1.30229,-1.3387400,-1,1,1.9,stop,next_bar_open,False,False,
GBP_USD,short,252,2024-10-30T17:00:00+00:00,2024-11-01T13:00:00+00:00,1.2995800,1.29574,1.30470,0.9676800,0.75,12,1.9,time,next_bar_open,False,False,
GBP_USD,long,207,2024-11-06T10:00:00+00:00,2024-11-06T10:00:00+00:00,1.2903600,1.28417,1.28417,-1.2813300,-1,1,1.9,stop,next_bar_open,False,False,
GBP_USD,long,201,2024-11-06T18:00:00+00:00,2024-11-08T14:00:00+00:00,1.2892700,1.28963,1.28290,0.0723600,0.05651491365777080062794348509,12,2.0,time,next_bar_open,False,False,
GBP_USD,short,337,2024-12-27T18:00:00+00:00,2024-12-30T10:00:00+00:00,1.2556900,1.25959,1.25959,-1.3143000,-1,5,2.2,stop,next_bar_open,False,False,
GBP_USD,short,218,2024-12-30T14:00:00+00:00,2025-01-02T10:00:00+00:00,1.2552000,1.24051,1.26105,3.2024200,2.511111111111111111111111111,12,1.7,time,next_bar_open,False,False,
GBP_USD,short,247,2025-01-20T18:00:00+00:00,2025-01-20T18:00:00+00:00,1.2279300,1.23318,1.23318,-1.2967500,-1,1,2.1,stop,next_bar_open,False,False,
GBP_USD,long,175,2025-01-31T18:00:00+00:00,2025-02-02T22:00:00+00:00,1.2456200,1.23837,1.23837,-1.2687500,-1,2,1.6,stop,next_bar_open,False,False,
GBP_USD,long,325,2025-02-11T10:00:00+00:00,2025-02-13T06:00:00+00:00,1.2368700,1.24903,1.23287,3.9520000,3.04,12,1.9,time,next_bar_open,False,False,
GBP_USD,short,350,2025-02-26T18:00:00+00:00,2025-02-28T14:00:00+00:00,1.2681700,1.25907,1.27193,3.1850000,2.420212765957446808510638298,12,1.9,time,next_bar_open,False,False,
GBP_USD,long,244,2025-04-01T17:00:00+00:00,2025-04-03T13:00:00+00:00,1.2929500,1.31038,1.28762,4.2529200,3.270168855534709193245778612,12,1.9,time,next_bar_open,False,False,
GBP_USD,long,144,2025-05-08T13:00:00+00:00,2025-05-08T17:00:00+00:00,1.3326300,1.32367,1.32367,-1.2902400,-1,2,1.5,stop,next_bar_open,False,False,
GBP_USD,long,203,2025-05-12T13:00:00+00:00,2025-05-14T09:00:00+00:00,1.3198800,1.33243,1.31350,2.5476500,1.967084639498432601880877743,12,1.7,time,next_bar_open,False,False,
GBP_USD,short,340,2025-05-19T13:00:00+00:00,2025-05-20T21:00:00+00:00,1.3369100,1.34080,1.34080,-1.3226000,-1,9,1.5,stop,next_bar_open,False,False,
