instrument,side,units,entry_time,exit_time,entry_price,exit_price,stop_price,pnl,r_multiple,bars_held,spread_paid_pips,exit_reason,fill_timing,ambiguous_exit,gap_fill,gap_fill_distance_pips
USD_CAD,short,417,2022-05-24T17:00:00+00:00,2022-05-25T09:00:00+00:00,1.2837600,1.28768,1.28768,-1.269445825049701789264413519,-0.7765904572564612326043737575,5,1.6,stop,next_bar_open,False,False,
USD_CAD,short,487,2022-06-30T13:00:00+00:00,2022-07-01T05:00:00+00:00,1.2902800,1.29367,1.29367,-1.276160071733904318721157637,-0.7729946586069090262586285530,5,1.8,stop,next_bar_open,False,False,
USD_CAD,short,295,2022-07-01T17:00:00+00:00,2022-07-05T09:00:00+00:00,1.2914900,1.29703,1.29703,-1.260032535870411632730160443,-0.7709921898491168284465278364,11,2.0,stop,next_bar_open,False,False,
USD_CAD,long,272,2022-07-22T17:00:00+00:00,2022-07-26T05:00:00+00:00,1.2878200,1.28186,1.28186,-1.264662287613311906136395550,-0.7801163933658901908164698172,10,2.0,stop,next_bar_open,False,False,
USD_CAD,long,487,2022-07-29T09:00:00+00:00,2022-08-01T05:00:00+00:00,1.2818600,1.27852,1.27852,-1.272236648624972624597190502,-0.7821543659856709320151425088,6,1.8,stop,next_bar_open,False,False,
USD_CAD,short,283,2022-08-02T17:00:00+00:00,2022-08-02T21:00:00+00:00,1.2833900,1.28908,1.28908,-1.249162193192043938312595029,-0.7757470444037608216712694325,2,2.0,stop,next_bar_open,False,False,
USD_CAD,short,254,2022-08-05T17:00:00+00:00,2022-08-09T13:00:00+00:00,1.2924950,1.28962,1.29885,0.5662520742544315379724259859,0.3508007671152552320836256317,12,1.9,time,next_bar_open,False,False,
USD_CAD,short,457,2022-09-07T09:00:00+00:00,2022-09-07T13:00:00+00:00,1.3172400,1.32089,1.32089,-1.262822793722414432693108434,-0.7570653120244683508846308168,2,2.0,stop,next_bar_open,False,False,
USD_CAD,long,212,2022-10-20T17:00:00+00:00,2022-10-21T17:00:00+00:00,1.3725100,1.36449,1.36449,-1.246062631459373099106625919,-0.7328745538626153361329141292,7,2.0,stop,next_bar_open,False,False,
USD_CAD,long,327,2022-10-27T17:00:00+00:00,2022-10-31T13:00:00+00:00,1.3541150,1.36428,1.34896,2.436417011170727416659336793,1.445357235290536142078346069,12,1.7,time,next_bar_open,False,False,
