instrument,side,units,entry_time,exit_time,entry_price,exit_price,stop_price,pnl,r_multiple,bars_held,spread_paid_pips,exit_reason,fill_timing,ambiguous_exit,gap_fill,gap_fill_distance_pips
GBP_USD,short,498,2024-10-28T17:00:00+00:00,2024-10-29T13:00:00+00:00,1.2978100,1.30041,1.30041,-1.2948000,-1,6,1.8,stop,next_bar_open,False,False,
GBP_USD,short,494,2024-10-30T05:00:00+00:00,2024-10-30T05:00:00+00:00,1.2996750,1.30229,1.30229,-1.2918100,-1,1,1.9,stop,next_bar_open,False,False,
GBP_USD,short,252,2024-10-30T17:00:00+00:00,2024-11-01T13:00:00+00:00,1.2996750,1.29574,1.30470,0.9916200,0.7830845771144278606965174129,12,1.9,time,next_bar_open,False,False,
GBP_USD,long,207,2024-11-06T10:00:00+00:00,2024-11-06T10:00:00+00:00,1.2902650,1.28417,1.28417,-1.2616650,-1,1,1.9,stop,next_bar_open,False,False,
GBP_USD,long,201,2024-11-06T18:00:00+00:00,2024-11-08T14:00:00+00:00,1.2891700,1.28963,1.28290,0.0924600,0.07336523125996810207336523126,12,2.0,time,next_bar_open,False,False,
GBP_USD,short,337,2024-12-27T18:00:00+00:00,2024-12-30T10:00:00+00:00,1.2558000,1.25959,1.25959,-1.2772300,-1,5,2.2,stop,next_bar_open,False,False,
GBP_USD,short,218,2024-12-30T14:00:00+00:00,2025-01-02T10:00:00+00:00,1.2552850,1.24051,1.26105,3.2209500,2.562879444926279271465741544,12,1.7,time,next_bar_open,False,False,
GBP_USD,short,247,2025-01-20T18:00:00+00:00,2025-01-20T18:00:00+00:00,1.2280350,1.23318,1.23318,-1.2708150,-1,1,2.1,stop,next_bar_open,False,False,
GBP_USD,long,175,2025-01-31T18:00:00+00:00,2025-02-02T22:00:00+00:00,1.2455400,1.23837,1.23837,-1.2547500,-1,2,1.6,stop,next_bar_open,False,False,
GBP_USD,long,325,2025-02-11T10:00:00+00:00,2025-02-13T06:00:00+00:00,1.2367750,1.24903,1.23287,3.9828750,3.138284250960307298335467350,12,1.9,time,next_bar_open,False,False,
GBP_USD,short,350,2025-02-26T18:00:00+00:00,2025-02-28T14:00:00+00:00,1.2682650,1.25907,1.27193,3.2182500,2.508867667121418826739427012,12,1.9,time,next_bar_open,False,False,
GBP_USD,long,245,2025-04-01T17:00:00+00:00,2025-04-03T13:00:00+00:00,1.2928550,1.31038,1.28762,4.2936250,3.347659980897803247373447947,12,1.9,time,next_bar_open,False,False,
GBP_USD,long,144,2025-05-08T13:00:00+00:00,2025-05-08T17:00:00+00:00,1.3325550,1.32367,1.32367,-1.2794400,-1,2,1.5,stop,next_bar_open,False,False,
GBP_USD,long,204,2025-05-12T13:00:00+00:00,2025-05-14T09:00:00+00:00,1.3197950,1.33243,1.31350,2.5775400,2.007148530579825258141382049,12,1.7,time,next_bar_open,False,False,
GBP_USD,short,340,2025-05-19T13:00:00+00:00,2025-05-20T21:00:00+00:00,1.3369850,1.34080,1.34080,-1.2971000,-1,9,1.5,stop,next_bar_open,False,False,
