timestamp,instrument,granularity,split,strategy_version,side,rejection_code,rejection_reason,spread_pips,atr_pips,stop_distance_pips,hour_utc,day_of_week,session
2020-07-26T21:00:00+00:00,GBP_USD,H4,full,0.1.0-c018,short,SESSION_BLOCKED,inside blocked session window,1.7,42.03073813580493,63.9,21,Sun,Asia/late
2020-12-24T06:00:00+00:00,GBP_USD,H4,full,0.1.0-c018,short,SPREAD_TOO_WIDE,spread 2.6 > cap 2.5 pips,2.6,65.92490959877017,100.2,6,Thu,London
2021-07-18T21:00:00+00:00,GBP_USD,H4,full,0.1.0-c018,long,SESSION_BLOCKED,inside blocked session window,2.1,37.90585843003353,57.9,21,Sun,Asia/late
2021-09-17T17:00:00+00:00,GBP_USD,H4,full,0.1.0-c018,long,SPREAD_TOO_WIDE,spread 15.0 > cap 2.5 pips,15.0,31.485528381629788,54.7,17,Fri,NY
2021-09-17T17:00:00+00:00,GBP_USD,H4,full,0.1.0-c018,long,SPREAD_TO_ATR,spread/atr 47.64% > 8.0%,15.0,31.485528381629788,54.7,17,Fri,NY
2021-09-19T21:00:00+00:00,GBP_USD,H4,full,0.1.0-c018,long,SESSION_BLOCKED,inside blocked session window,1.7,31.46513349722767,48.0,21,Sun,Asia/late
2022-07-27T17:00:00+00:00,GBP_USD,H4,full,0.1.0-c018,short,SPREAD_TOO_WIDE,spread 3.0 > cap 2.5 pips,3.0,52.97458860508116,81.0,17,Wed,NY
2022-07-27T21:00:00+00:00,GBP_USD,H4,full,0.1.0-c018,short,SESSION_BLOCKED,inside blocked session window,2.3,51.33711799043261,78.2,21,Wed,Asia/late
2022-12-13T10:00:00+00:00,GBP_USD,H4,full,0.1.0-c018,short,SPREAD_TOO_WIDE,spread 2.9 > cap 2.5 pips,2.9,59.038826064059364,90.0,10,Tue,London
2023-04-24T21:00:00+00:00,GBP_USD,H4,full,0.1.0-c018,short,SESSION_BLOCKED,inside blocked session window,1.9,32.268011301197035,49.4,21,Mon,Asia/late
2024-05-14T17:00:00+00:00,GBP_USD,H4,full,0.1.0-c018,short,SPREAD_TO_ATR,spread/atr 8.47% > 8.0%,2.1,24.806545154710435,38.3,17,Tue,NY
2025-02-02T22:00:00+00:00,GBP_USD,H4,full,0.1.0-c018,long,SESSION_BLOCKED,inside blocked session window,2.2,47.26789376525276,72.0,22,Sun,Asia/late
2025-04-02T17:00:00+00:00,GBP_USD,H4,full,0.1.0-c018,short,SPREAD_TOO_WIDE,spread 7.1 > cap 2.5 pips,7.1,34.85401907001345,55.8,17,Wed,NY
2025-04-02T17:00:00+00:00,GBP_USD,H4,full,0.1.0-c018,short,SPREAD_TO_ATR,spread/atr 20.37% > 8.0%,7.1,34.85401907001345,55.8,17,Wed,NY
2025-06-17T17:00:00+00:00,GBP_USD,H4,full,0.1.0-c018,long,SPREAD_TOO_WIDE,spread 2.9 > cap 2.5 pips,2.9,43.001326109770325,66.0,17,Tue,NY
2025-06-17T21:00:00+00:00,GBP_USD,H4,full,0.1.0-c018,long,SESSION_BLOCKED,inside blocked session window,1.7,41.4119456733582,63.0,21,Tue,Asia/late
2025-12-10T22:00:00+00:00,GBP_USD,H4,full,0.1.0-c018,short,SESSION_BLOCKED,inside blocked session window,2.1,26.673811621130213,41.1,22,Wed,Asia/late
