timestamp,instrument,granularity,split,strategy_version,side,rejection_code,rejection_reason,spread_pips,atr_pips,stop_distance_pips,hour_utc,day_of_week,session
2020-05-03T21:00:00+00:00,USD_JPY,H4,train,0.1.0-c020,short,SESSION_BLOCKED,inside blocked session window,1.3,,63.2,21,Sun,Asia/late
2020-08-04T17:00:00+00:00,USD_JPY,H4,train,0.1.0-c020,short,SPREAD_TOO_WIDE,spread 10.0 > cap 2.0 pips,10.0,,76.0,17,Tue,NY
2020-09-21T17:00:00+00:00,USD_JPY,H4,train,0.1.0-c020,short,SPREAD_TOO_WIDE,spread 9.6 > cap 2.0 pips,9.6,,58.2,17,Mon,NY
2020-10-15T21:00:00+00:00,USD_JPY,H4,train,0.1.0-c020,short,SESSION_BLOCKED,inside blocked session window,1.3,,33.2,21,Thu,Asia/late
2020-10-20T21:00:00+00:00,USD_JPY,H4,train,0.1.0-c020,short,SESSION_BLOCKED,inside blocked session window,1.1,,31.6,21,Tue,Asia/late
2020-12-10T22:00:00+00:00,USD_JPY,H4,train,0.1.0-c020,short,SESSION_BLOCKED,inside blocked session window,1.3,,36.9,22,Thu,Asia/late
2021-05-10T21:00:00+00:00,USD_JPY,H4,train,0.1.0-c020,long,SESSION_BLOCKED,inside blocked session window,1.2,,50.7,21,Mon,Asia/late
2021-05-31T17:00:00+00:00,USD_JPY,H4,train,0.1.0-c020,long,SPREAD_TOO_WIDE,spread 8.9 > cap 2.0 pips,8.9,,47.3,17,Mon,NY
2021-06-16T17:00:00+00:00,USD_JPY,H4,train,0.1.0-c020,long,SPREAD_TOO_WIDE,spread 8.6 > cap 2.0 pips,8.6,,30.4,17,Wed,NY
2022-03-29T17:00:00+00:00,USD_JPY,H4,train,0.1.0-c020,long,SPREAD_TOO_WIDE,spread 8.1 > cap 2.0 pips,8.1,,149.3,17,Tue,NY
2022-06-17T01:00:00+00:00,USD_JPY,H4,train,0.1.0-c020,long,SPREAD_TOO_WIDE,spread 2.1 > cap 2.0 pips,2.1,,159.6,1,Fri,Asia/late
2022-07-18T21:00:00+00:00,USD_JPY,H4,train,0.1.0-c020,long,SPREAD_TOO_WIDE,spread 2.1 > cap 2.0 pips,2.1,,87.2,21,Mon,Asia/late
2022-07-18T21:00:00+00:00,USD_JPY,H4,train,0.1.0-c020,long,SESSION_BLOCKED,inside blocked session window,2.1,,87.2,21,Mon,Asia/late
2022-07-19T17:00:00+00:00,USD_JPY,H4,train,0.1.0-c020,long,SPREAD_TOO_WIDE,spread 4.7 > cap 2.0 pips,4.7,,85.8,17,Tue,NY
2022-08-23T17:00:00+00:00,USD_JPY,H4,train,0.1.0-c020,long,SPREAD_TOO_WIDE,spread 10.0 > cap 2.0 pips,10.0,,122.3,17,Tue,NY
2022-11-02T17:00:00+00:00,USD_JPY,H4,train,0.1.0-c020,long,SPREAD_TOO_WIDE,spread 10.0 > cap 2.0 pips,10.0,,126.6,17,Wed,NY
2022-11-17T22:00:00+00:00,USD_JPY,H4,train,0.1.0-c020,short,SPREAD_TOO_WIDE,spread 2.4 > cap 2.0 pips,2.4,,160.0,22,Thu,Asia/late
2022-11-17T22:00:00+00:00,USD_JPY,H4,train,0.1.0-c020,short,SESSION_BLOCKED,inside blocked session window,2.4,,160.0,22,Thu,Asia/late
2022-11-30T18:00:00+00:00,USD_JPY,H4,train,0.1.0-c020,short,SPREAD_TOO_WIDE,spread 10.0 > cap 2.0 pips,10.0,,137.4,18,Wed,NY
