timestamp,instrument,granularity,split,strategy_version,side,rejection_code,rejection_reason,spread_pips,atr_pips,stop_distance_pips,hour_utc,day_of_week,session
2021-07-14T04:15:00+00:00,GBP_USD,M15,train,0.1.0-c021,short,MARGIN_BUFFER,margin 54.4287081 > cap 50.430332500000003,2.1,,9.6,4,Wed,Asia/late
2021-09-08T20:45:00+00:00,GBP_USD,M15,train,0.1.0-c021,short,SESSION_BLOCKED,inside blocked session window,2.2,,19.7,20,Wed,NY
2022-02-03T13:15:00+00:00,GBP_USD,M15,train,0.1.0-c021,long,SPREAD_TOO_WIDE,spread 5.8 > cap 2.5 pips,5.8,,39.4,13,Thu,London/NY overlap
2022-02-17T06:15:00+00:00,GBP_USD,M15,train,0.1.0-c021,long,SPREAD_TOO_WIDE,spread 3.1 > cap 2.5 pips,3.1,,18.6,6,Thu,London
2022-03-01T23:15:00+00:00,GBP_USD,M15,train,0.1.0-c021,short,SPREAD_TOO_WIDE,spread 2.8 > cap 2.5 pips,2.8,,24.6,23,Tue,Asia/late
2022-03-13T22:30:00+00:00,GBP_USD,M15,train,0.1.0-c021,short,SPREAD_TOO_WIDE,spread 3.4 > cap 2.5 pips,3.4,,18.7,22,Sun,Asia/late
2022-03-13T22:30:00+00:00,GBP_USD,M15,train,0.1.0-c021,short,SESSION_BLOCKED,inside blocked session window,3.4,,18.7,22,Sun,Asia/late
2022-04-07T12:15:00+00:00,GBP_USD,M15,train,0.1.0-c021,short,SPREAD_TOO_WIDE,spread 2.6 > cap 2.5 pips,2.6,,20.9,12,Thu,London/NY overlap
2022-04-15T03:00:00+00:00,GBP_USD,M15,train,0.1.0-c021,short,SPREAD_TOO_WIDE,spread 8.5 > cap 2.5 pips,8.5,,19.2,3,Fri,Asia/late
2022-04-15T12:15:00+00:00,GBP_USD,M15,train,0.1.0-c021,short,SPREAD_TOO_WIDE,spread 4.7 > cap 2.5 pips,4.7,,16.3,12,Fri,London/NY overlap
2022-04-15T14:00:00+00:00,GBP_USD,M15,train,0.1.0-c021,short,SPREAD_TOO_WIDE,spread 6.0 > cap 2.5 pips,6.0,,16.8,14,Fri,London/NY overlap
2022-04-15T20:30:00+00:00,GBP_USD,M15,train,0.1.0-c021,short,SPREAD_TOO_WIDE,spread 20.7 > cap 2.5 pips,20.7,,20.5,20,Fri,NY
2022-04-15T20:30:00+00:00,GBP_USD,M15,train,0.1.0-c021,short,SESSION_BLOCKED,inside blocked session window,20.7,,20.5,20,Fri,NY
2022-04-24T21:45:00+00:00,GBP_USD,M15,train,0.1.0-c021,short,SPREAD_TOO_WIDE,spread 9.2 > cap 2.5 pips,9.2,,22.2,21,Sun,Asia/late
2022-04-24T21:45:00+00:00,GBP_USD,M15,train,0.1.0-c021,short,SESSION_BLOCKED,inside blocked session window,9.2,,22.2,21,Sun,Asia/late
2022-05-02T22:30:00+00:00,GBP_USD,M15,train,0.1.0-c021,short,SPREAD_TOO_WIDE,spread 2.6 > cap 2.5 pips,2.6,,18.9,22,Mon,Asia/late
2022-05-03T22:15:00+00:00,GBP_USD,M15,train,0.1.0-c021,short,SPREAD_TOO_WIDE,spread 2.6 > cap 2.5 pips,2.6,,21.7,22,Tue,Asia/late
2022-05-05T20:30:00+00:00,GBP_USD,M15,train,0.1.0-c021,short,SPREAD_TOO_WIDE,spread 5.7 > cap 2.5 pips,5.7,,33.0,20,Thu,NY
2022-05-11T12:30:00+00:00,GBP_USD,M15,train,0.1.0-c021,short,SPREAD_TOO_WIDE,spread 2.7 > cap 2.5 pips,2.7,,27.6,12,Wed,London/NY overlap
2022-05-19T00:45:00+00:00,GBP_USD,M15,train,0.1.0-c021,short,SPREAD_TOO_WIDE,spread 2.6 > cap 2.5 pips,2.6,,21.2,0,Thu,Asia/late
2022-06-02T00:45:00+00:00,GBP_USD,M15,train,0.1.0-c021,short,SPREAD_TOO_WIDE,spread 2.6 > cap 2.5 pips,2.6,,19.9,0,Thu,Asia/late
2022-07-14T04:00:00+00:00,GBP_USD,M15,train,0.1.0-c021,short,SPREAD_TOO_WIDE,spread 2.6 > cap 2.5 pips,2.6,,22.5,4,Thu,Asia/late
2022-09-14T05:45:00+00:00,GBP_USD,M15,train,0.1.0-c021,short,SPREAD_TOO_WIDE,spread 7.5 > cap 2.5 pips,7.5,,24.0,5,Wed,Asia/late
2022-09-20T20:30:00+00:00,GBP_USD,M15,train,0.1.0-c021,short,SPREAD_TOO_WIDE,spread 8.0 > cap 2.5 pips,8.0,,27.8,20,Tue,NY
2022-09-28T10:15:00+00:00,GBP_USD,M15,train,0.1.0-c021,short,SPREAD_TOO_WIDE,spread 3.6 > cap 2.5 pips,3.6,,72.9,10,Wed,London
2022-09-28T10:45:00+00:00,GBP_USD,M15,train,0.1.0-c021,short,SPREAD_TOO_WIDE,spread 3.2 > cap 2.5 pips,3.2,,83.9,10,Wed,London
2022-10-07T12:30:00+00:00,GBP_USD,M15,train,0.1.0-c021,short,SPREAD_TOO_WIDE,spread 2.6 > cap 2.5 pips,2.6,,34.2,12,Fri,London/NY overlap
