timestamp,instrument,granularity,split,strategy_version,side,rejection_code,rejection_reason,spread_pips,atr_pips,stop_distance_pips,hour_utc,day_of_week,session
2022-02-25T07:00:00+00:00,USD_CHF,M15,train,0.1.0-c021,long,SPREAD_TOO_WIDE,spread 2.1 > cap 2.0 pips,2.1,,11.4,7,Fri,London
2022-04-15T05:45:00+00:00,USD_CHF,M15,train,0.1.0-c021,long,SPREAD_TOO_WIDE,spread 7.4 > cap 2.0 pips,7.4,,15.1,5,Fri,Asia/late
2022-04-17T22:15:00+00:00,USD_CHF,M15,train,0.1.0-c021,long,SPREAD_TOO_WIDE,spread 2.7 > cap 2.0 pips,2.7,,11.5,22,Sun,Asia/late
2022-04-17T22:15:00+00:00,USD_CHF,M15,train,0.1.0-c021,long,SESSION_BLOCKED,inside blocked session window,2.7,,11.5,22,Sun,Asia/late
2022-04-17T23:15:00+00:00,USD_CHF,M15,train,0.1.0-c021,long,SPREAD_TOO_WIDE,spread 2.3 > cap 2.0 pips,2.3,,10.8,23,Sun,Asia/late
2022-05-02T00:15:00+00:00,USD_CHF,M15,train,0.1.0-c021,long,SPREAD_TOO_WIDE,spread 2.3 > cap 2.0 pips,2.3,,18.4,0,Mon,Asia/late
2022-05-03T22:00:00+00:00,USD_CHF,M15,train,0.1.0-c021,long,SPREAD_TOO_WIDE,spread 2.1 > cap 2.0 pips,2.1,,16.2,22,Tue,Asia/late
2022-05-04T12:00:00+00:00,USD_CHF,M15,train,0.1.0-c021,long,SPREAD_TOO_WIDE,spread 3.4 > cap 2.0 pips,3.4,,13.2,12,Wed,London/NY overlap
2022-06-09T05:45:00+00:00,USD_CHF,M15,train,0.1.0-c021,long,SPREAD_TOO_WIDE,spread 2.2 > cap 2.0 pips,2.2,,10.7,5,Thu,Asia/late
2022-07-06T13:45:00+00:00,USD_CHF,M15,train,0.1.0-c021,long,SPREAD_TOO_WIDE,spread 3.4 > cap 2.0 pips,3.4,,22.9,13,Wed,London/NY overlap
2022-07-08T12:30:00+00:00,USD_CHF,M15,train,0.1.0-c021,long,SPREAD_TOO_WIDE,spread 2.3 > cap 2.0 pips,2.3,,19.8,12,Fri,London/NY overlap
