timestamp,instrument,granularity,split,strategy_version,side,rejection_code,rejection_reason,spread_pips,atr_pips,stop_distance_pips,hour_utc,day_of_week,session
2021-06-22T20:00:00+00:00,USD_JPY,M15,train,0.1.0-c021,long,MARGIN_BUFFER,margin 51.76350751966316245996214192 > cap 50.532732322804225,1.5,,10.8,20,Tue,NY
2021-06-23T03:30:00+00:00,USD_JPY,M15,train,0.1.0-c021,long,MARGIN_BUFFER,margin 59.52376157888084361062458244 > cap 50.532732322804225,1.4,,9.4,3,Wed,Asia/late
2021-06-23T06:00:00+00:00,USD_JPY,M15,train,0.1.0-c021,long,MARGIN_BUFFER,margin 60.84356908525606602798698572 > cap 50.532732322804225,1.3,,9.2,6,Wed,London
2021-06-24T02:15:00+00:00,USD_JPY,M15,train,0.1.0-c021,long,MARGIN_BUFFER,margin 56.24379895614268151543945132 > cap 50.659235340550373,1.5,,10.0,2,Thu,Asia/late
2021-06-24T03:45:00+00:00,USD_JPY,M15,train,0.1.0-c021,long,MARGIN_BUFFER,margin 85.16537069237353033920446868 > cap 50.659235340550373,1.4,,6.6,3,Thu,Asia/late
2021-06-27T22:45:00+00:00,USD_JPY,M15,train,0.1.0-c021,long,SESSION_BLOCKED,inside blocked session window,1.5,,8.6,22,Sun,Asia/late
2021-06-27T22:45:00+00:00,USD_JPY,M15,train,0.1.0-c021,long,MARGIN_BUFFER,margin 65.24441640378548895899053628 > cap 50.659235340550373,1.5,,8.6,22,Sun,Asia/late
2021-06-27T23:45:00+00:00,USD_JPY,M15,train,0.1.0-c021,long,MARGIN_BUFFER,margin 66.04446975268812352508539276 > cap 50.659235340550373,1.5,,8.5,23,Sun,Asia/late
2021-07-01T03:00:00+00:00,USD_JPY,M15,train,0.1.0-c021,long,MARGIN_BUFFER,margin 64.68407535757041144225316616 > cap 50.659235340550373,1.4,,8.7,3,Thu,Asia/late
2021-07-02T04:45:00+00:00,USD_JPY,M15,train,0.1.0-c021,long,MARGIN_BUFFER,margin 74.64434783777607506284362356 > cap 50.848274215505586,1.3,,7.6,4,Fri,Asia/late
2021-07-02T05:45:00+00:00,USD_JPY,M15,train,0.1.0-c021,long,MARGIN_BUFFER,margin 84.68493179160711965700922436 > cap 50.848274215505586,1.3,,6.7,5,Fri,Asia/late
2021-07-02T07:30:00+00:00,USD_JPY,M15,train,0.1.0-c021,long,MARGIN_BUFFER,margin 76.68446618906168093657172812 > cap 50.848274215505586,1.3,,7.4,7,Fri,London
2021-07-12T23:15:00+00:00,USD_JPY,M15,train,0.1.0-c021,long,MARGIN_BUFFER,margin 67.40397036499988671636042324 > cap 50.713932073365254,1.3,,8.3,23,Mon,Asia/late
2021-07-13T00:45:00+00:00,USD_JPY,M15,train,0.1.0-c021,long,MARGIN_BUFFER,margin 70.84481317576290149432211948 > cap 50.713932073365254,1.5,,7.9,0,Tue,Asia/late
2021-07-13T02:45:00+00:00,USD_JPY,M15,train,0.1.0-c021,long,MARGIN_BUFFER,margin 62.88341844408604099088487396 > cap 50.713932073365254,1.2,,8.9,2,Tue,Asia/late
2021-07-13T12:30:00+00:00,USD_JPY,M15,train,0.1.0-c021,long,MARGIN_BUFFER,margin 52.76334689660797303053096140 > cap 50.713932073365254,1.4,,10.6,12,Tue,London/NY overlap
2021-07-14T05:30:00+00:00,USD_JPY,M15,train,0.1.0-c021,long,MARGIN_BUFFER,margin 66.80423098499791889104037352 > cap 50.795952399708955,1.4,,8.4,5,Wed,Asia/late
2021-07-14T07:30:00+00:00,USD_JPY,M15,train,0.1.0-c021,long,MARGIN_BUFFER,margin 63.04399362872864176078772084 > cap 50.795952399708955,1.4,,8.9,7,Wed,London
2021-07-14T08:15:00+00:00,USD_JPY,M15,train,0.1.0-c021,long,MARGIN_BUFFER,margin 59.08374275991891109180422820 > cap 50.795952399708955,1.4,,9.5,8,Wed,London
2021-07-21T19:00:00+00:00,USD_JPY,M15,train,0.1.0-c021,long,MARGIN_BUFFER,margin 53.84292895223588292895223588 > cap 50.795952399708955,1.2,,10.4,19,Wed,NY
2021-07-22T06:00:00+00:00,USD_JPY,M15,train,0.1.0-c021,long,MARGIN_BUFFER,margin 74.60473887199963700712373520 > cap 50.795952399708955,1.4,,7.5,6,Thu,London
2021-07-22T07:00:00+00:00,USD_JPY,M15,train,0.1.0-c021,long,MARGIN_BUFFER,margin 63.56346121382089470961418032 > cap 50.795952399708955,1.2,,8.8,7,Thu,London
2021-07-23T13:15:00+00:00,USD_JPY,M15,train,0.1.0-c021,long,MARGIN_BUFFER,margin 51.48279456070352577151697744 > cap 50.795952399708955,1.2,,10.9,13,Fri,London/NY overlap
2021-08-06T19:45:00+00:00,USD_JPY,M15,train,0.1.0-c021,long,SESSION_BLOCKED,inside blocked session window,1.4,,8.4,19,Fri,NY
2021-08-06T19:45:00+00:00,USD_JPY,M15,train,0.1.0-c021,long,MARGIN_BUFFER,margin 66.44421956087824351297405188 > cap 50.661654542022364,1.4,,8.4,19,Fri,NY
2021-08-09T07:00:00+00:00,USD_JPY,M15,train,0.1.0-c021,long,MARGIN_BUFFER,margin 68.08401464257687579665506932 > cap 50.661654542022364,1.3,,8.2,7,Mon,London
2021-08-09T08:00:00+00:00,USD_JPY,M15,train,0.1.0-c021,long,MARGIN_BUFFER,margin 57.56391676533431320513343948 > cap 50.661654542022364,1.5,,9.7,8,Mon,London
2021-08-09T12:45:00+00:00,USD_JPY,M15,train,0.1.0-c021,long,MARGIN_BUFFER,margin 54.68347515026057271522216776 > cap 50.661654542022364,1.4,,10.2,12,Mon,London/NY overlap
2021-08-10T12:45:00+00:00,USD_JPY,M15,train,0.1.0-c021,long,MARGIN_BUFFER,margin 61.48306035360506106859865780 > cap 50.661654542022364,1.1,,9.1,12,Tue,London/NY overlap
2021-08-18T23:45:00+00:00,USD_JPY,M15,train,0.1.0-c021,long,MARGIN_BUFFER,margin 59.16323158019318833586729908 > cap 50.661654542022364,1.2,,9.4,23,Wed,Asia/late
2021-08-24T07:30:00+00:00,USD_JPY,M15,train,0.1.0-c021,short,MARGIN_BUFFER,margin 61.07638258809594314480307964 > cap 50.661654542022364,1.3,,9.1,7,Tue,London
2021-08-24T09:15:00+00:00,USD_JPY,M15,train,0.1.0-c021,short,MARGIN_BUFFER,margin 56.67638329292082186286485204 > cap 50.661654542022364,1.4,,9.8,9,Tue,London
2021-08-25T07:45:00+00:00,USD_JPY,M15,train,0.1.0-c021,short,MARGIN_BUFFER,margin 57.75657911881147522312174544 > cap 50.529506999844034,1.3,,9.6,7,Wed,London
2021-09-01T10:00:00+00:00,USD_JPY,M15,train,0.1.0-c021,long,MARGIN_BUFFER,margin 56.28306105244073788696006888 > cap 50.529506999844034,1.2,,9.9,10,Wed,London
2021-09-01T11:00:00+00:00,USD_JPY,M15,train,0.1.0-c021,long,MARGIN_BUFFER,margin 56.88335105298220330917841556 > cap 50.529506999844034,1.3,,9.8,11,Wed,London
2021-09-03T07:15:00+00:00,USD_JPY,M15,train,0.1.0-c021,long,MARGIN_BUFFER,margin 58.48372125156809628565714596 > cap 50.529506999844034,1.4,,9.5,7,Fri,London
2021-09-07T02:15:00+00:00,USD_JPY,M15,train,0.1.0-c021,short,MARGIN_BUFFER,margin 88.03518907103825136612021856 > cap 50.529506999844034,1.2,,6.3,2,Tue,Asia/late
2021-09-07T03:45:00+00:00,USD_JPY,M15,train,0.1.0-c021,short,MARGIN_BUFFER,margin 72.99567852605407079202735872 > cap 50.529506999844034,1.3,,7.6,3,Tue,Asia/late
2021-09-08T01:00:00+00:00,USD_JPY,M15,train,0.1.0-c021,long,MARGIN_BUFFER,margin 79.60505227270666533680306836 > cap 50.529506999844034,1.4,,7.0,1,Wed,Asia/late
2021-09-08T03:00:00+00:00,USD_JPY,M15,train,0.1.0-c021,long,MARGIN_BUFFER,margin 85.72466363809471994777073528 > cap 50.529506999844034,1.2,,6.5,3,Wed,Asia/late
2021-09-08T10:45:00+00:00,USD_JPY,M15,train,0.1.0-c021,long,MARGIN_BUFFER,margin 59.24376164515280436143288672 > cap 50.529506999844034,1.4,,9.4,10,Wed,London
2021-09-08T12:45:00+00:00,USD_JPY,M15,train,0.1.0-c021,long,MARGIN_BUFFER,margin 54.08318863585854691744941788 > cap 50.529506999844034,1.3,,10.3,12,Wed,London/NY overlap
2021-09-08T19:45:00+00:00,USD_JPY,M15,train,0.1.0-c021,long,MARGIN_BUFFER,margin 67.92431195073507405156855100 > cap 50.529506999844034,1.4,,8.2,19,Wed,NY
2021-09-13T11:45:00+00:00,USD_JPY,M15,train,0.1.0-c021,long,MARGIN_BUFFER,margin 79.44469010994999795631974060 > cap 50.529506999844034,1.3,,7.0,11,Mon,London
2021-09-13T18:45:00+00:00,USD_JPY,M15,train,0.1.0-c021,long,MARGIN_BUFFER,margin 81.72445688730525205882887632 > cap 50.529506999844034,1.2,,6.8,18,Mon,NY
2021-09-14T00:45:00+00:00,USD_JPY,M15,train,0.1.0-c021,long,MARGIN_BUFFER,margin 89.64488785488385619251881204 > cap 50.529506999844034,1.2,,6.2,0,Tue,Asia/late
2021-09-14T08:45:00+00:00,USD_JPY,M15,train,0.1.0-c021,long,MARGIN_BUFFER,margin 67.80338875232300834692681332 > cap 50.529506999844034,1.1,,8.2,8,Tue,London
2021-09-15T19:45:00+00:00,USD_JPY,M15,train,0.1.0-c021,short,MARGIN_BUFFER,margin 62.75598306618998418170014720 > cap 50.529506999844034,1.4,,8.8,19,Wed,NY
2021-09-16T01:00:00+00:00,USD_JPY,M15,train,0.1.0-c021,short,MARGIN_BUFFER,margin 56.95687522286529335929999724 > cap 50.529506999844034,1.2,,9.7,1,Thu,Asia/late
2021-09-20T23:00:00+00:00,USD_JPY,M15,train,0.1.0-c021,short,MARGIN_BUFFER,margin 58.75623970379850985052795172 > cap 50.529506999844034,1.4,,9.4,23,Mon,Asia/late
