timestamp,instrument,granularity,split,strategy_version,side,rejection_code,rejection_reason,spread_pips,atr_pips,stop_distance_pips,hour_utc,day_of_week,session
2022-05-31T13:45:00+00:00,AUD_USD,M15,train,0.1.0-c022,long,SPREAD_TOO_WIDE,spread 2.1 > cap 2.0 pips,2.1,,19.4,13,Tue,London/NY overlap
2022-08-14T22:45:00+00:00,AUD_USD,M15,train,0.1.0-c022,long,SESSION_BLOCKED,inside blocked session window,1.8,,11.0,22,Sun,Asia/late
2023-04-30T22:00:00+00:00,AUD_USD,M15,train,0.1.0-c022,short,SESSION_BLOCKED,inside blocked session window,1.3,,10.4,22,Sun,Asia/late
2023-05-05T13:30:00+00:00,AUD_USD,M15,train,0.1.0-c022,long,DRAWDOWN_LIMIT,drawdown 8.097% >= cap 8.0%,1.2,,16.6,13,Fri,London/NY overlap
2023-05-09T02:15:00+00:00,AUD_USD,M15,train,0.1.0-c022,long,DRAWDOWN_LIMIT,drawdown 8.097% >= cap 8.0%,1.5,,9.1,2,Tue,Asia/late
2023-05-09T02:45:00+00:00,AUD_USD,M15,train,0.1.0-c022,long,DRAWDOWN_LIMIT,drawdown 8.097% >= cap 8.0%,1.3,,9.5,2,Tue,Asia/late
2023-05-09T03:45:00+00:00,AUD_USD,M15,train,0.1.0-c022,long,DRAWDOWN_LIMIT,drawdown 8.097% >= cap 8.0%,1.4,,9.0,3,Tue,Asia/late
2023-05-09T11:00:00+00:00,AUD_USD,M15,train,0.1.0-c022,long,DRAWDOWN_LIMIT,drawdown 8.097% >= cap 8.0%,1.5,,8.6,11,Tue,London
2023-05-09T13:45:00+00:00,AUD_USD,M15,train,0.1.0-c022,long,DRAWDOWN_LIMIT,drawdown 8.097% >= cap 8.0%,1.5,,10.6,13,Tue,London/NY overlap
2023-05-09T17:15:00+00:00,AUD_USD,M15,train,0.1.0-c022,long,DRAWDOWN_LIMIT,drawdown 8.097% >= cap 8.0%,1.5,,11.1,17,Tue,NY
2023-05-10T12:30:00+00:00,AUD_USD,M15,train,0.1.0-c022,long,DRAWDOWN_LIMIT,drawdown 8.097% >= cap 8.0%,1.2,,10.3,12,Wed,London/NY overlap
2023-05-15T09:00:00+00:00,AUD_USD,M15,train,0.1.0-c022,short,DRAWDOWN_LIMIT,drawdown 8.097% >= cap 8.0%,1.4,,12.7,9,Mon,London
2023-05-15T09:30:00+00:00,AUD_USD,M15,train,0.1.0-c022,short,DRAWDOWN_LIMIT,drawdown 8.097% >= cap 8.0%,1.1,,12.0,9,Mon,London
2023-05-15T10:00:00+00:00,AUD_USD,M15,train,0.1.0-c022,short,DRAWDOWN_LIMIT,drawdown 8.097% >= cap 8.0%,1.1,,11.7,10,Mon,London
2023-05-17T07:15:00+00:00,AUD_USD,M15,train,0.1.0-c022,short,DRAWDOWN_LIMIT,drawdown 8.097% >= cap 8.0%,1.3,,12.7,7,Wed,London
2023-05-19T01:15:00+00:00,AUD_USD,M15,train,0.1.0-c022,short,DRAWDOWN_LIMIT,drawdown 8.097% >= cap 8.0%,1.3,,10.3,1,Fri,Asia/late
2023-05-26T12:30:00+00:00,AUD_USD,M15,train,0.1.0-c022,short,DRAWDOWN_LIMIT,drawdown 8.097% >= cap 8.0%,1.1,,10.4,12,Fri,London/NY overlap
2023-05-26T17:15:00+00:00,AUD_USD,M15,train,0.1.0-c022,short,DRAWDOWN_LIMIT,drawdown 8.097% >= cap 8.0%,1.3,,15.3,17,Fri,NY
2023-05-29T03:15:00+00:00,AUD_USD,M15,train,0.1.0-c022,short,DRAWDOWN_LIMIT,drawdown 8.097% >= cap 8.0%,1.3,,10.8,3,Mon,Asia/late
2023-05-31T01:30:00+00:00,AUD_USD,M15,train,0.1.0-c022,short,DRAWDOWN_LIMIT,drawdown 8.097% >= cap 8.0%,1.3,,9.5,1,Wed,Asia/late
2023-06-01T00:30:00+00:00,AUD_USD,M15,train,0.1.0-c022,short,DRAWDOWN_LIMIT,drawdown 8.097% >= cap 8.0%,1.3,,10.5,0,Thu,Asia/late
2023-06-01T06:00:00+00:00,AUD_USD,M15,train,0.1.0-c022,short,DRAWDOWN_LIMIT,drawdown 8.097% >= cap 8.0%,1.2,,12.3,6,Thu,London
2023-06-05T01:45:00+00:00,AUD_USD,M15,train,0.1.0-c022,long,DRAWDOWN_LIMIT,drawdown 8.097% >= cap 8.0%,1.3,,11.1,1,Mon,Asia/late
2023-06-05T04:45:00+00:00,AUD_USD,M15,train,0.1.0-c022,long,DRAWDOWN_LIMIT,drawdown 8.097% >= cap 8.0%,1.4,,10.5,4,Mon,Asia/late
2023-06-05T12:00:00+00:00,AUD_USD,M15,train,0.1.0-c022,long,DRAWDOWN_LIMIT,drawdown 8.097% >= cap 8.0%,1.3,,10.0,12,Mon,London/NY overlap
2023-06-06T14:45:00+00:00,AUD_USD,M15,train,0.1.0-c022,long,DRAWDOWN_LIMIT,drawdown 8.097% >= cap 8.0%,1.0,,16.2,14,Tue,London/NY overlap
2023-06-09T05:30:00+00:00,AUD_USD,M15,train,0.1.0-c022,long,DRAWDOWN_LIMIT,drawdown 8.097% >= cap 8.0%,1.4,,8.3,5,Fri,Asia/late
2023-06-09T10:45:00+00:00,AUD_USD,M15,train,0.1.0-c022,long,DRAWDOWN_LIMIT,drawdown 8.097% >= cap 8.0%,1.4,,11.1,10,Fri,London
2023-06-12T18:30:00+00:00,AUD_USD,M15,train,0.1.0-c022,long,DRAWDOWN_LIMIT,drawdown 8.097% >= cap 8.0%,1.4,,10.4,18,Mon,NY
2023-06-13T03:00:00+00:00,AUD_USD,M15,train,0.1.0-c022,long,DRAWDOWN_LIMIT,drawdown 8.097% >= cap 8.0%,1.3,,11.0,3,Tue,Asia/late
