timestamp,instrument,granularity,split,strategy_version,side,rejection_code,rejection_reason,spread_pips,atr_pips,stop_distance_pips,hour_utc,day_of_week,session
2021-06-30T12:00:00+00:00,GBP_USD,M15,train,0.1.0-c022,short,SPREAD_TOO_WIDE,spread 3.8 > cap 2.5 pips,3.8,,22.6,12,Wed,London/NY overlap
2021-12-31T21:00:00+00:00,GBP_USD,M15,train,0.1.0-c022,long,SPREAD_TOO_WIDE,spread 14.6 > cap 2.5 pips,14.6,,27.3,21,Fri,Asia/late
2021-12-31T21:00:00+00:00,GBP_USD,M15,train,0.1.0-c022,long,SESSION_BLOCKED,inside blocked session window,14.6,,27.3,21,Fri,Asia/late
2022-02-03T13:15:00+00:00,GBP_USD,M15,train,0.1.0-c022,long,SPREAD_TOO_WIDE,spread 5.8 > cap 2.5 pips,5.8,,39.4,13,Thu,London/NY overlap
2022-02-27T22:15:00+00:00,GBP_USD,M15,train,0.1.0-c022,short,SPREAD_TOO_WIDE,spread 14.2 > cap 2.5 pips,14.2,,26.5,22,Sun,Asia/late
2022-02-27T22:15:00+00:00,GBP_USD,M15,train,0.1.0-c022,short,SESSION_BLOCKED,inside blocked session window,14.2,,26.5,22,Sun,Asia/late
2022-07-13T05:45:00+00:00,GBP_USD,M15,train,0.1.0-c022,short,SPREAD_TOO_WIDE,spread 3.4 > cap 2.5 pips,3.4,,18.7,5,Wed,Asia/late
2022-08-23T08:15:00+00:00,GBP_USD,M15,train,0.1.0-c022,short,SPREAD_TOO_WIDE,spread 4.3 > cap 2.5 pips,4.3,,24.4,8,Tue,London
2022-09-19T01:00:00+00:00,GBP_USD,M15,train,0.1.0-c022,short,SPREAD_TOO_WIDE,spread 2.8 > cap 2.5 pips,2.8,,19.7,1,Mon,Asia/late
2022-09-27T06:45:00+00:00,GBP_USD,M15,train,0.1.0-c022,short,SPREAD_TOO_WIDE,spread 2.8 > cap 2.5 pips,2.8,,43.3,6,Tue,London
2022-09-27T09:00:00+00:00,GBP_USD,M15,train,0.1.0-c022,short,SPREAD_TOO_WIDE,spread 2.6 > cap 2.5 pips,2.6,,53.4,9,Tue,London
2022-09-28T10:15:00+00:00,GBP_USD,M15,train,0.1.0-c022,short,SPREAD_TOO_WIDE,spread 3.6 > cap 2.5 pips,3.6,,72.9,10,Wed,London
2022-09-28T10:45:00+00:00,GBP_USD,M15,train,0.1.0-c022,short,SPREAD_TOO_WIDE,spread 3.2 > cap 2.5 pips,3.2,,83.9,10,Wed,London
2022-09-30T13:30:00+00:00,GBP_USD,M15,train,0.1.0-c022,long,SPREAD_TOO_WIDE,spread 3 > cap 2.5 pips,3,,67.2,13,Fri,London/NY overlap
