instrument,side,units,entry_time,exit_time,entry_price,exit_price,stop_price,pnl,r_multiple,bars_held,spread_paid_pips,exit_reason,fill_timing,ambiguous_exit,gap_fill,gap_fill_distance_pips,protective_stop_armed,protective_stop_arm_time,protective_stop_arm_mfe_r,protective_stop_exit,thesis_invalidation_exit,zscore_at_exit
GBP_USD,short,644,2021-07-01T00:45:00+00:00,2021-07-01T11:45:00+00:00,1.381895,1.38105,1.38392,0.544180,0.4172839506172839506172839506,32,1.7,time,next_bar_open,False,False,,False,,,False,False,
GBP_USD,short,568,2021-07-01T13:45:00+00:00,2021-07-02T01:30:00+00:00,1.379820,1.37638,1.38210,1.953920,1.508771929824561403508771930,32,1.6,time,next_bar_open,False,False,,False,,,False,False,
GBP_USD,short,664,2021-07-06T13:15:00+00:00,2021-07-07T01:15:00+00:00,1.383845,1.38048,1.38580,2.234360,1.721227621483375959079283887,32,1.3,time,next_bar_open,False,False,,False,,,False,False,
GBP_USD,short,548,2021-07-07T13:15:00+00:00,2021-07-08T00:45:00+00:00,1.381265,1.37909,1.38365,1.191900,0.9119496855345911949685534591,32,1.7,time,next_bar_open,False,False,,False,,,False,False,
GBP_USD,short,672,2021-07-09T07:30:00+00:00,2021-07-09T07:45:00+00:00,1.376710,1.37868,1.37868,-1.323840,-1,2,1.8,stop,next_bar_open,False,False,,False,,,False,False,
GBP_USD,short,568,2021-07-13T17:15:00+00:00,2021-07-14T05:30:00+00:00,1.383045,1.38262,1.38536,0.241400,0.1835853131749460043196544276,32,1.9,time,next_bar_open,False,False,,False,,,False,False,
GBP_USD,long,563,2021-07-28T18:30:00+00:00,2021-07-28T18:30:00+00:00,1.388910,1.38657,1.38657,-1.317420,-1,1,2.0,stop,next_bar_open,False,False,,False,,,False,False,
GBP_USD,long,642,2021-08-02T13:45:00+00:00,2021-08-02T15:30:00+00:00,1.390620,1.38855,1.38855,-1.328940,-1,8,2.2,stop,next_bar_open,False,False,,False,,,False,False,
GBP_USD,long,682,2021-08-03T13:00:00+00:00,2021-08-03T13:30:00+00:00,1.392410,1.39049,1.39049,-1.309440,-1,3,1.6,stop,next_bar_open,False,False,,False,,,False,False,
GBP_USD,long,607,2021-08-03T15:45:00+00:00,2021-08-04T09:30:00+00:00,1.390735,1.39344,1.38859,1.641935,1.261072261072261072261072261,32,1.7,time,next_bar_open,False,False,,False,,,False,False,
GBP_USD,long,490,2021-08-05T11:30:00+00:00,2021-08-05T13:45:00+00:00,1.392620,1.38997,1.38997,-1.298500,-1,10,1.8,stop,next_bar_open,False,False,,False,,,False,False,
GBP_USD,long,433,2021-08-05T14:15:00+00:00,2021-08-06T01:00:00+00:00,1.394405,1.39143,1.39143,-1.288175,-1,19,1.7,stop,next_bar_open,False,False,,False,,,False,False,
GBP_USD,short,827,2021-08-23T07:15:00+00:00,2021-08-23T08:00:00+00:00,1.363980,1.36557,1.36557,-1.314930,-1,4,1.6,stop,next_bar_open,False,False,,False,,,False,False,
GBP_USD,short,632,2021-08-26T14:30:00+00:00,2021-08-27T05:00:00+00:00,1.372675,1.36987,1.37473,1.772760,1.364963503649635036496350365,32,1.7,time,next_bar_open,False,False,,False,,,False,False,
GBP_USD,short,913,2021-08-27T08:15:00+00:00,2021-08-27T10:00:00+00:00,1.369975,1.37143,1.37143,-1.328415,-1,8,1.7,stop,next_bar_open,False,False,,False,,,False,False,
GBP_USD,short,369,2021-09-30T16:00:00+00:00,2021-10-01T03:15:00+00:00,1.346780,1.34549,1.35023,0.476010,0.3739130434782608695652173913,32,1.4,time,next_bar_open,False,False,,False,,,False,False,
GBP_USD,long,667,2021-10-20T12:30:00+00:00,2021-10-21T01:15:00+00:00,1.376925,1.38215,1.37497,3.485075,2.672634271099744245524296675,32,1.7,time,next_bar_open,False,False,,False,,,False,False,
GBP_USD,long,739,2021-10-21T08:00:00+00:00,2021-10-21T08:15:00+00:00,1.381740,1.37995,1.37995,-1.322810,-1,2,1.8,stop,next_bar_open,False,False,,False,,,False,False,
GBP_USD,long,663,2021-10-21T11:00:00+00:00,2021-10-21T17:15:00+00:00,1.380630,1.37866,1.37866,-1.306110,-1,24,1.6,stop,next_bar_open,False,False,,False,,,False,False,
GBP_USD,long,839,2021-10-21T20:45:00+00:00,2021-10-22T07:45:00+00:00,1.379400,1.37782,1.37782,-1.325620,-1,31,1.8,stop,next_bar_open,False,False,,False,,,False,False,
