timestamp,instrument,granularity,split,strategy_version,side,rejection_code,rejection_reason,spread_pips,atr_pips,stop_distance_pips,hour_utc,day_of_week,session
2021-07-30T19:15:00+00:00,USD_CAD,M15,train,0.1.0-c022,short,SESSION_BLOCKED,inside blocked session window,2.1,,19.6,19,Fri,NY
2021-07-30T20:30:00+00:00,USD_CAD,M15,train,0.1.0-c022,short,SPREAD_TOO_WIDE,spread 2.6 > cap 2.5 pips,2.6,,18.9,20,Fri,NY
2021-07-30T20:30:00+00:00,USD_CAD,M15,train,0.1.0-c022,short,SESSION_BLOCKED,inside blocked session window,2.6,,18.9,20,Fri,NY
2021-10-15T19:45:00+00:00,USD_CAD,M15,train,0.1.0-c022,short,SESSION_BLOCKED,inside blocked session window,2.2,,17.0,19,Fri,NY
2021-10-26T13:45:00+00:00,USD_CAD,M15,train,0.1.0-c022,short,SPREAD_TOO_WIDE,spread 3.7 > cap 2.5 pips,3.7,,15.9,13,Tue,London/NY overlap
2021-11-30T13:15:00+00:00,USD_CAD,M15,train,0.1.0-c022,long,SPREAD_TOO_WIDE,spread 4.0 > cap 2.5 pips,4.0,,21.0,13,Tue,London/NY overlap
2021-12-22T05:00:00+00:00,USD_CAD,M15,train,0.1.0-c022,long,SPREAD_TOO_WIDE,spread 2.6 > cap 2.5 pips,2.6,,12.8,5,Wed,Asia/late
2022-01-16T23:30:00+00:00,USD_CAD,M15,train,0.1.0-c022,short,SESSION_BLOCKED,inside blocked session window,1.9,,17.5,23,Sun,Asia/late
2022-03-29T13:45:00+00:00,USD_CAD,M15,train,0.1.0-c022,short,SPREAD_TOO_WIDE,spread 3.0 > cap 2.5 pips,3.0,,24.4,13,Tue,London/NY overlap
2022-04-08T20:30:00+00:00,USD_CAD,M15,train,0.1.0-c022,long,SPREAD_TOO_WIDE,spread 14.2 > cap 2.5 pips,14.2,,10.0,20,Fri,NY
2022-04-08T20:30:00+00:00,USD_CAD,M15,train,0.1.0-c022,long,SESSION_BLOCKED,inside blocked session window,14.2,,10.0,20,Fri,NY
2022-04-25T22:15:00+00:00,USD_CAD,M15,train,0.1.0-c022,long,SPREAD_TOO_WIDE,spread 2.6 > cap 2.5 pips,2.6,,18.9,22,Mon,Asia/late
2022-05-03T06:45:00+00:00,USD_CAD,M15,train,0.1.0-c022,long,SPREAD_TOO_WIDE,spread 2.7 > cap 2.5 pips,2.7,,20.1,6,Tue,London
2022-05-13T06:00:00+00:00,USD_CAD,M15,train,0.1.0-c022,long,SPREAD_TOO_WIDE,spread 2.8 > cap 2.5 pips,2.8,,16.7,6,Fri,London
2022-05-18T05:00:00+00:00,USD_CAD,M15,train,0.1.0-c022,short,SPREAD_TOO_WIDE,spread 2.6 > cap 2.5 pips,2.6,,15.5,5,Wed,Asia/late
2022-06-05T23:00:00+00:00,USD_CAD,M15,train,0.1.0-c022,short,SESSION_BLOCKED,inside blocked session window,2.3,,15.7,23,Sun,Asia/late
2022-06-16T12:15:00+00:00,USD_CAD,M15,train,0.1.0-c022,long,SPREAD_TOO_WIDE,spread 2.8 > cap 2.5 pips,2.8,,29.0,12,Thu,London/NY overlap
2022-09-26T01:15:00+00:00,USD_CAD,M15,train,0.1.0-c022,long,SPREAD_TOO_WIDE,spread 2.7 > cap 2.5 pips,2.7,,37.0,1,Mon,Asia/late
2023-03-05T23:00:00+00:00,USD_CAD,M15,train,0.1.0-c022,long,SPREAD_TOO_WIDE,spread 4.1 > cap 2.5 pips,4.1,,18.0,23,Sun,Asia/late
2023-03-05T23:00:00+00:00,USD_CAD,M15,train,0.1.0-c022,long,SESSION_BLOCKED,inside blocked session window,4.1,,18.0,23,Sun,Asia/late
