timestamp,instrument,granularity,split,strategy_version,side,rejection_code,rejection_reason,spread_pips,atr_pips,stop_distance_pips,hour_utc,day_of_week,session
2021-07-02T12:15:00+00:00,USD_JPY,M15,train,0.1.0-c022,long,SPREAD_TOO_WIDE,spread 3.2 > cap 2.0 pips,3.2,,10.7,12,Fri,London/NY overlap
2021-07-02T12:15:00+00:00,USD_JPY,M15,train,0.1.0-c022,long,MARGIN_BUFFER,margin 52.08747510630281500618978416 > cap 50.00,3.2,,10.7,12,Fri,London/NY overlap
2021-07-13T12:30:00+00:00,USD_JPY,M15,train,0.1.0-c022,long,MARGIN_BUFFER,margin 51.88329107270700608081778388 > cap 49.86910295986926,1.4,,10.6,12,Tue,London/NY overlap
2021-07-16T05:30:00+00:00,USD_JPY,M15,train,0.1.0-c022,short,MARGIN_BUFFER,margin 50.03704173279551066626041956 > cap 49.60807991458339,1.3,,10.9,5,Fri,Asia/late
2021-08-04T10:45:00+00:00,USD_JPY,M15,train,0.1.0-c022,short,MARGIN_BUFFER,margin 64.27617144297070075367099628 > cap 49.47774572435203,1.3,,8.4,10,Wed,London
2021-08-09T12:45:00+00:00,USD_JPY,M15,train,0.1.0-c022,long,MARGIN_BUFFER,margin 53.40339380072996677016941764 > cap 49.47774572435203,1.4,,10.2,12,Mon,London/NY overlap
2021-08-11T18:45:00+00:00,USD_JPY,M15,train,0.1.0-c022,long,MARGIN_BUFFER,margin 52.04306229885161529791462028 > cap 49.47774572435203,1.3,,10.5,18,Wed,NY
2021-08-12T02:00:00+00:00,USD_JPY,M15,train,0.1.0-c022,long,MARGIN_BUFFER,margin 64.24378195519366715424989924 > cap 49.47774572435203,1.3,,8.5,2,Thu,Asia/late
2021-08-12T02:45:00+00:00,USD_JPY,M15,train,0.1.0-c022,long,MARGIN_BUFFER,margin 62.76369502502207830438622316 > cap 49.47774572435203,1.3,,8.7,2,Thu,Asia/late
2021-08-12T04:45:00+00:00,USD_JPY,M15,train,0.1.0-c022,long,MARGIN_BUFFER,margin 79.16394335581046749118047976 > cap 49.47774572435203,1.1,,6.9,4,Thu,Asia/late
2021-08-12T06:00:00+00:00,USD_JPY,M15,train,0.1.0-c022,long,MARGIN_BUFFER,margin 72.80428605718064028187256860 > cap 49.47774572435203,1.3,,7.5,6,Thu,London
2021-08-12T06:30:00+00:00,USD_JPY,M15,train,0.1.0-c022,long,MARGIN_BUFFER,margin 69.12406921505848681499327504 > cap 49.47774572435203,1.3,,7.9,6,Thu,London
2021-08-12T09:15:00+00:00,USD_JPY,M15,train,0.1.0-c022,long,MARGIN_BUFFER,margin 65.80387393629788640861559084 > cap 49.47774572435203,1.3,,8.3,9,Thu,London
2021-08-17T23:45:00+00:00,USD_JPY,M15,train,0.1.0-c022,short,MARGIN_BUFFER,margin 71.27577033152121817957741656 > cap 49.47774572435203,1.3,,7.6,23,Tue,Asia/late
2021-08-18T00:45:00+00:00,USD_JPY,M15,train,0.1.0-c022,short,MARGIN_BUFFER,margin 68.55624380221887412683194084 > cap 49.47774572435203,1.2,,7.9,0,Wed,Asia/late
2021-09-27T05:45:00+00:00,USD_JPY,M15,train,0.1.0-c022,long,MARGIN_BUFFER,margin 72.00390487295604306207120968 > cap 49.47774572435203,1.2,,7.6,5,Mon,Asia/late
2021-09-27T07:30:00+00:00,USD_JPY,M15,train,0.1.0-c022,long,MARGIN_BUFFER,margin 55.84302748811739829758010592 > cap 49.47774572435203,1.2,,9.8,7,Mon,London
2021-10-14T19:45:00+00:00,USD_JPY,M15,train,0.1.0-c022,long,MARGIN_BUFFER,margin 52.72278333098690694072926932 > cap 50.564238392357396,1.2,,10.9,19,Thu,NY
2021-10-19T04:45:00+00:00,USD_JPY,M15,train,0.1.0-c022,long,MARGIN_BUFFER,margin 52.36298056250082102525254736 > cap 50.445924963581047,1.3,,11.0,4,Tue,Asia/late
