timestamp,instrument,granularity,split,strategy_version,side,rejection_code,rejection_reason,spread_pips,atr_pips,stop_distance_pips,hour_utc,day_of_week,session
2020-03-02T10:00:00+00:00,USD_CHF,H4,train,0.2.0-c003,short,SPREAD_TOO_WIDE,spread 2.1 > cap 2.0 pips,2.1,35.801226985898616,72.7,10,Mon,London
2020-04-03T05:00:00+00:00,USD_CHF,H4,train,0.2.0-c003,long,SPREAD_TOO_WIDE,spread 2.1 > cap 2.0 pips,2.1,36.843413996154005,74.7,5,Fri,Asia/late
2020-04-03T09:00:00+00:00,USD_CHF,H4,train,0.2.0-c003,long,SPREAD_TOO_WIDE,spread 2.5 > cap 2.0 pips,2.5,37.479598710714434,76.2,9,Fri,London
2020-05-06T05:00:00+00:00,USD_CHF,H4,train,0.2.0-c003,long,SPREAD_TOO_WIDE,spread 2.2 > cap 2.0 pips,2.2,25.966471510228665,53.0,5,Wed,Asia/late
2020-05-06T05:00:00+00:00,USD_CHF,H4,train,0.2.0-c003,long,SPREAD_TO_ATR,spread/atr 8.47% > 8.0%,2.2,25.966471510228665,53.0,5,Wed,Asia/late
2020-07-08T13:00:00+00:00,USD_CHF,H4,train,0.2.0-c003,short,SPREAD_TO_ATR,spread/atr 8.59% > 8.0%,1.8,20.9498575182724,42.8,13,Wed,London/NY overlap
2020-07-09T01:00:00+00:00,USD_CHF,H4,train,0.2.0-c003,short,SPREAD_TO_ATR,spread/atr 9.04% > 8.0%,1.8,19.91542892406872,40.7,1,Thu,Asia/late
2020-08-18T09:00:00+00:00,USD_CHF,H4,train,0.2.0-c003,short,SPREAD_TO_ATR,spread/atr 8.19% > 8.0%,1.8,21.976495528124783,44.9,9,Tue,London
2020-09-10T05:00:00+00:00,USD_CHF,H4,train,0.2.0-c003,short,SPREAD_TO_ATR,spread/atr 9.01% > 8.0%,2,22.205644081701237,45.4,5,Thu,Asia/late
2020-10-12T13:00:00+00:00,USD_CHF,H4,train,0.2.0-c003,short,SPREAD_TO_ATR,spread/atr 10.58% > 8.0%,2.0,18.902752787414457,38.8,13,Mon,London/NY overlap
2020-10-20T09:00:00+00:00,USD_CHF,H4,train,0.2.0-c003,short,SPREAD_TO_ATR,spread/atr 9.31% > 8.0%,1.8,19.335997904619305,39.6,9,Tue,London
2020-10-21T05:00:00+00:00,USD_CHF,H4,train,0.2.0-c003,short,SPREAD_TO_ATR,spread/atr 8.12% > 8.0%,1.5,18.48266425447696,37.7,5,Wed,Asia/late
2021-02-01T18:00:00+00:00,USD_CHF,H4,train,0.2.0-c003,long,SPREAD_TOO_WIDE,spread 14.6 > cap 2.0 pips,14.6,20.796911927916288,48.9,18,Mon,NY
2021-02-01T18:00:00+00:00,USD_CHF,H4,train,0.2.0-c003,long,SPREAD_TO_ATR,spread/atr 70.20% > 8.0%,14.6,20.796911927916288,48.9,18,Mon,NY
