timestamp,instrument,granularity,split,strategy_version,side,rejection_code,rejection_reason,spread_pips,atr_pips,stop_distance_pips,hour_utc,day_of_week,session
2020-02-23T22:00:00+00:00,GBP_USD,H4,train,0.1.0-c007,short,SESSION_BLOCKED,inside blocked session window,1.8,29.77614788196635,60.5,22,Sun,Asia/late
2020-04-16T21:00:00+00:00,GBP_USD,H4,train,0.1.0-c007,long,SPREAD_TOO_WIDE,spread 3.3 > cap 2.5 pips,3.3,53.526641338262245,108.7,21,Thu,Asia/late
2020-04-16T21:00:00+00:00,GBP_USD,H4,train,0.1.0-c007,long,SESSION_BLOCKED,inside blocked session window,3.3,53.526641338262245,108.7,21,Thu,Asia/late
2020-05-04T21:00:00+00:00,GBP_USD,H4,train,0.1.0-c007,long,SESSION_BLOCKED,inside blocked session window,2.3,44.26709497192013,89.7,21,Mon,Asia/late
2020-05-06T21:00:00+00:00,GBP_USD,H4,train,0.1.0-c007,short,SESSION_BLOCKED,inside blocked session window,2.1,41.18605080918799,83.4,21,Wed,Asia/late
2020-06-15T17:00:00+00:00,GBP_USD,H4,train,0.1.0-c007,long,SPREAD_TOO_WIDE,spread 6.0 > cap 2.5 pips,6.0,58.758101633270826,120.5,17,Mon,NY
2020-06-15T17:00:00+00:00,GBP_USD,H4,train,0.1.0-c007,long,SPREAD_TO_ATR,spread/atr 10.21% > 8.0%,6.0,58.758101633270826,120.5,17,Mon,NY
2020-06-15T21:00:00+00:00,GBP_USD,H4,train,0.1.0-c007,long,SESSION_BLOCKED,inside blocked session window,2.0,58.28609437375147,117.6,21,Mon,Asia/late
2020-07-14T21:00:00+00:00,GBP_USD,H4,train,0.1.0-c007,long,SESSION_BLOCKED,inside blocked session window,2.0,37.55094502734713,76.1,21,Tue,Asia/late
2020-08-04T17:00:00+00:00,GBP_USD,H4,train,0.1.0-c007,long,SPREAD_TOO_WIDE,spread 6.0 > cap 2.5 pips,6.0,50.74848909332217,104.5,17,Tue,NY
2020-08-04T17:00:00+00:00,GBP_USD,H4,train,0.1.0-c007,long,SPREAD_TO_ATR,spread/atr 11.82% > 8.0%,6.0,50.74848909332217,104.5,17,Tue,NY
2020-08-04T21:00:00+00:00,GBP_USD,H4,train,0.1.0-c007,long,SESSION_BLOCKED,inside blocked session window,2.1,49.25931130094205,99.6,21,Tue,Asia/late
2020-08-09T21:00:00+00:00,GBP_USD,H4,train,0.1.0-c007,long,SESSION_BLOCKED,inside blocked session window,2.3,44.78024644927399,90.7,21,Sun,Asia/late
2020-08-12T21:00:00+00:00,GBP_USD,H4,train,0.1.0-c007,long,SESSION_BLOCKED,inside blocked session window,1.7,40.802750595804305,82.5,21,Wed,Asia/late
2020-09-04T17:00:00+00:00,GBP_USD,H4,train,0.1.0-c007,long,SPREAD_TOO_WIDE,spread 7.6 > cap 2.5 pips,7.6,49.41216827424282,102.6,17,Fri,NY
2020-09-04T17:00:00+00:00,GBP_USD,H4,train,0.1.0-c007,long,SPREAD_TO_ATR,spread/atr 15.38% > 8.0%,7.6,49.41216827424282,102.6,17,Fri,NY
2020-09-16T21:00:00+00:00,GBP_USD,H4,train,0.1.0-c007,short,SESSION_BLOCKED,inside blocked session window,2.1,49.14977389247363,99.3,21,Wed,Asia/late
2020-10-01T05:00:00+00:00,GBP_USD,H4,train,0.1.0-c007,short,SPREAD_TOO_WIDE,spread 12.4 > cap 2.5 pips,12.4,51.65585372973597,109.5,5,Thu,Asia/late
2020-10-01T05:00:00+00:00,GBP_USD,H4,train,0.1.0-c007,short,SPREAD_TO_ATR,spread/atr 24.01% > 8.0%,12.4,51.65585372973597,109.5,5,Thu,Asia/late
2020-10-02T01:00:00+00:00,GBP_USD,H4,train,0.1.0-c007,short,SPREAD_TOO_WIDE,spread 2.8 > cap 2.5 pips,2.8,55.80702171876835,113.0,1,Fri,Asia/late
2020-10-06T17:00:00+00:00,GBP_USD,H4,train,0.1.0-c007,short,SPREAD_TOO_WIDE,spread 6.0 > cap 2.5 pips,6.0,51.211324031730314,105.4,17,Tue,NY
2020-10-06T17:00:00+00:00,GBP_USD,H4,train,0.1.0-c007,short,SPREAD_TO_ATR,spread/atr 11.72% > 8.0%,6.0,51.211324031730314,105.4,17,Tue,NY
2020-11-19T18:00:00+00:00,GBP_USD,H4,train,0.1.0-c007,long,SPREAD_TOO_WIDE,spread 6 > cap 2.5 pips,6,39.153801412749424,81.3,18,Thu,NY
2020-11-19T18:00:00+00:00,GBP_USD,H4,train,0.1.0-c007,long,SPREAD_TO_ATR,spread/atr 15.32% > 8.0%,6,39.153801412749424,81.3,18,Thu,NY
2020-11-29T22:00:00+00:00,GBP_USD,H4,train,0.1.0-c007,long,SESSION_BLOCKED,inside blocked session window,1.8,37.02158818269694,74.9,22,Sun,Asia/late
2020-12-02T18:00:00+00:00,GBP_USD,H4,train,0.1.0-c007,long,SPREAD_TOO_WIDE,spread 6.0 > cap 2.5 pips,6.0,47.05037298706197,97.1,18,Wed,NY
2020-12-02T18:00:00+00:00,GBP_USD,H4,train,0.1.0-c007,long,SPREAD_TO_ATR,spread/atr 12.75% > 8.0%,6.0,47.05037298706197,97.1,18,Wed,NY
2020-12-07T18:00:00+00:00,GBP_USD,H4,train,0.1.0-c007,long,SPREAD_TOO_WIDE,spread 15.0 > cap 2.5 pips,15.0,64.91354789763645,137.3,18,Mon,NY
2020-12-07T18:00:00+00:00,GBP_USD,H4,train,0.1.0-c007,long,SPREAD_TO_ATR,spread/atr 23.11% > 8.0%,15.0,64.91354789763645,137.3,18,Mon,NY
2020-12-21T18:00:00+00:00,GBP_USD,H4,train,0.1.0-c007,long,SPREAD_TOO_WIDE,spread 6.0 > cap 2.5 pips,6.0,78.09706056163995,159.2,18,Mon,NY
2020-12-28T22:00:00+00:00,GBP_USD,H4,train,0.1.0-c007,long,SESSION_BLOCKED,inside blocked session window,2.0,60.0485374476976,121.1,22,Mon,Asia/late
2021-01-06T18:00:00+00:00,GBP_USD,H4,train,0.1.0-c007,long,SPREAD_TOO_WIDE,spread 6.0 > cap 2.5 pips,6.0,50.50705193152624,104.0,18,Wed,NY
2021-01-06T18:00:00+00:00,GBP_USD,H4,train,0.1.0-c007,long,SPREAD_TO_ATR,spread/atr 11.88% > 8.0%,6.0,50.50705193152624,104.0,18,Wed,NY
2021-01-18T22:00:00+00:00,GBP_USD,H4,train,0.1.0-c007,long,SESSION_BLOCKED,inside blocked session window,1.6,38.209403960551086,77.2,22,Mon,Asia/late
2021-01-20T22:00:00+00:00,GBP_USD,H4,train,0.1.0-c007,long,SESSION_BLOCKED,inside blocked session window,1.4,34.46462354826678,69.6,22,Wed,Asia/late
2021-02-01T22:00:00+00:00,GBP_USD,H4,train,0.1.0-c007,long,SESSION_BLOCKED,inside blocked session window,1.7,40.73224290620073,82.3,22,Mon,Asia/late
2021-03-17T17:00:00+00:00,GBP_USD,H4,train,0.1.0-c007,long,SPREAD_TOO_WIDE,spread 6 > cap 2.5 pips,6,44.68525586372038,92.4,17,Wed,NY
2021-03-17T17:00:00+00:00,GBP_USD,H4,train,0.1.0-c007,long,SPREAD_TO_ATR,spread/atr 13.43% > 8.0%,6,44.68525586372038,92.4,17,Wed,NY
2021-03-28T21:00:00+00:00,GBP_USD,H4,train,0.1.0-c007,short,SESSION_BLOCKED,inside blocked session window,1.8,36.14678406758939,73.2,21,Sun,Asia/late
2021-05-25T17:00:00+00:00,GBP_USD,H4,train,0.1.0-c007,long,SPREAD_TOO_WIDE,spread 6.0 > cap 2.5 pips,6.0,32.17165755013429,67.3,17,Tue,NY
2021-05-25T17:00:00+00:00,GBP_USD,H4,train,0.1.0-c007,long,SPREAD_TO_ATR,spread/atr 18.65% > 8.0%,6.0,32.17165755013429,67.3,17,Tue,NY
2021-07-14T21:00:00+00:00,GBP_USD,H4,train,0.1.0-c007,short,SESSION_BLOCKED,inside blocked session window,1.8,35.84794033856291,72.6,21,Wed,Asia/late
2021-08-23T21:00:00+00:00,GBP_USD,H4,train,0.1.0-c007,short,SESSION_BLOCKED,inside blocked session window,1.9,26.681744198153222,54.3,21,Mon,Asia/late
2021-08-31T21:00:00+00:00,GBP_USD,H4,train,0.1.0-c007,short,SESSION_BLOCKED,inside blocked session window,1.7,28.044268305129258,56.9,21,Tue,Asia/late
2021-10-11T17:00:00+00:00,GBP_USD,H4,train,0.1.0-c007,short,SPREAD_TOO_WIDE,spread 6 > cap 2.5 pips,6,33.00599573773261,69.0,17,Mon,NY
2021-10-11T17:00:00+00:00,GBP_USD,H4,train,0.1.0-c007,short,SPREAD_TO_ATR,spread/atr 18.18% > 8.0%,6,33.00599573773261,69.0,17,Mon,NY
2021-10-24T21:00:00+00:00,GBP_USD,H4,train,0.1.0-c007,long,SESSION_BLOCKED,inside blocked session window,1.8,30.42806805923189,61.8,21,Sun,Asia/late
2021-11-09T22:00:00+00:00,GBP_USD,H4,train,0.1.0-c007,short,SESSION_BLOCKED,inside blocked session window,1.6,36.73590727343152,74.3,22,Tue,Asia/late
2021-12-01T18:00:00+00:00,GBP_USD,H4,train,0.1.0-c007,short,SPREAD_TOO_WIDE,spread 6.0 > cap 2.5 pips,6.0,43.46252631873626,89.9,18,Wed,NY
2021-12-01T18:00:00+00:00,GBP_USD,H4,train,0.1.0-c007,short,SPREAD_TO_ATR,spread/atr 13.80% > 8.0%,6.0,43.46252631873626,89.9,18,Wed,NY
2021-12-12T22:00:00+00:00,GBP_USD,H4,train,0.1.0-c007,short,SESSION_BLOCKED,inside blocked session window,2,32.67504657189168,66.4,22,Sun,Asia/late
2022-01-17T22:00:00+00:00,GBP_USD,H4,train,0.1.0-c007,long,SESSION_BLOCKED,inside blocked session window,2.0,27.522378847206596,56.0,22,Mon,Asia/late
2022-03-21T21:00:00+00:00,GBP_USD,H4,train,0.1.0-c007,short,SESSION_BLOCKED,inside blocked session window,1.8,41.576553443208155,84.1,21,Mon,Asia/late
2022-03-30T17:00:00+00:00,GBP_USD,H4,train,0.1.0-c007,short,SPREAD_TOO_WIDE,spread 6.0 > cap 2.5 pips,6.0,39.91904732341944,82.8,17,Wed,NY
2022-03-30T17:00:00+00:00,GBP_USD,H4,train,0.1.0-c007,short,SPREAD_TO_ATR,spread/atr 15.03% > 8.0%,6.0,39.91904732341944,82.8,17,Wed,NY
2022-07-10T21:00:00+00:00,GBP_USD,H4,train,0.1.0-c007,short,SESSION_BLOCKED,inside blocked session window,2.5,55.66274861831293,112.6,21,Sun,Asia/late
2022-07-13T21:00:00+00:00,GBP_USD,H4,train,0.1.0-c007,short,SESSION_BLOCKED,inside blocked session window,1.9,57.73621332575963,116.4,21,Wed,Asia/late
2022-08-03T01:00:00+00:00,GBP_USD,H4,train,0.1.0-c007,long,SPREAD_TOO_WIDE,spread 2.6 > cap 2.5 pips,2.6,50.92671261172847,103.2,1,Wed,Asia/late
2022-08-03T21:00:00+00:00,GBP_USD,H4,train,0.1.0-c007,long,SESSION_BLOCKED,inside blocked session window,2.1,48.103759604901626,97.3,21,Wed,Asia/late
2022-08-26T17:00:00+00:00,GBP_USD,H4,train,0.1.0-c007,short,SPREAD_TOO_WIDE,spread 15.0 > cap 2.5 pips,15.0,48.542742785723114,104.6,17,Fri,NY
