timestamp,instrument,granularity,split,strategy_version,side,rejection_code,rejection_reason,spread_pips,atr_pips,stop_distance_pips,hour_utc,day_of_week,session
2020-02-24T22:00:00+00:00,USD_JPY,H4,full,0.1.0-c007,long,SESSION_BLOCKED,inside blocked session window,1.3,35.49789535459067,71.6,22,Mon,Asia/late
2020-03-16T09:00:00+00:00,USD_JPY,H4,full,0.1.0-c007,short,SPREAD_TOO_WIDE,spread 2.2 > cap 2.0 pips,2.2,111.97193043346216,225.0,9,Mon,London
2020-04-06T17:00:00+00:00,USD_JPY,H4,full,0.1.0-c007,long,SPREAD_TOO_WIDE,spread 5.6 > cap 2.0 pips,5.6,45.24783645259344,93.3,17,Mon,NY
2020-04-06T17:00:00+00:00,USD_JPY,H4,full,0.1.0-c007,long,SPREAD_TO_ATR,spread/atr 12.38% > 8.0%,5.6,45.24783645259344,93.3,17,Mon,NY
2020-07-06T17:00:00+00:00,USD_JPY,H4,full,0.1.0-c007,short,SPREAD_TOO_WIDE,spread 6.8 > cap 2.0 pips,6.8,16.969472660550288,37.3,17,Mon,NY
2020-07-06T17:00:00+00:00,USD_JPY,H4,full,0.1.0-c007,short,SPREAD_TO_ATR,spread/atr 40.07% > 8.0%,6.8,16.969472660550288,37.3,17,Mon,NY
2020-07-08T13:00:00+00:00,USD_JPY,H4,full,0.1.0-c007,short,SPREAD_TO_ATR,spread/atr 9.57% > 8.0%,1.7,17.77015309566075,36.4,13,Wed,London/NY overlap
2020-07-08T17:00:00+00:00,USD_JPY,H4,full,0.1.0-c007,short,SPREAD_TOO_WIDE,spread 2.9 > cap 2.0 pips,2.9,17.429427874542093,36.3,17,Wed,NY
2020-07-08T17:00:00+00:00,USD_JPY,H4,full,0.1.0-c007,short,SPREAD_TO_ATR,spread/atr 16.64% > 8.0%,2.9,17.429427874542093,36.3,17,Wed,NY
2020-07-09T21:00:00+00:00,USD_JPY,H4,full,0.1.0-c007,short,SPREAD_TO_ATR,spread/atr 10.18% > 8.0%,1.8,17.681121301460326,36.3,21,Thu,Asia/late
