timestamp,instrument,granularity,split,strategy_version,side,rejection_code,rejection_reason,spread_pips,atr_pips,stop_distance_pips,hour_utc,day_of_week,session
2020-06-17T21:00:00+00:00,USD_JPY,H4,full,0.1.0-c008,long,SESSION_BLOCKED,inside blocked session window,1.4,28.00648160105964,42.7,21,Wed,Asia/late
2020-07-23T21:00:00+00:00,USD_JPY,H4,full,0.1.0-c008,long,SESSION_BLOCKED,inside blocked session window,1.4,20.044150797241343,30.8,21,Thu,Asia/late
2021-10-08T17:00:00+00:00,USD_JPY,H4,full,0.1.0-c008,short,SPREAD_TOO_WIDE,spread 6.1 > cap 2.0 pips,6.1,24.860750579616173,40.3,17,Fri,NY
2021-10-08T17:00:00+00:00,USD_JPY,H4,full,0.1.0-c008,short,SPREAD_TO_ATR,spread/atr 24.54% > 8.0%,6.1,24.860750579616173,40.3,17,Fri,NY
2021-12-15T18:00:00+00:00,USD_JPY,H4,full,0.1.0-c008,short,SPREAD_TO_ATR,spread/atr 9.15% > 8.0%,1.9,20.766866557744525,32.1,18,Wed,NY
2021-12-15T22:00:00+00:00,USD_JPY,H4,full,0.1.0-c008,short,SESSION_BLOCKED,inside blocked session window,1.4,21.015661803619864,32.2,22,Wed,Asia/late
2022-05-18T17:00:00+00:00,USD_JPY,H4,full,0.1.0-c008,long,SPREAD_TOO_WIDE,spread 2.5 > cap 2.0 pips,2.5,47.905739026290476,73.1,17,Wed,NY
2022-08-28T21:00:00+00:00,USD_JPY,H4,full,0.1.0-c008,short,SESSION_BLOCKED,inside blocked session window,2.0,52.653906431536655,80.0,21,Sun,Asia/late
2022-09-22T01:00:00+00:00,USD_JPY,H4,full,0.1.0-c008,short,SPREAD_TOO_WIDE,spread 2.1 > cap 2.0 pips,2.1,62.815451852446316,95.3,1,Thu,Asia/late
2022-09-22T09:00:00+00:00,USD_JPY,H4,full,0.1.0-c008,long,SPREAD_TOO_WIDE,spread 2.7 > cap 2.0 pips,2.7,110.59342532175206,167.2,9,Thu,London
2022-11-23T18:00:00+00:00,USD_JPY,H4,full,0.1.0-c008,long,SPREAD_TOO_WIDE,spread 3.7 > cap 2.0 pips,3.7,63.35443382783058,96.9,18,Wed,NY
2022-12-20T02:00:00+00:00,USD_JPY,H4,full,0.1.0-c008,long,SPREAD_TOO_WIDE,spread 2.9 > cap 2.0 pips,2.9,93.66620053270493,141.9,2,Tue,Asia/late
2022-12-20T06:00:00+00:00,USD_JPY,H4,full,0.1.0-c008,long,SPREAD_TOO_WIDE,spread 2.1 > cap 2.0 pips,2.1,99.18647192322615,149.8,6,Tue,London
2023-01-12T10:00:00+00:00,USD_JPY,H4,full,0.1.0-c008,long,SPREAD_TOO_WIDE,spread 2.3 > cap 2.0 pips,2.3,74.14086915556162,112.4,10,Thu,London
2023-02-01T22:00:00+00:00,USD_JPY,H4,full,0.1.0-c008,long,SESSION_BLOCKED,inside blocked session window,1.9,58.804266202334375,89.2,22,Wed,Asia/late
2023-03-07T18:00:00+00:00,USD_JPY,H4,full,0.1.0-c008,short,SPREAD_TOO_WIDE,spread 2.5 > cap 2.0 pips,2.5,45.91710692888135,70.1,18,Tue,NY
2023-03-07T22:00:00+00:00,USD_JPY,H4,full,0.1.0-c008,short,SESSION_BLOCKED,inside blocked session window,1.9,45.68017071967545,69.5,22,Tue,Asia/late
2023-12-27T22:00:00+00:00,USD_JPY,H4,full,0.1.0-c008,long,SESSION_BLOCKED,inside blocked session window,1.3,47.80485588773737,72.4,22,Wed,Asia/late
2024-04-04T21:00:00+00:00,USD_JPY,H4,full,0.1.0-c008,long,SESSION_BLOCKED,inside blocked session window,1.6,24.042575081552663,36.9,21,Thu,Asia/late
2024-10-21T17:00:00+00:00,USD_JPY,H4,full,0.1.0-c008,short,SPREAD_TOO_WIDE,spread 5.3 > cap 2.0 pips,5.3,43.110273018916736,67.3,17,Mon,NY
2024-10-21T17:00:00+00:00,USD_JPY,H4,full,0.1.0-c008,short,SPREAD_TO_ATR,spread/atr 12.29% > 8.0%,5.3,43.110273018916736,67.3,17,Mon,NY
2025-02-04T22:00:00+00:00,USD_JPY,H4,full,0.1.0-c008,long,SESSION_BLOCKED,inside blocked session window,1.2,61.57632093861852,93.0,22,Tue,Asia/late
2025-04-02T21:00:00+00:00,USD_JPY,H4,full,0.1.0-c008,long,SESSION_BLOCKED,inside blocked session window,1.8,66.72685495831227,101.0,21,Wed,Asia/late
2025-05-28T21:00:00+00:00,USD_JPY,H4,full,0.1.0-c008,short,SESSION_BLOCKED,inside blocked session window,1.9,58.75086569736575,89.1,21,Wed,Asia/late
2025-06-20T17:00:00+00:00,USD_JPY,H4,full,0.1.0-c008,short,SPREAD_TOO_WIDE,spread 6.2 > cap 2.0 pips,6.2,43.704671777557984,68.7,17,Fri,NY
2025-06-20T17:00:00+00:00,USD_JPY,H4,full,0.1.0-c008,short,SPREAD_TO_ATR,spread/atr 14.19% > 8.0%,6.2,43.704671777557984,68.7,17,Fri,NY
2025-06-22T21:00:00+00:00,USD_JPY,H4,full,0.1.0-c008,short,SESSION_BLOCKED,inside blocked session window,1.7,45.16862379344667,68.6,21,Sun,Asia/late
2025-08-13T21:00:00+00:00,USD_JPY,H4,full,0.1.0-c008,long,SESSION_BLOCKED,inside blocked session window,1.8,43.95634982796554,66.8,21,Wed,Asia/late
2026-02-18T18:00:00+00:00,USD_JPY,H4,full,0.1.0-c008,short,SPREAD_TOO_WIDE,spread 2.3 > cap 2.0 pips,2.3,50.294957783384504,76.6,18,Wed,NY
2026-02-18T22:00:00+00:00,USD_JPY,H4,full,0.1.0-c008,short,SESSION_BLOCKED,inside blocked session window,1.8,49.309603655999965,74.9,22,Wed,Asia/late
