relationship,bucket,horizon_min,n,mean_rev_bp,p_revert,mean_frac_closed
EUR_GBP,stretched,5,1460,0.3815743087241987,0.9582191780821918,0.4197225598727686
EUR_GBP,stretched,15,1460,0.405205494346125,0.9602739726027397,0.2885442236580143
EUR_GBP,stretched,30,1460,0.4120845414719641,0.9698630136986301,0.43408884112890683
EUR_GBP,stretched,60,1460,0.42175435839128017,0.976027397260274,0.5509404613558808
EUR_GBP,stretched,240,1460,0.42647060101434875,0.9739726027397261,0.48306953391476737
EUR_GBP,extreme,5,250,0.6417766208265712,0.96,0.8522180923228918
EUR_GBP,extreme,15,250,0.7113806026284236,0.984,0.9406435420655611
EUR_GBP,extreme,30,250,0.700246957868863,0.98,0.9452690114634952
EUR_GBP,extreme,60,250,0.69219057541548,0.98,0.907179134161361
EUR_GBP,extreme,240,250,0.734566647895476,0.992,0.9588931908885168
EUR_GBP,compressed,5,10152,0.039926620682147494,0.5956461780929866,-9167439.823753338
EUR_GBP,compressed,15,10152,0.04396065810484915,0.6040189125295509,17145626.352369156
EUR_GBP,compressed,30,10152,0.043104107555259126,0.5956461780929866,12702943.319088181
EUR_GBP,compressed,60,10152,0.04447257582950475,0.5946611505122144,3148190.742640822
EUR_GBP,compressed,240,10152,0.04765699860863648,0.601063829787234,-21147996.841609415
EUR_JPY,stretched,5,1456,0.30838001096422774,0.9189560439560439,0.764696275970027
EUR_JPY,stretched,15,1456,0.3304059441365693,0.9361263736263736,0.8322097863740063
EUR_JPY,stretched,30,1456,0.3457196581630577,0.9395604395604396,0.8280072218935979
EUR_JPY,stretched,60,1456,0.3535449449522647,0.9429945054945055,0.8328149058032897
EUR_JPY,stretched,240,1456,0.3577357473781313,0.9395604395604396,0.79805049882835
EUR_JPY,extreme,5,293,0.46567432804001024,0.89419795221843,0.8786669025304211
EUR_JPY,extreme,15,293,0.49606227031385075,0.9112627986348123,0.6992299953353448
EUR_JPY,extreme,30,293,0.5236810903569403,0.9283276450511946,0.6725220551696418
EUR_JPY,extreme,60,293,0.5342149476534551,0.9351535836177475,0.6659365272120333
EUR_JPY,extreme,240,293,0.5303171676313436,0.9215017064846417,0.6171676480252314
EUR_JPY,compressed,5,10022,0.03169097863084938,0.5869088006385951,0.04513770723097748
EUR_JPY,compressed,15,10022,0.03085701200927929,0.5897026541608461,1.6228123460126653
EUR_JPY,compressed,30,10022,0.03522469626645826,0.5875074835362203,-2.1662872646435343
EUR_JPY,compressed,60,10022,0.037955830878544254,0.5942925563759729,0.871109487027713
EUR_JPY,compressed,240,10022,0.039066357839814214,0.5988824585910996,0.7228074981764607
GBP_JPY,stretched,5,1411,0.3206234104689932,0.9532246633593197,0.8738335357421175
GBP_JPY,stretched,15,1411,0.3354389040524827,0.9433026222537207,0.9945064915366683
GBP_JPY,stretched,30,1411,0.3458130432753256,0.9461374911410347,1.0573367088357373
GBP_JPY,stretched,60,1411,0.35753161219523844,0.9567682494684621,0.9559105998134086
GBP_JPY,stretched,240,1411,0.36730021780353067,0.9574769666902906,1.1176831249799732
GBP_JPY,extreme,5,270,0.5777440884034938,0.9629629629629629,0.8022917585631341
GBP_JPY,extreme,15,270,0.568436880759405,0.937037037037037,0.8532292589313725
GBP_JPY,extreme,30,270,0.5869607102762375,0.9407407407407408,0.8931945202252602
GBP_JPY,extreme,60,270,0.6058287861022569,0.9555555555555556,0.9618537817452172
GBP_JPY,extreme,240,270,0.6278779485515283,0.9629629629629629,0.9445866474534069
GBP_JPY,compressed,5,10066,0.030542265289957456,0.5878203854559905,1.2639489516043008
GBP_JPY,compressed,15,10066,0.036028027554392834,0.605702364394993,1.7249128661347455
GBP_JPY,compressed,30,10065,0.037656675834834556,0.6032786885245902,0.6041600720732337
GBP_JPY,compressed,60,10065,0.036248467628362535,0.6007948335817188,0.21486355411833966
GBP_JPY,compressed,240,10064,0.04045765909953499,0.5984697933227345,2.498780970924474
AUD_JPY,stretched,5,1486,0.4464816823126694,0.9488559892328399,0.7502951812844698
AUD_JPY,stretched,15,1486,0.45727339858529054,0.9502018842530283,0.7954297406604713
AUD_JPY,stretched,30,1485,0.4784473789581698,0.9663299663299664,0.8522985658539948
AUD_JPY,stretched,60,1485,0.4785323093437912,0.9622895622895623,0.8765386512853751
AUD_JPY,stretched,240,1485,0.48260153411400947,0.9521885521885521,0.7922225100672557
AUD_JPY,extreme,5,256,0.6509190201458778,0.921875,0.8088181759687275
AUD_JPY,extreme,15,256,0.6561376192493196,0.9296875,0.8360073475003946
AUD_JPY,extreme,30,256,0.7170732983086472,0.953125,0.7712902701489395
AUD_JPY,extreme,60,256,0.694830022184116,0.94921875,0.9394127073106662
AUD_JPY,extreme,240,256,0.7275497587723445,0.94921875,0.8123757752179497
AUD_JPY,compressed,5,10122,0.04727383608266227,0.5944477376012646,-1.2158039332715966
AUD_JPY,compressed,15,10122,0.05109162383038333,0.5968188105117566,1.9499474665827325
AUD_JPY,compressed,30,10122,0.05236859009253322,0.6035368504248172,1.7772006277301349
AUD_JPY,compressed,60,10122,0.04917721334353276,0.5974115787393796,-0.0690118693839693
AUD_JPY,compressed,240,10122,0.04365075679035855,0.5906935388263189,-1.7702424241952253
NZD_JPY,stretched,5,1686,0.3402731856960256,0.8683274021352313,0.8365322988005089
NZD_JPY,stretched,15,1686,0.3759660540487197,0.8701067615658363,1.8702561253118046
NZD_JPY,stretched,30,1686,0.3997381115544845,0.8706998813760379,0.9024252528161035
NZD_JPY,stretched,60,1686,0.4899994701575191,0.8855278766310795,0.9041299819486548
NZD_JPY,stretched,240,1685,0.8290383752042121,0.9436201780415431,0.4716158637385793
NZD_JPY,extreme,5,392,0.4475761174371308,0.7959183673469388,1.2537632553392155
NZD_JPY,extreme,15,392,0.4856537840290239,0.7933673469387755,5.555427970785922
NZD_JPY,extreme,30,392,0.5213607335127598,0.7755102040816326,1.262432185124609
NZD_JPY,extreme,60,392,0.7201288823959976,0.8290816326530612,1.3167818916890912
NZD_JPY,extreme,240,391,1.4639521192645286,0.9565217391304348,-0.7851004730144701
NZD_JPY,compressed,5,9476,0.03782407070463229,0.5783030814689742,-1.7481140574580636
NZD_JPY,compressed,15,9476,0.03842147573403917,0.5848459265512874,0.9158697455263363
NZD_JPY,compressed,30,9475,0.038019320188881225,0.5712928759894459,1.7352369486246315
NZD_JPY,compressed,60,9475,0.050308684889081294,0.5799472295514512,-0.024023671722148615
NZD_JPY,compressed,240,9475,0.052861122722975114,0.5857519788918206,0.7763086852613895
EUR_CHF,stretched,5,1466,0.4283323434391605,0.9427012278308322,0.6931566614123476
EUR_CHF,stretched,15,1466,0.47619933044019064,0.9665757162346521,0.7123864648930189
EUR_CHF,stretched,30,1466,0.49168281796861724,0.9638472032742156,0.8677313509048074
EUR_CHF,stretched,60,1466,0.4993230821891741,0.9618008185538881,0.8520447686615733
EUR_CHF,stretched,240,1465,0.5024283251358249,0.967235494880546,0.869633626634363
EUR_CHF,extreme,5,278,0.7181178667726947,0.935251798561151,0.7194728102716663
EUR_CHF,extreme,15,278,0.8304777260194782,0.960431654676259,0.8366821535636402
EUR_CHF,extreme,30,278,0.8976858783550765,0.9820143884892086,0.8963223971449366
EUR_CHF,extreme,60,278,0.9002780494434705,0.9784172661870504,0.9455355877494438
EUR_CHF,extreme,240,278,0.8838201142706633,0.9892086330935251,0.815907210189314
EUR_CHF,compressed,5,10328,0.04158599975373347,0.5886909372579395,0.7771028340827834
EUR_CHF,compressed,15,10328,0.0448769460659852,0.5922734314484895,0.8900518262923198
EUR_CHF,compressed,30,10328,0.04404769860416614,0.5957591014717274,0.6535213551432479
EUR_CHF,compressed,60,10328,0.04989902406750693,0.5968241673121611,2.5594304993596584
EUR_CHF,compressed,240,10326,0.04906715630767044,0.5981987216734457,6.857383380812792
GBP_CHF,stretched,5,1445,0.4847523892318295,0.9487889273356401,0.9142884223723082
GBP_CHF,stretched,15,1445,0.5400304560532275,0.9674740484429065,0.9665247330887514
GBP_CHF,stretched,30,1445,0.5557760606869498,0.9730103806228374,1.0005230552612667
GBP_CHF,stretched,60,1445,0.5678631077731618,0.9743944636678201,1.0100880373148464
GBP_CHF,stretched,240,1444,0.5718609785097056,0.9729916897506925,1.0164171211332307
GBP_CHF,extreme,5,282,0.858314882571261,0.9326241134751773,1.0293856507430865
GBP_CHF,extreme,15,282,1.0523172574622817,0.975177304964539,1.1073176259447068
GBP_CHF,extreme,30,282,1.0480492530161858,0.9858156028368794,1.1768839041382941
GBP_CHF,extreme,60,282,1.0600863237374714,0.975177304964539,1.0739073893358082
GBP_CHF,extreme,240,282,1.0484777316917748,0.9893617021276596,1.088261716155046
GBP_CHF,compressed,5,10526,0.04385848357631844,0.5844575337260118,0.07685533836611252
GBP_CHF,compressed,15,10526,0.0460646087577633,0.592627778833365,5.289466799492317
GBP_CHF,compressed,30,10526,0.04986801147223702,0.6005130153904618,1.627324243233318
GBP_CHF,compressed,60,10526,0.05354921876910272,0.6011780353410602,0.8413126005816383
