bucket,horizon_min,mean_rev_bp,p_revert,mean_frac_closed,n
compressed,5,0.03979664389738039,0.5892462739733655,-1145929.6790410918,80933
compressed,15,0.04222762200019731,0.5953142069256492,2143205.137769509,80933
compressed,30,0.04300611360737133,0.5938300419260715,1587868.3670532054,80931
compressed,60,0.04625659904618236,0.5962294565475825,393524.1290048783,80931
compressed,240,0.04561649598482622,0.5959082145251815,-2643498.1576469336,80925
extreme,5,0.6255110365161896,0.9243291841566481,0.8986799469357031,2265
extreme,15,0.6837000337781323,0.934321274953559,1.4487005151348606,2265
extreme,30,0.7066264007378379,0.9416548124040554,0.911039461001019,2265
extreme,60,0.736204125474728,0.9482763312943754,0.9446655051415731,2265
extreme,240,0.839111541903547,0.9695846416429358,0.6622000330880258,2264
stretched,5,0.3930613592710325,0.9393710935920633,0.7744524612442844,11862
stretched,15,0.4212302008129591,0.9456419698930684,0.9261216458791243,11862
stretched,30,0.43489362108982577,0.9501514326753263,0.862517516436749,11861
stretched,60,0.4518161604093118,0.9536013922285502,0.8668173722186104,11861
stretched,240,0.5006520210340971,0.9601954787734848,0.8210016683940385,11858
