variant,horizon_min,obs_bp,z
lookback_24,5,0.374,7.63
lookback_24,15,0.396,4.8
lookback_24,30,0.407,2.23
lookback_24,60,0.417,-0.6
lookback_24,240,0.444,1.13
lookback_96,5,0.393,11.34
lookback_96,15,0.427,5.66
lookback_96,30,0.448,5.4
lookback_96,60,0.485,4.68
lookback_96,240,0.578,5.82
robust_z,5,0.358,9.74
robust_z,15,0.385,8.04
robust_z,30,0.408,5.62
robust_z,60,0.438,5.36
robust_z,240,0.516,6.56
thresh_1.5,5,0.315,10.42
thresh_1.5,15,0.335,5.75
thresh_1.5,30,0.346,4.57
thresh_1.5,60,0.36,4.19
thresh_1.5,240,0.39,3.59
thresh_2.5,5,0.493,7.99
thresh_2.5,15,0.53,5.69
thresh_2.5,30,0.552,4.08
thresh_2.5,60,0.576,2.13
thresh_2.5,240,0.667,3.68
