condition,horizon_min,null,obs_bp,uncond_bp,null_mean_bp,null_std_bp,z
strongest,5,randomized_ranks,-0.007214196504529184,-0.005282174661222478,-0.003978536618771265,0.01685039154602087,-0.19202283085950034
strongest,5,shuffled_currencies,-0.007214196504529184,-0.005282174661222478,-0.00552260445740728,0.014257681575339957,-0.11864425770650375
strongest,5,matched_timestamps,-0.007214196504529184,-0.005282174661222478,-0.0053204264971176245,0.019372757279337825,-0.09775428350776769
strongest,5,unconditional,-0.007214196504529184,-0.005282174661222478,-0.005016426074930297,0.018313777934792125,-0.12000639286029614
weakest,5,randomized_ranks,-0.015132098536267324,-0.005282174661222478,-0.004389524453823174,0.017564034879311748,-0.6116233630973693
weakest,5,shuffled_currencies,-0.015132098536267324,-0.005282174661222478,-0.004131319008907407,0.018997594872657276,-0.5790616970779306
weakest,5,matched_timestamps,-0.015132098536267324,-0.005282174661222478,-0.0048475439156957486,0.019202872436097935,-0.5355737614149052
weakest,5,unconditional,-0.015132098536267324,-0.005282174661222478,-0.004555308558604537,0.01807705083426607,-0.5850948849252492
rapid_strengthen,5,randomized_ranks,-0.008601158494046851,-0.005282174661222478,-0.004475510906123493,0.0178749931901968,-0.2308055473937741
rapid_strengthen,5,shuffled_currencies,-0.008601158494046851,-0.005282174661222478,-0.006665773740283242,0.014777427339719167,-0.13096899137251247
rapid_strengthen,5,matched_timestamps,-0.008601158494046851,-0.005282174661222478,-0.005235545734605417,0.01948749792041225,-0.1727062536805257
rapid_strengthen,5,unconditional,-0.008601158494046851,-0.005282174661222478,-0.005031269152545673,0.01784663124441362,-0.20003155175958662
rapid_weaken,5,randomized_ranks,-0.005654962778825257,-0.005282174661222478,-0.004360844876482328,0.01779209065982445,-0.07273557262526323
rapid_weaken,5,shuffled_currencies,-0.005654962778825257,-0.005282174661222478,-0.004371444823203106,0.018999109795579477,-0.06755674183854588
rapid_weaken,5,matched_timestamps,-0.005654962778825257,-0.005282174661222478,-0.005602161842830858,0.019054995678531892,-0.002770976015171001
rapid_weaken,5,unconditional,-0.005654962778825257,-0.005282174661222478,-0.005431692951788415,0.017886938148206855,-0.012482283171489828
