condition,horizon_min,n,mean_bp,p_pos,p_neg,mfe_bp,mae_bp,rank_persist
strongest,5,25330,-0.007214196504529184,0.4933280694828267,0.5055665219107778,-0.007214196504529184,-0.007214196504529184,0.8400710619818397
weakest,5,25330,-0.015132098536267324,0.5005132254243979,0.4975917883932096,-0.015132098536267324,-0.015132098536267324,0.8432688511646269
rapid_strengthen,5,25330,-0.008601158494046851,0.49601263324121597,0.5028819581523885,-0.008601158494046851,-0.008601158494046851,
rapid_weaken,5,25330,-0.005654962778825257,0.5033557046979866,0.49506514015001973,-0.005654962778825257,-0.005654962778825257,
strongest,15,25330,0.006609925475153148,0.4898539281484406,0.5093564942755626,1.9947030190520936,-1.9813225546783306,0.7371891038294512
weakest,15,25330,0.008453701083566934,0.5099486774575602,0.48906435057244374,1.9383394990664027,-1.9471209635692033,0.7384524279510462
rapid_strengthen,15,25330,-0.00485161498547945,0.493999210422424,0.5048953809711804,1.9343473587956306,-1.9602157590840374,
rapid_weaken,15,25330,-0.06251507647203962,0.5000789577575997,0.4990525069088038,1.8928537032057815,-1.958633544354651,
strongest,30,25329,-0.03658724192056095,0.4888072959848395,0.5107189387658415,3.7376423817017477,-3.737512482533208,0.6426230802637293
weakest,30,25329,0.023274314167363124,0.5064155710845276,0.49295274191638044,3.700714765202244,-3.6863330995622032,0.6383591930198587
rapid_strengthen,30,25329,-0.016522560343258604,0.4894784634213747,0.5096529669548738,3.6671293875510793,-3.6821343000182805,
rapid_weaken,30,25329,-0.05417954474372278,0.5060207667100951,0.4932685854159264,3.6150919410080067,-3.7005074797666846,
strongest,60,25329,0.007251340180974734,0.49263689841683445,0.5071656993959494,6.169363120795861,-6.1380299659305155,0.5252872201823996
weakest,60,25329,-0.03406182526599376,0.5034150578388409,0.4960322160369537,6.096962693524686,-6.132928763835204,0.5197204785029018
rapid_strengthen,60,25329,0.006594578534334243,0.49271585929172096,0.5070472580836196,6.081286918445022,-6.063054627482272,
rapid_weaken,60,25329,-0.05811963036405702,0.5062576493347546,0.49322910497848316,5.976956993215914,-6.098998748875236,
strongest,240,25326,-0.020449501027202718,0.4990128721472005,0.5008686725104635,14.372381620226443,-14.157166574152024,0.16098081023454158
weakest,240,25326,0.006946559474033626,0.4991313274895364,0.5005922767116797,14.283624892777626,-14.43301991684823,0.1657979941562031
rapid_strengthen,240,25326,0.12581086060438587,0.5005922767116797,0.4992497828318724,14.154366751789189,-14.046518036606306,
rapid_weaken,240,25326,-0.07936299197890916,0.4974729526968333,0.5022506515043829,14.106951403179343,-14.151163232668017,
