variant,condition,horizon_min,mean_bp,matched_z
lookback_24,strongest,60,-0.052,-0.9
lookback_24,strongest,240,0.005,-0.1
lookback_24,weakest,60,-0.049,-0.75
lookback_24,weakest,240,-0.115,-1.04
lookback_24,rapid_strengthen,60,-0.041,-0.6
lookback_24,rapid_strengthen,240,-0.021,-0.25
lookback_24,rapid_weaken,60,0.032,0.48
lookback_24,rapid_weaken,240,0.017,0.15
lookback_48,strongest,60,0.007,0.05
lookback_48,strongest,240,-0.02,-0.3
lookback_48,weakest,60,-0.034,-0.52
lookback_48,weakest,240,0.007,-0.05
lookback_48,rapid_strengthen,60,0.007,0.15
lookback_48,rapid_strengthen,240,0.126,0.92
lookback_48,rapid_weaken,60,-0.058,-0.94
lookback_48,rapid_weaken,240,-0.079,-0.67
lookback_96,strongest,60,-0.075,-1.26
lookback_96,strongest,240,-0.05,-0.54
lookback_96,weakest,60,-0.068,-1.03
lookback_96,weakest,240,-0.193,-1.69
lookback_96,rapid_strengthen,60,-0.042,-0.61
lookback_96,rapid_strengthen,240,-0.02,-0.24
lookback_96,rapid_weaken,60,0.033,0.49
lookback_96,rapid_weaken,240,-0.191,-1.62
rank_top1,strongest,60,0.007,
rank_top1,weakest,60,-0.034,
rank_top1,strongest,240,-0.02,
rank_top1,weakest,240,0.007,
rank_top2,strongest,60,-0.016,
rank_top2,weakest,60,-0.005,
rank_top2,strongest,240,-0.012,
rank_top2,weakest,240,0.049,
agg_volnorm,strongest,60,122.614,0.72
agg_volnorm,strongest,240,-109.414,-0.23
agg_volnorm,weakest,60,-239.813,-1.16
agg_volnorm,weakest,240,-551.439,-1.57
agg_volnorm,rapid_strengthen,60,-140.319,-0.62
agg_volnorm,rapid_strengthen,240,177.821,0.64
agg_volnorm,rapid_weaken,60,93.088,0.59
agg_volnorm,rapid_weaken,240,-262.174,-0.66
