campaign,split,exit_reason,bespoke_count,bespoke_share_pct,bespoke_expectancy_r,backtrader_count,backtrader_share_pct,backtrader_expectancy_r,share_delta_pct,verdict
C008,train,eod,1,0.46,-0.037,1,0.46,-0.037,0.0,PASS
C008,train,stop,153,70.83,-0.8024,153,70.83,-0.8024,0.0,PASS
C008,train,time,62,28.7,1.8937,62,28.7,1.8937,0.0,PASS
C008,validation,stop,88,63.77,-0.785,88,64.23,-0.785,0.46,CLOSE_MATCH
C008,validation,time,50,36.23,1.8266,49,35.77,1.8367,0.46,CLOSE_MATCH
C009,train,eod,1,0.4,-0.037,1,0.4,-0.037,0.0,PASS
C009,train,stop,151,59.92,-0.7992,151,59.92,-0.7992,0.0,PASS
C009,train,target,97,38.49,1.1593,97,38.49,1.1593,0.0,PASS
C009,train,time,3,1.19,0.6289,3,1.19,0.6289,0.0,PASS
C009,validation,stop,76,50.33,-0.7679,76,50.67,-0.7679,0.34,CLOSE_MATCH
C009,validation,target,68,45.03,1.2136,67,44.67,1.2053,0.36,CLOSE_MATCH
C009,validation,time,7,4.64,0.5567,7,4.67,0.5567,0.03,CLOSE_MATCH
C018,train,eod,1,0.42,-0.037,1,0.42,-0.037,0.0,PASS
C018,train,protective_stop,88,37.29,0.0,88,37.29,0.0,0.0,PASS
C018,train,stop,115,48.73,-0.8224,115,48.73,-0.8224,0.0,PASS
C018,train,time,32,13.56,2.0807,32,13.56,2.0807,0.0,PASS
C018,validation,protective_stop,57,40.14,0.0,56,39.72,0.0,0.42,CLOSE_MATCH
C018,validation,stop,59,41.55,-0.7486,59,41.84,-0.7486,0.29,CLOSE_MATCH
C018,validation,time,26,18.31,2.7585,26,18.44,2.7585,0.13,CLOSE_MATCH
