instrument,side,units,entry_time,exit_time,entry_price,exit_price,stop_price,pnl,r_multiple,bars_held,spread_paid_pips,exit_reason,fill_timing,ambiguous_exit,gap_fill,gap_fill_distance_pips
GBP_USD,short,347,2023-10-27T13:00:00+00:00,2023-10-30T13:00:00+00:00,1.2128200,1.21504,1.21661,-0.7703400,-0.5857519788918205804749340369,12,1.9,time,next_bar_open,False,False,
GBP_USD,short,381,2023-10-31T09:00:00+00:00,2023-11-01T09:00:00+00:00,1.2169200,1.21229,1.22039,1.7640300,1.334293948126801152737752161,12,2.0,time,next_bar_open,False,False,
GBP_USD,long,420,2023-11-01T13:00:00+00:00,2023-11-02T13:00:00+00:00,1.2123900,1.21784,1.20926,2.2890000,1.741214057507987220447284345,12,1.5,time,next_bar_open,False,False,
GBP_USD,short,373,2023-12-22T06:00:00+00:00,2023-12-22T10:00:00+00:00,1.2682800,1.27185,1.27185,-1.3316100,-1,2,2.0,stop,next_bar_open,False,False,
GBP_USD,long,653,2024-01-10T06:00:00+00:00,2024-01-11T06:00:00+00:00,1.2704300,1.27387,1.26834,2.2463200,1.645933014354066985645933014,12,1.7,time,next_bar_open,False,False,
GBP_USD,long,366,2024-01-26T06:00:00+00:00,2024-01-29T06:00:00+00:00,1.2708900,1.27027,1.26726,-0.2269200,-0.1707988980716253443526170799,12,1.9,time,next_bar_open,False,False,
GBP_USD,long,359,2024-01-29T14:00:00+00:00,2024-01-30T14:00:00+00:00,1.2696000,1.26594,1.26594,-1.3139400,-1,12,1.6,stop,next_bar_open,False,False,
GBP_USD,long,324,2024-01-30T14:00:00+00:00,2024-01-31T14:00:00+00:00,1.2677900,1.27174,1.26374,1.2798000,0.9753086419753086419753086420,12,1.8,time,next_bar_open,False,False,
GBP_USD,long,356,2024-02-01T10:00:00+00:00,2024-02-02T10:00:00+00:00,1.2658500,1.26708,1.26216,0.4378800,0.3333333333333333333333333333,12,1.6,time,next_bar_open,False,False,
GBP_USD,short,442,2024-02-12T06:00:00+00:00,2024-02-13T06:00:00+00:00,1.2626800,1.26555,1.26571,-1.2685400,-0.9471947194719471947194719472,12,1.8,time,next_bar_open,False,False,
GBP_USD,short,604,2024-02-16T18:00:00+00:00,2024-02-18T22:00:00+00:00,1.2604900,1.26276,1.26276,-1.3710800,-1,2,1.9,stop,next_bar_open,False,False,
