candidate_id,base_expectancy_r,stress_2x_expectancy_r
C025_MTX_001,-0.12536270272709554,-0.5405780553344396
C025_MTX_002,-0.17042290014409128,-0.6858031571108631
C025_MTX_003,-0.16168830778187493,-0.6615989600254151
C025_MTX_004,-0.13259502729496256,-0.5406304128758133
C025_MTX_005,-0.13179117956408978,-0.5274169215766732
C025_MTX_006,-0.13343136720909365,-0.537948366665999
C025_MTX_007,-0.14970122854830786,-0.6026210844797906
C025_MTX_008,-0.0800948809057851,-0.42165189897498184
C025_MTX_009,-0.07673692841417351,-0.4029097188740306
C025_MTX_010,-0.1388659096047854,-0.560910562268838
C025_MTX_011,-0.1097932460339954,-0.49768574114733954
C025_MTX_012,-0.17796314639033525,-0.7486312482246433
C025_MTX_013,-0.16915559683686282,-0.7373554494409669
C025_MTX_014,-0.1165824365899146,-0.5148221076255072
C025_MTX_015,-0.14908214574661052,-0.6708259403197688
C025_MTX_016,-0.08288270979309854,-0.42814787611625627
