candidate_id,hard_stop,fixed_target_2r,fixed_target_3r,breakeven_stop,atr_trailing_stop,donchian_channel_exit,time_stop,end_of_data
C025_MTX_001,2269,0,0,0,0,0,3388,0
C025_MTX_002,3205,1150,0,0,0,0,3613,2
C025_MTX_003,2771,999,0,0,0,0,3226,2
C025_MTX_004,2235,773,0,0,0,0,2894,0
C025_MTX_005,1984,679,0,0,0,0,2583,0
C025_MTX_006,2321,0,395,0,0,0,2184,0
C025_MTX_007,1934,0,349,0,0,0,1456,0
C025_MTX_008,1542,0,0,413,886,0,1571,0
C025_MTX_009,1381,0,0,378,782,0,1429,0
C025_MTX_010,1243,0,0,0,0,3602,777,0
C025_MTX_011,904,0,0,0,0,1717,879,0
C025_MTX_012,2334,881,0,0,0,0,2198,1
C025_MTX_013,2108,0,0,576,1231,0,1213,1
C025_MTX_014,2113,0,0,0,0,0,2267,0
C025_MTX_015,3218,0,0,0,0,0,3561,2
C025_MTX_016,1770,0,0,0,0,0,2404,0
