candidate_id,eligible,failed,single_pair_review_flag
C025_MTX_001,False,expectancy_gte_0|pf_gte_1_03|pairs_nonneg_gte_3|stress_2x_exp_gte_neg_0_005,False
C025_MTX_002,False,expectancy_gte_0|pf_gte_1_03|pairs_nonneg_gte_3|stress_2x_exp_gte_neg_0_005,False
C025_MTX_003,False,expectancy_gte_0|pf_gte_1_03|pairs_nonneg_gte_3|stress_2x_exp_gte_neg_0_005,False
C025_MTX_004,False,expectancy_gte_0|pf_gte_1_03|pairs_nonneg_gte_3|stress_2x_exp_gte_neg_0_005,False
C025_MTX_005,False,expectancy_gte_0|pf_gte_1_03|pairs_nonneg_gte_3|stress_2x_exp_gte_neg_0_005,False
C025_MTX_006,False,expectancy_gte_0|pf_gte_1_03|pairs_nonneg_gte_3|stress_2x_exp_gte_neg_0_005,False
C025_MTX_007,False,expectancy_gte_0|pf_gte_1_03|pairs_nonneg_gte_3|stress_2x_exp_gte_neg_0_005,False
C025_MTX_008,False,expectancy_gte_0|pf_gte_1_03|pairs_nonneg_gte_3|stress_2x_exp_gte_neg_0_005,False
C025_MTX_009,False,expectancy_gte_0|pf_gte_1_03|pairs_nonneg_gte_3|stress_2x_exp_gte_neg_0_005,False
C025_MTX_010,False,expectancy_gte_0|pf_gte_1_03|pairs_nonneg_gte_3|stress_2x_exp_gte_neg_0_005,False
C025_MTX_011,False,expectancy_gte_0|pf_gte_1_03|pairs_nonneg_gte_3|stress_2x_exp_gte_neg_0_005,False
C025_MTX_012,False,expectancy_gte_0|pf_gte_1_03|pairs_nonneg_gte_3|stress_2x_exp_gte_neg_0_005,False
C025_MTX_013,False,expectancy_gte_0|pf_gte_1_03|pairs_nonneg_gte_3|stress_2x_exp_gte_neg_0_005,False
C025_MTX_014,False,expectancy_gte_0|pf_gte_1_03|pairs_nonneg_gte_3|stress_2x_exp_gte_neg_0_005,False
C025_MTX_015,False,expectancy_gte_0|pf_gte_1_03|pairs_nonneg_gte_3|stress_2x_exp_gte_neg_0_005,False
C025_MTX_016,False,expectancy_gte_0|pf_gte_1_03|pairs_nonneg_gte_3|stress_2x_exp_gte_neg_0_005,False
