candidate_id,archetype,trade_count,expectancy_r,profit_factor,pairs_nonneg,top_pair_concentration,stress_2x_expectancy_r,beat_c011_null_by,avg_hold_bars,avg_spread_atr_ratio
C025_MTX_001,baseline_continuation,5657,-0.12536270272709554,0.7745162523499547,1,0.2035,-0.5405780553344396,-0.12245,37.48,0.4636699066109521
C025_MTX_002,tight_breakout_scalp,7970,-0.17042290014409128,0.7030321319106049,0,0.1841,-0.6858031571108631,-0.16751,25.32,0.4646671399644352
C025_MTX_003,tight_strict_scalp,6998,-0.16168830778187493,0.7140957539143509,0,0.1778,-0.6615989600254151,-0.15877,25.58,0.4551374554473153
C025_MTX_004,balanced_2r_breakout,5902,-0.13259502729496256,0.7494460813619958,0,0.1913,-0.5406304128758133,-0.12968,34.75,0.45945345269540405
C025_MTX_005,balanced_strict_2r,5246,-0.13179117956408978,0.7499597900819156,0,0.1832,-0.5274169215766732,-0.12888,34.91,0.45127339956489493
C025_MTX_006,balanced_3r_continuation,4900,-0.13343136720909365,0.7815872063173724,1,0.1967,-0.537948366665999,-0.13052,48.89,0.45853660490380177
C025_MTX_007,compression_3r_continuation,3739,-0.14970122854830786,0.7726383178741212,1,0.2095,-0.6026210844797906,-0.14679,45.36,0.4887276503144782
C025_MTX_008,wider_trend_runner,4412,-0.0800948809057851,0.8290282193621259,1,0.1927,-0.42165189897498184,-0.07718,46.12,0.4543085538637328
C025_MTX_009,strict_trend_runner,3970,-0.07673692841417351,0.8348432926094599,1,0.1815,-0.4029097188740306,-0.07382,46.19,0.4427876819313463
C025_MTX_010,donchian_channel_follower,5622,-0.1388659096047854,0.7388193356744076,1,0.2211,-0.560910562268838,-0.13595,36.01,0.4672770658711625
C025_MTX_011,wide_donchian_channel_follower,3500,-0.1097932460339954,0.7996557435556518,1,0.2347,-0.49768574114733954,-0.10688,43.55,0.4886497444761435
C025_MTX_012,fast_compression_breakout,5414,-0.17796314639033525,0.7072883023061008,0,0.1903,-0.7486312482246433,-0.17505,23.86,0.5025761212690409
C025_MTX_013,fast_compression_runner,5129,-0.16915559683686282,0.7068058912701568,0,0.2029,-0.7373554494409669,-0.16624,25.7,0.49657593680944917
C025_MTX_014,conservative_strict_no_target,4380,-0.1165824365899146,0.8121242646650038,1,0.2,-0.5148221076255072,-0.11367,51.28,0.45402198176429237
C025_MTX_015,shorter_base_no_target,6781,-0.14908214574661052,0.7701433923048177,1,0.2041,-0.6708259403197688,-0.14617,34.49,0.4670412752665965
C025_MTX_016,wider_base_no_target,4174,-0.08288270979309854,0.8501062847688523,1,0.2152,-0.42814787611625627,-0.07997,54.82,0.4597489114523115
