candidate_id,pair,expectancy_r,trade_count
C025_MTX_001,EUR_USD,-0.12319,872
C025_MTX_001,GBP_USD,-0.17878,830
C025_MTX_001,USD_JPY,0.03858,911
C025_MTX_001,AUD_USD,-0.14198,710
C025_MTX_001,USD_CAD,-0.14085,819
C025_MTX_001,USD_CHF,-0.13925,663
C025_MTX_001,NZD_USD,-0.21131,852
C025_MTX_002,EUR_USD,-0.20911,1249
C025_MTX_002,GBP_USD,-0.17443,1168
C025_MTX_002,USD_JPY,-0.06276,1315
C025_MTX_002,AUD_USD,-0.15797,977
C025_MTX_002,USD_CAD,-0.18269,1166
C025_MTX_002,USD_CHF,-0.18652,935
C025_MTX_002,NZD_USD,-0.23197,1160
C025_MTX_003,EUR_USD,-0.21264,1097
C025_MTX_003,GBP_USD,-0.16203,1015
C025_MTX_003,USD_JPY,-0.06649,1140
C025_MTX_003,AUD_USD,-0.1443,862
C025_MTX_003,USD_CAD,-0.16644,1027
C025_MTX_003,USD_CHF,-0.16536,835
C025_MTX_003,NZD_USD,-0.21974,1022
C025_MTX_004,EUR_USD,-0.12531,912
C025_MTX_004,GBP_USD,-0.1583,863
C025_MTX_004,USD_JPY,-0.0033,957
C025_MTX_004,AUD_USD,-0.13664,736
C025_MTX_004,USD_CAD,-0.14266,856
C025_MTX_004,USD_CHF,-0.16658,699
C025_MTX_004,NZD_USD,-0.21548,879
C025_MTX_005,EUR_USD,-0.13039,808
C025_MTX_005,GBP_USD,-0.15998,758
C025_MTX_005,USD_JPY,-0.01761,839
C025_MTX_005,AUD_USD,-0.12201,660
C025_MTX_005,USD_CAD,-0.1388,767
C025_MTX_005,USD_CHF,-0.1642,634
C025_MTX_005,NZD_USD,-0.20369,780
C025_MTX_006,EUR_USD,-0.15473,765
C025_MTX_006,GBP_USD,-0.13492,708
C025_MTX_006,USD_JPY,0.00285,814
C025_MTX_006,AUD_USD,-0.14673,611
C025_MTX_006,USD_CAD,-0.16078,701
C025_MTX_006,USD_CHF,-0.16284,576
C025_MTX_006,NZD_USD,-0.20151,725
C025_MTX_007,EUR_USD,-0.16594,577
C025_MTX_007,GBP_USD,-0.10383,547
C025_MTX_007,USD_JPY,0.03137,619
C025_MTX_007,AUD_USD,-0.21571,467
C025_MTX_007,USD_CAD,-0.1581,547
C025_MTX_007,USD_CHF,-0.2245,448
C025_MTX_007,NZD_USD,-0.25996,534
C025_MTX_008,EUR_USD,-0.13155,692
C025_MTX_008,GBP_USD,-0.10742,650
C025_MTX_008,USD_JPY,0.01946,727
C025_MTX_008,AUD_USD,-0.07071,544
C025_MTX_008,USD_CAD,-0.09722,641
C025_MTX_008,USD_CHF,-0.08069,518
C025_MTX_008,NZD_USD,-0.10015,640
C025_MTX_009,EUR_USD,-0.11001,612
C025_MTX_009,GBP_USD,-0.11463,581
C025_MTX_009,USD_JPY,0.00964,641
C025_MTX_009,AUD_USD,-0.06398,498
C025_MTX_009,USD_CAD,-0.10623,588
C025_MTX_009,USD_CHF,-0.05712,470
C025_MTX_009,NZD_USD,-0.09607,580
C025_MTX_010,EUR_USD,-0.17396,870
C025_MTX_010,GBP_USD,-0.15981,807
C025_MTX_010,USD_JPY,0.02749,925
C025_MTX_010,AUD_USD,-0.12477,697
C025_MTX_010,USD_CAD,-0.16374,818
C025_MTX_010,USD_CHF,-0.21086,670
C025_MTX_010,NZD_USD,-0.19598,835
C025_MTX_011,EUR_USD,-0.07373,532
C025_MTX_011,GBP_USD,-0.16189,523
C025_MTX_011,USD_JPY,0.13696,560
C025_MTX_011,AUD_USD,-0.18666,437
C025_MTX_011,USD_CAD,-0.13873,520
C025_MTX_011,USD_CHF,-0.20593,426
C025_MTX_011,NZD_USD,-0.19053,502
C025_MTX_012,EUR_USD,-0.20302,856
C025_MTX_012,GBP_USD,-0.18536,806
C025_MTX_012,USD_JPY,-0.05624,889
C025_MTX_012,AUD_USD,-0.15544,660
C025_MTX_012,USD_CAD,-0.17872,800
C025_MTX_012,USD_CHF,-0.25198,645
C025_MTX_012,NZD_USD,-0.2404,758
C025_MTX_013,EUR_USD,-0.17863,816
C025_MTX_013,GBP_USD,-0.21729,773
C025_MTX_013,USD_JPY,-0.01607,832
C025_MTX_013,AUD_USD,-0.16563,627
C025_MTX_013,USD_CAD,-0.14765,740
C025_MTX_013,USD_CHF,-0.24988,612
C025_MTX_013,NZD_USD,-0.23933,729
C025_MTX_014,EUR_USD,-0.10986,679
C025_MTX_014,GBP_USD,-0.16602,635
C025_MTX_014,USD_JPY,0.0579,702
C025_MTX_014,AUD_USD,-0.12324,555
C025_MTX_014,USD_CAD,-0.17224,641
C025_MTX_014,USD_CHF,-0.1393,509
C025_MTX_014,NZD_USD,-0.18445,659
C025_MTX_015,EUR_USD,-0.17854,1069
C025_MTX_015,GBP_USD,-0.17419,981
C025_MTX_015,USD_JPY,0.05985,1088
C025_MTX_015,AUD_USD,-0.16522,855
C025_MTX_015,USD_CAD,-0.19209,994
C025_MTX_015,USD_CHF,-0.18605,778
C025_MTX_015,NZD_USD,-0.23362,1016
C025_MTX_016,EUR_USD,-0.08203,648
C025_MTX_016,GBP_USD,-0.15188,611
C025_MTX_016,USD_JPY,0.0943,689
C025_MTX_016,AUD_USD,-0.11906,521
C025_MTX_016,USD_CAD,-0.12692,605
C025_MTX_016,USD_CHF,-0.10939,490
C025_MTX_016,NZD_USD,-0.11895,610
