candidate_id,long_count,long_expectancy_r,short_count,short_expectancy_r
C025_MTX_001,2829,-0.12442380209645204,2828,-0.12630193535937648
C025_MTX_002,3982,-0.16824466905662236,3988,-0.1725978540533945
C025_MTX_003,3470,-0.14793977344692164,3528,-0.1752108174593942
C025_MTX_004,2956,-0.13482240788544694,2946,-0.13036008601000945
C025_MTX_005,2621,-0.1265523016415005,2625,-0.13702207443460654
C025_MTX_006,2470,-0.13864601305073884,2430,-0.12813088357581648
C025_MTX_007,1884,-0.14426223307029004,1855,-0.15522525414431085
C025_MTX_008,2205,-0.07166097547625236,2207,-0.08852114346678179
C025_MTX_009,1978,-0.06925471246288462,1992,-0.08416655851038304
C025_MTX_010,2811,-0.11667427328336791,2811,-0.1610575459262029
C025_MTX_011,1768,-0.09098248081082,1732,-0.12899499713940774
C025_MTX_012,2716,-0.17796201053118763,2698,-0.17796428982749057
C025_MTX_013,2571,-0.16352540078448635,2558,-0.17481440608262502
C025_MTX_014,2199,-0.1134660335940285,2181,-0.11972455955550539
C025_MTX_015,3365,-0.13706062979604022,3416,-0.16092418356091648
C025_MTX_016,2103,-0.07334262399284813,2071,-0.09257020396882357
