timeframe,pair,bars,status,median_spread_atr,mean_spread_atr,p75_spread_atr,p90_spread_atr,median_atr_pips,median_spread_pips,roundtrip_cost_pips_at_median,cost_drag_r_per_1atr_stop,min_target_r_to_overcome_cost
M3,EUR_USD,423903,OK,0.6007,0.7475,0.9379,1.346,2.509,1.5,1.9,0.7574,0.7574
M3,GBP_USD,419945,OK,0.5474,0.7241,0.8653,1.2511,3.391,1.8,2.2,0.6488,0.6488
M3,USD_JPY,425323,OK,0.4297,0.5459,0.6412,0.95,3.871,1.7,2.1,0.5424,0.5424
M3,AUD_USD,411683,OK,0.5427,0.6346,0.7237,0.9631,2.446,1.3,1.7,0.6951,0.6951
M3,USD_CAD,420405,OK,0.6752,0.8054,0.9821,1.3764,2.827,1.9,2.3,0.8137,0.8137
M3,USD_CHF,395622,OK,0.6749,0.8512,1.0062,1.4016,2.383,1.6,2.0,0.8394,0.8394
M3,NZD_USD,415156,OK,0.6929,0.8058,0.9099,1.2045,2.304,1.6,2.0,0.868,0.868
M5,EUR_USD,251634,OK,0.4484,0.5361,0.6795,0.9428,3.373,1.5,1.9,0.5633,0.5633
M5,GBP_USD,248698,OK,0.4077,0.5171,0.6293,0.878,4.565,1.8,2.2,0.4819,0.4819
M5,USD_JPY,253067,OK,0.3204,0.3918,0.4671,0.666,5.207,1.7,2.1,0.4033,0.4033
M5,AUD_USD,241764,OK,0.4001,0.4501,0.5179,0.665,3.319,1.3,1.7,0.5121,0.5121
M5,USD_CAD,248903,OK,0.5022,0.578,0.7134,0.9568,3.819,1.9,2.3,0.6023,0.6023
M5,USD_CHF,231276,OK,0.4908,0.6072,0.7214,0.9848,3.258,1.6,2.0,0.6138,0.6138
M5,NZD_USD,244604,OK,0.514,0.5786,0.6583,0.8367,3.104,1.6,2.0,0.6444,0.6444
M15,EUR_USD,80836,OK,0.2372,0.259,0.3224,0.4107,6.388,1.5,1.9,0.2974,0.2974
M15,GBP_USD,79510,OK,0.2176,0.2474,0.3001,0.3896,8.623,1.8,2.2,0.2551,0.2551
M15,USD_JPY,82086,OK,0.1719,0.1939,0.2351,0.3096,9.968,1.7,2.1,0.2107,0.2107
M15,AUD_USD,75584,OK,0.2094,0.2218,0.2574,0.3108,6.382,1.3,1.7,0.2664,0.2664
M15,USD_CAD,79443,OK,0.2624,0.2854,0.3472,0.439,7.307,1.9,2.3,0.3147,0.3147
M15,USD_CHF,72009,OK,0.2562,0.2919,0.3459,0.4404,6.328,1.6,2.0,0.3161,0.3161
M15,NZD_USD,76457,OK,0.2728,0.2888,0.3305,0.3894,5.889,1.6,2.0,0.3396,0.3396
M30,EUR_USD,39085,OK,0.1571,0.1663,0.2003,0.2464,9.551,1.5,1.9,0.1989,0.1989
M30,GBP_USD,38289,OK,0.1449,0.159,0.186,0.234,12.863,1.8,2.2,0.171,0.171
M30,USD_JPY,40033,OK,0.1159,0.1279,0.1539,0.1962,14.887,1.7,2.1,0.1411,0.1411
M30,AUD_USD,35906,OK,0.1396,0.1469,0.1685,0.2003,9.598,1.3,1.7,0.1771,0.1771
M30,USD_CAD,38196,OK,0.1738,0.1867,0.22,0.2718,10.956,1.9,2.3,0.2099,0.2099
M30,USD_CHF,34079,OK,0.1717,0.1872,0.2147,0.2614,9.442,1.6,2.0,0.2118,0.2118
M30,NZD_USD,35930,OK,0.1818,0.1913,0.2145,0.2504,8.827,1.6,2.0,0.2266,0.2266
