candidate_id,base_expectancy_r,stress_2x_expectancy_r
C026_TF_001,-0.18222502769616095,-0.7315176286030459
C026_TF_002,-0.14056557901937214,-0.6002854197204446
C026_TF_003,-0.16639030875877803,-0.6459304582489168
C026_TF_004,-0.06705635065498214,-0.26382248732362135
C026_TF_005,-0.03943440379429633,-0.23347394109318853
C026_TF_006,-0.06042978961606545,-0.21360884613450207
C026_TF_007,-0.07957190504555264,-0.28180432534273175
C026_TF_008,-0.03154114254084184,-0.16346647532624922
C026_TF_009,-0.009506080235628968,-0.1406365457770783
C026_TF_010,-0.008327065418631508,-0.11242048054679438
C026_TF_011,-0.031209542733845918,-0.1361777308508536
