candidate_id,hard_stop,fixed_target_2r,fixed_target_3r,breakeven_stop,atr_trailing_stop,donchian_channel_exit,time_stop,end_of_data
C026_TF_001,3474,1268,0,0,0,0,3800,2
C026_TF_002,2332,0,0,618,1353,0,2063,0
C026_TF_003,965,0,0,0,0,5630,614,0
C026_TF_004,876,256,0,0,0,0,1527,0
C026_TF_005,879,0,137,0,0,0,1254,0
C026_TF_006,583,0,0,120,242,0,1087,0
C026_TF_007,849,256,0,0,0,0,1309,0
C026_TF_008,601,152,0,0,0,0,1440,4
C026_TF_009,634,0,60,0,0,0,1201,4
C026_TF_010,393,0,0,54,126,0,1015,4
C026_TF_011,224,0,0,0,0,714,693,4
