candidate_id,execution_timeframe,eligible,min_trades_required,failed,single_pair_review_flag
C026_TF_001,M3,False,150,expectancy_gte_0|pf_gte_1_03|pairs_nonneg_gte_3|stress_2x_exp_gte_neg_0_005,False
C026_TF_002,M3,False,150,expectancy_gte_0|pf_gte_1_03|pairs_nonneg_gte_3|stress_2x_exp_gte_neg_0_005,False
C026_TF_003,M3,False,150,expectancy_gte_0|pf_gte_1_03|pairs_nonneg_gte_3|stress_2x_exp_gte_neg_0_005,False
C026_TF_004,M15,False,80,expectancy_gte_0|pf_gte_1_03|pairs_nonneg_gte_3|stress_2x_exp_gte_neg_0_005,False
C026_TF_005,M15,False,80,expectancy_gte_0|pf_gte_1_03|pairs_nonneg_gte_3|stress_2x_exp_gte_neg_0_005,False
C026_TF_006,M15,False,80,expectancy_gte_0|pf_gte_1_03|pairs_nonneg_gte_3|stress_2x_exp_gte_neg_0_005,False
C026_TF_007,M15,False,80,expectancy_gte_0|pf_gte_1_03|pairs_nonneg_gte_3|stress_2x_exp_gte_neg_0_005,False
C026_TF_008,M30,False,80,expectancy_gte_0|pf_gte_1_03|pairs_nonneg_gte_3|stress_2x_exp_gte_neg_0_005,False
C026_TF_009,M30,False,80,expectancy_gte_0|pf_gte_1_03|pairs_nonneg_gte_3|stress_2x_exp_gte_neg_0_005,False
C026_TF_010,M30,False,80,expectancy_gte_0|pf_gte_1_03|pairs_nonneg_gte_3|stress_2x_exp_gte_neg_0_005,False
C026_TF_011,M30,False,80,expectancy_gte_0|pf_gte_1_03|pairs_nonneg_gte_3|stress_2x_exp_gte_neg_0_005,False
