candidate_id,long_count,long_expectancy_r,short_count,short_expectancy_r
C026_TF_001,4282,-0.1888504238250896,4262,-0.17556854101758926
C026_TF_002,3178,-0.13153595865810305,3188,-0.1495668756028455
C026_TF_003,3591,-0.1528329279194728,3618,-0.17984651511420782
C026_TF_004,1336,-0.06880166320368847,1323,-0.06529388839869216
C026_TF_005,1132,-0.017588427815224364,1138,-0.06116519888068427
C026_TF_006,1003,-0.033751383321697116,1029,-0.08643410595547406
C026_TF_007,1206,-0.07747883009383448,1208,-0.08166151464139047
C026_TF_008,1078,-0.023479923349552286,1119,-0.039306999813594395
C026_TF_009,929,0.019608257216123318,970,-0.037389811671379364
C026_TF_010,780,0.0351350433773891,812,-0.050076381749784314
C026_TF_011,805,-0.0011333911178201242,830,-0.06037978616866613
