bar_time,oil_wti,oil,us_10y_yield,us10y,us_2y_yield,us2y,broad_usd_index,dxy,nasdaq_composite,nasdaq,sp500,vix,us_10y_minus_2y,broad_usd_index_1d_change,vix_1d_change,sp500_1d_return,oil_wti_1d_return
2020-01-01 22:00:00+00:00,61.14,61.14,1.92,1.92,1.58,1.58,114.669,114.669,8972.6,8972.6,3230.78,13.78,0.3399999999999998,-0.2558212156770323,-1.040000000000001,0.2946024729223451,-0.8433344145312938
2020-01-02 02:00:00+00:00,61.14,61.14,1.92,1.92,1.58,1.58,114.669,114.669,8972.6,8972.6,3230.78,13.78,0.3399999999999998,-0.2558212156770323,-1.040000000000001,0.2946024729223451,-0.8433344145312938
2020-01-02 06:00:00+00:00,61.14,61.14,1.92,1.92,1.58,1.58,114.669,114.669,8972.6,8972.6,3230.78,13.78,0.3399999999999998,-0.2558212156770323,-1.040000000000001,0.2946024729223451,-0.8433344145312938
2020-01-02 10:00:00+00:00,61.14,61.14,1.92,1.92,1.58,1.58,114.669,114.669,8972.6,8972.6,3230.78,13.78,0.3399999999999998,-0.2558212156770323,-1.040000000000001,0.2946024729223451,-0.8433344145312938
2020-01-02 14:00:00+00:00,61.14,61.14,1.92,1.92,1.58,1.58,114.669,114.669,8972.6,8972.6,3230.78,13.78,0.3399999999999998,-0.2558212156770323,-1.040000000000001,0.2946024729223451,-0.8433344145312938
2020-01-02 18:00:00+00:00,61.14,61.14,1.92,1.92,1.58,1.58,114.669,114.669,8972.6,8972.6,3230.78,13.78,0.3399999999999998,-0.2558212156770323,-1.040000000000001,0.2946024729223451,-0.8433344145312938
2020-01-02 22:00:00+00:00,61.14,61.14,1.92,1.92,1.58,1.58,114.669,114.669,8972.6,8972.6,3230.78,13.78,0.3399999999999998,-0.2558212156770323,-1.040000000000001,0.2946024729223451,-0.8433344145312938
2020-01-03 02:00:00+00:00,61.17,61.17,1.88,1.88,1.58,1.58,114.9745,114.9745,9092.19,9092.19,3257.85,12.47,0.2999999999999998,0.2664189972878539,-1.3099999999999987,0.8378781594537532,0.0490677134445505
2020-01-03 06:00:00+00:00,61.17,61.17,1.88,1.88,1.58,1.58,114.9745,114.9745,9092.19,9092.19,3257.85,12.47,0.2999999999999998,0.2664189972878539,-1.3099999999999987,0.8378781594537532,0.0490677134445505
2020-01-03 10:00:00+00:00,61.17,61.17,1.88,1.88,1.58,1.58,114.9745,114.9745,9092.19,9092.19,3257.85,12.47,0.2999999999999998,0.2664189972878539,-1.3099999999999987,0.8378781594537532,0.0490677134445505
2020-01-03 14:00:00+00:00,61.17,61.17,1.88,1.88,1.58,1.58,114.9745,114.9745,9092.19,9092.19,3257.85,12.47,0.2999999999999998,0.2664189972878539,-1.3099999999999987,0.8378781594537532,0.0490677134445505
2020-01-03 18:00:00+00:00,61.17,61.17,1.88,1.88,1.58,1.58,114.9745,114.9745,9092.19,9092.19,3257.85,12.47,0.2999999999999998,0.2664189972878539,-1.3099999999999987,0.8378781594537532,0.0490677134445505
2020-01-05 22:00:00+00:00,63.0,63.0,1.8,1.8,1.53,1.53,114.9867,114.9867,9020.77,9020.77,3234.85,14.02,0.27,0.0106110485368349,1.549999999999999,-0.7059870773669763,2.9916625796959195
2020-01-06 02:00:00+00:00,63.0,63.0,1.8,1.8,1.53,1.53,114.9867,114.9867,9020.77,9020.77,3234.85,14.02,0.27,0.0106110485368349,1.549999999999999,-0.7059870773669763,2.9916625796959195
2020-01-06 06:00:00+00:00,63.0,63.0,1.8,1.8,1.53,1.53,114.9867,114.9867,9020.77,9020.77,3234.85,14.02,0.27,0.0106110485368349,1.549999999999999,-0.7059870773669763,2.9916625796959195
2020-01-06 10:00:00+00:00,63.0,63.0,1.8,1.8,1.53,1.53,114.9867,114.9867,9020.77,9020.77,3234.85,14.02,0.27,0.0106110485368349,1.549999999999999,-0.7059870773669763,2.9916625796959195
2020-01-06 14:00:00+00:00,63.0,63.0,1.8,1.8,1.53,1.53,114.9867,114.9867,9020.77,9020.77,3234.85,14.02,0.27,0.0106110485368349,1.549999999999999,-0.7059870773669763,2.9916625796959195
2020-01-06 18:00:00+00:00,63.0,63.0,1.8,1.8,1.53,1.53,114.9867,114.9867,9020.77,9020.77,3234.85,14.02,0.27,0.0106110485368349,1.549999999999999,-0.7059870773669763,2.9916625796959195
2020-01-06 22:00:00+00:00,63.0,63.0,1.8,1.8,1.53,1.53,114.9867,114.9867,9020.77,9020.77,3234.85,14.02,0.27,0.0106110485368349,1.549999999999999,-0.7059870773669763,2.9916625796959195
2020-01-07 02:00:00+00:00,63.27,63.27,1.81,1.81,1.54,1.54,114.9557,114.9557,9071.46,9071.46,3246.28,13.85,0.27,-0.0269596396800686,-0.1699999999999999,0.3533394129557887,0.4285714285714226
2020-01-07 06:00:00+00:00,63.27,63.27,1.81,1.81,1.54,1.54,114.9557,114.9557,9071.46,9071.46,3246.28,13.85,0.27,-0.0269596396800686,-0.1699999999999999,0.3533394129557887,0.4285714285714226
2020-01-07 10:00:00+00:00,63.27,63.27,1.81,1.81,1.54,1.54,114.9557,114.9557,9071.46,9071.46,3246.28,13.85,0.27,-0.0269596396800686,-0.1699999999999999,0.3533394129557887,0.4285714285714226
2020-01-07 14:00:00+00:00,63.27,63.27,1.81,1.81,1.54,1.54,114.9557,114.9557,9071.46,9071.46,3246.28,13.85,0.27,-0.0269596396800686,-0.1699999999999999,0.3533394129557887,0.4285714285714226
2020-01-07 18:00:00+00:00,63.27,63.27,1.81,1.81,1.54,1.54,114.9557,114.9557,9071.46,9071.46,3246.28,13.85,0.27,-0.0269596396800686,-0.1699999999999999,0.3533394129557887,0.4285714285714226
2020-01-07 22:00:00+00:00,63.27,63.27,1.81,1.81,1.54,1.54,114.9557,114.9557,9071.46,9071.46,3246.28,13.85,0.27,-0.0269596396800686,-0.1699999999999999,0.3533394129557887,0.4285714285714226
2020-01-08 02:00:00+00:00,62.7,62.7,1.83,1.83,1.54,1.54,115.1477,115.1477,9068.58,9068.58,3237.18,13.79,0.29,0.1670208610795365,-0.0600000000000005,-0.2803208595685058,-0.9009009009009028
2020-01-08 06:00:00+00:00,62.7,62.7,1.83,1.83,1.54,1.54,115.1477,115.1477,9068.58,9068.58,3237.18,13.79,0.29,0.1670208610795365,-0.0600000000000005,-0.2803208595685058,-0.9009009009009028
2020-01-08 10:00:00+00:00,62.7,62.7,1.83,1.83,1.54,1.54,115.1477,115.1477,9068.58,9068.58,3237.18,13.79,0.29,0.1670208610795365,-0.0600000000000005,-0.2803208595685058,-0.9009009009009028
2020-01-08 14:00:00+00:00,62.7,62.7,1.83,1.83,1.54,1.54,115.1477,115.1477,9068.58,9068.58,3237.18,13.79,0.29,0.1670208610795365,-0.0600000000000005,-0.2803208595685058,-0.9009009009009028
2020-01-08 18:00:00+00:00,62.7,62.7,1.83,1.83,1.54,1.54,115.1477,115.1477,9068.58,9068.58,3237.18,13.79,0.29,0.1670208610795365,-0.0600000000000005,-0.2803208595685058,-0.9009009009009028
2020-01-08 22:00:00+00:00,62.7,62.7,1.83,1.83,1.54,1.54,115.1477,115.1477,9068.58,9068.58,3237.18,13.79,0.29,0.1670208610795365,-0.0600000000000005,-0.2803208595685058,-0.9009009009009028
2020-01-09 02:00:00+00:00,59.65,59.65,1.87,1.87,1.58,1.58,115.1328,115.1328,9129.24,9129.24,3253.05,13.45,0.29,-0.012939902403608,-0.3399999999999998,0.4902415064964138,-4.864433811802238
2020-01-09 06:00:00+00:00,59.65,59.65,1.87,1.87,1.58,1.58,115.1328,115.1328,9129.24,9129.24,3253.05,13.45,0.29,-0.012939902403608,-0.3399999999999998,0.4902415064964138,-4.864433811802238
2020-01-09 10:00:00+00:00,59.65,59.65,1.87,1.87,1.58,1.58,115.1328,115.1328,9129.24,9129.24,3253.05,13.45,0.29,-0.012939902403608,-0.3399999999999998,0.4902415064964138,-4.864433811802238
2020-01-09 14:00:00+00:00,59.65,59.65,1.87,1.87,1.58,1.58,115.1328,115.1328,9129.24,9129.24,3253.05,13.45,0.29,-0.012939902403608,-0.3399999999999998,0.4902415064964138,-4.864433811802238
