time,granularity,bid_o,bid_h,bid_l,bid_c,ask_o,ask_h,ask_l,ask_c,volume,complete
2024-01-02T18:00:00+00:00,D1AGG,1.10416,1.10444,1.09402,1.09498,1.10465,1.10477,1.09417,1.09514,77495,True
2024-01-03T18:00:00+00:00,D1AGG,1.09416,1.09648,1.08974,1.09061,1.09505,1.09663,1.08990,1.09075,80781,True
2024-01-04T18:00:00+00:00,D1AGG,1.09120,1.09717,1.09120,1.09498,1.09220,1.09732,1.09167,1.09513,79389,True
2024-01-05T18:00:00+00:00,D1AGG,1.09437,1.09978,1.08762,1.09455,1.09537,1.09993,1.08777,1.09471,101311,True
2024-01-08T18:00:00+00:00,D1AGG,1.09437,1.09783,1.09218,1.09640,1.09537,1.09797,1.09234,1.09655,73778,True
2024-01-09T18:00:00+00:00,D1AGG,1.09535,1.09657,1.09095,1.09335,1.09635,1.09673,1.09110,1.09349,74881,True
2024-01-10T18:00:00+00:00,D1AGG,1.09277,1.09685,1.09223,1.09666,1.09307,1.09699,1.09238,1.09680,63421,True
2024-01-11T18:00:00+00:00,D1AGG,1.09684,1.09989,1.09295,1.09502,1.09734,1.10005,1.09311,1.09516,98987,True
2024-01-12T18:00:00+00:00,D1AGG,1.09644,1.09863,1.09353,1.09489,1.09744,1.09878,1.09368,1.09505,85073,True
2024-01-15T18:00:00+00:00,D1AGG,1.09463,1.09668,1.09328,1.09474,1.09486,1.09683,1.09343,1.09490,55016,True
2024-01-16T18:00:00+00:00,D1AGG,1.09471,1.09505,1.08613,1.08624,1.09506,1.09529,1.08628,1.08639,100544,True
2024-01-17T18:00:00+00:00,D1AGG,1.08704,1.08839,1.08439,1.08664,1.08771,1.08854,1.08454,1.08678,87915,True
2024-01-18T18:00:00+00:00,D1AGG,1.08813,1.09060,1.08460,1.08590,1.08835,1.09075,1.08475,1.08605,88306,True
2024-01-19T18:00:00+00:00,D1AGG,1.08729,1.08927,1.08649,1.08890,1.08763,1.08943,1.08665,1.08905,73717,True
2024-01-22T18:00:00+00:00,D1AGG,1.08913,1.09090,1.08793,1.08955,1.08945,1.09105,1.08807,1.08972,63770,True
2024-01-23T18:00:00+00:00,D1AGG,1.08832,1.09153,1.08208,1.08307,1.08865,1.09168,1.08224,1.08322,70952,True
2024-01-24T18:00:00+00:00,D1AGG,1.08430,1.09317,1.08430,1.09046,1.08530,1.09331,1.08522,1.09061,82373,True
2024-01-25T18:00:00+00:00,D1AGG,1.08831,1.09010,1.08233,1.08370,1.08868,1.09032,1.08249,1.08386,86086,True
2024-01-26T18:00:00+00:00,D1AGG,1.08399,1.08852,1.08121,1.08630,1.08476,1.08878,1.08137,1.08646,75108,True
2024-01-29T18:00:00+00:00,D1AGG,1.08420,1.08494,1.07953,1.08109,1.08448,1.08512,1.07967,1.08124,58917,True
2024-01-30T18:00:00+00:00,D1AGG,1.08309,1.08567,1.08112,1.08380,1.08374,1.08581,1.08127,1.08396,71350,True
2024-01-31T18:00:00+00:00,D1AGG,1.08375,1.08868,1.08052,1.08491,1.08451,1.08883,1.08068,1.08505,86017,True
