prototype,mode,n_trades,strategy_expectancy,null_mean,null_p95,prob_null_ge_strategy,strategy_percentile,effect_size,flags
zscore_reversion_h4,timestamp_random_same_pair,11924,-3.36e-05,-0.0005219,-0.000411,0.0,100.0,5.995,BEATS_MATCHED_NULL
zscore_reversion_h4,side_shuffled,11924,-3.36e-05,-0.000365,-0.0002699,0.0,100.0,5.101,BEATS_MATCHED_NULL
zscore_reversion_h4,pair_matched_random,11924,-3.36e-05,-0.000371,-0.0002853,0.0,100.0,5.466,BEATS_MATCHED_NULL
zscore_reversion_h4,session_matched_random,11924,-3.36e-05,-0.0003744,-0.0002783,0.0,100.0,5.127,BEATS_MATCHED_NULL
zscore_reversion_h4,holding_period_matched_random,11924,-3.36e-05,-0.0003545,-0.0002242,0.0,100.0,3.69,BEATS_MATCHED_NULL
zscore_reversion_h4,full_matched_null,11924,-3.36e-05,-0.0003799,-0.0002642,0.0,100.0,5.017,BEATS_MATCHED_NULL
failed_breakout_fade_h4,timestamp_random_same_pair,8312,-7.4e-06,-0.0003614,-0.0002434,0.0,100.0,4.514,BEATS_MATCHED_NULL
failed_breakout_fade_h4,side_shuffled,8312,-7.4e-06,-0.0003638,-0.0002504,0.0,100.0,4.706,BEATS_MATCHED_NULL
failed_breakout_fade_h4,pair_matched_random,8312,-7.4e-06,-0.0003495,-0.0002138,0.0,100.0,4.091,BEATS_MATCHED_NULL
failed_breakout_fade_h4,session_matched_random,8312,-7.4e-06,-0.0003396,-0.0001747,0.0,100.0,3.55,BEATS_MATCHED_NULL
failed_breakout_fade_h4,holding_period_matched_random,8312,-7.4e-06,-0.0003409,-0.0002385,0.0,100.0,4.691,BEATS_MATCHED_NULL
failed_breakout_fade_h4,full_matched_null,8312,-7.4e-06,-0.0003657,-0.0002335,0.0,100.0,4.124,BEATS_MATCHED_NULL
