instrument,timeframe,n_bars,median_spread_pips,median_atr_pips,spread_atr_ratio,round_trip_cost_pips,cost_in_R_stop_1.0xATR,cost_in_R_stop_1.5xATR,opportunity_score,flags
USD_JPY,H1,39701,1.6,18.7824,0.09137,2.0,0.10648,0.07099,0.6345,COST_FEASIBLE
GBP_USD,H1,39699,1.9,17.5893,0.10803,2.3,0.13076,0.08717,0.5679,COST_FEASIBLE
AUD_USD,H1,39695,1.3,12.0813,0.11337,1.7,0.14071,0.09381,0.5465,COST_FEASIBLE
EUR_USD,H1,39700,1.5,13.2345,0.11583,1.9,0.14356,0.09571,0.5367,COST_FEASIBLE
USD_CAD,H1,39701,1.9,14.3384,0.13436,2.3,0.16041,0.10694,0.4626,COST_FEASIBLE
USD_CHF,H1,39696,1.7,11.2789,0.15302,2.1,0.18619,0.12413,0.3879,COST_FEASIBLE
NZD_USD,H1,39704,2.5,11.5087,0.221,2.9,0.25198,0.16799,0.116,COST_FEASIBLE
USD_JPY,H4,9937,1.6,41.3834,0.04323,2.0,0.04833,0.03222,0.8271,COST_FEASIBLE
GBP_USD,H4,9936,1.9,36.3956,0.05191,2.3,0.06319,0.04213,0.7923,COST_FEASIBLE
AUD_USD,H4,9936,1.4,25.507,0.05433,1.8,0.07057,0.04705,0.7827,COST_FEASIBLE
EUR_USD,H4,9936,1.5,27.907,0.05544,1.9,0.06808,0.04539,0.7783,COST_FEASIBLE
USD_CAD,H4,9936,1.9,29.9491,0.06491,2.3,0.0768,0.0512,0.7404,COST_FEASIBLE
USD_CHF,H4,9936,1.7,23.5839,0.07159,2.1,0.08904,0.05936,0.7137,COST_FEASIBLE
NZD_USD,H4,9940,2.4,24.385,0.09468,2.8,0.11482,0.07655,0.6213,COST_FEASIBLE
