instrument,timeframe,session,n_bars,median_spread_pips,median_atr_pips,spread_atr_ratio,round_trip_cost_pips,cost_in_R_stop_1.0xATR,cost_in_R_stop_1.5xATR,opportunity_score,flags
USD_JPY,H1,asian,13232,1.7,18.0286,0.09582,2.1,0.11648,0.07765,0.6167,COST_FEASIBLE
AUD_USD,H1,asian,13226,1.4,11.6045,0.11893,1.8,0.15511,0.10341,0.5243,COST_FEASIBLE
GBP_USD,H1,asian,13231,2.0,16.2135,0.12273,2.4,0.14803,0.09868,0.5091,COST_FEASIBLE
EUR_USD,H1,asian,13231,1.5,12.2842,0.12706,1.9,0.15467,0.10311,0.4918,COST_FEASIBLE
USD_CAD,H1,asian,13231,2.0,13.8612,0.14387,2.4,0.17315,0.11543,0.4245,COST_FEASIBLE
USD_CHF,H1,asian,13226,1.7,10.599,0.1662,2.1,0.19813,0.13209,0.3352,COST_FEASIBLE
NZD_USD,H1,asian,13226,2.5,11.2402,0.22714,2.9,0.258,0.172,0.0915,COST_FEASIBLE
USD_JPY,H1,london,9923,1.6,18.5502,0.08806,2.0,0.10782,0.07188,0.6478,COST_FEASIBLE
GBP_USD,H1,london,9923,1.8,16.5634,0.10706,2.2,0.13282,0.08855,0.5718,COST_FEASIBLE
AUD_USD,H1,london,9923,1.3,11.7783,0.11125,1.7,0.14433,0.09622,0.555,COST_FEASIBLE
EUR_USD,H1,london,9923,1.5,12.3091,0.11862,1.9,0.15436,0.1029,0.5255,COST_FEASIBLE
USD_CAD,H1,london,9923,1.8,13.1602,0.13818,2.2,0.16717,0.11145,0.4473,COST_FEASIBLE
USD_CHF,H1,london,9923,1.7,10.5517,0.15564,2.1,0.19902,0.13268,0.3774,COST_FEASIBLE
NZD_USD,H1,london,9923,2.4,11.1584,0.21878,2.8,0.25093,0.16729,0.1249,COST_FEASIBLE
USD_JPY,H1,london_ny_overlap,6619,1.5,20.1216,0.08164,1.9,0.09443,0.06295,0.6734,COST_FEASIBLE
GBP_USD,H1,london_ny_overlap,6619,1.8,19.2802,0.09041,2.2,0.11411,0.07607,0.6384,COST_FEASIBLE
EUR_USD,H1,london_ny_overlap,6619,1.5,14.4168,0.1002,1.9,0.13179,0.08786,0.5992,COST_FEASIBLE
AUD_USD,H1,london_ny_overlap,6619,1.3,12.7626,0.10332,1.7,0.1332,0.0888,0.5867,COST_FEASIBLE
USD_CAD,H1,london_ny_overlap,6619,1.8,15.0088,0.12078,2.2,0.14658,0.09772,0.5169,COST_FEASIBLE
USD_CHF,H1,london_ny_overlap,6619,1.6,12.2417,0.13336,2.0,0.16338,0.10892,0.4666,COST_FEASIBLE
NZD_USD,H1,london_ny_overlap,6619,2.4,12.0674,0.20471,2.8,0.23203,0.15469,0.1811,COST_FEASIBLE
USD_JPY,H1,ny,9927,1.7,19.3665,0.09605,2.1,0.10843,0.07229,0.6158,COST_FEASIBLE
GBP_USD,H1,ny,9926,1.9,19.315,0.09995,2.3,0.11908,0.07939,0.6002,COST_FEASIBLE
EUR_USD,H1,ny,9927,1.5,14.6737,0.10839,1.9,0.12948,0.08632,0.5664,COST_FEASIBLE
AUD_USD,H1,ny,9927,1.4,12.6347,0.11476,1.8,0.14246,0.09498,0.541,COST_FEASIBLE
USD_CAD,H1,ny,9928,1.9,15.9294,0.12452,2.3,0.14439,0.09626,0.5019,COST_FEASIBLE
USD_CHF,H1,ny,9928,1.7,12.3061,0.14322,2.1,0.17065,0.11376,0.4271,COST_FEASIBLE
NZD_USD,H1,ny,9936,2.6,11.9909,0.22717,3.0,0.25019,0.16679,0.0913,COST_FEASIBLE
USD_JPY,H4,asian,3312,1.6,40.8387,0.04034,2.0,0.04897,0.03265,0.8386,COST_FEASIBLE
GBP_USD,H4,asian,3311,1.9,35.546,0.05191,2.3,0.0647,0.04314,0.7923,COST_FEASIBLE
AUD_USD,H4,asian,3311,1.3,25.2564,0.05271,1.7,0.06731,0.04487,0.7892,COST_FEASIBLE
EUR_USD,H4,asian,3311,1.5,27.2102,0.05529,1.9,0.06983,0.04655,0.7788,COST_FEASIBLE
USD_CAD,H4,asian,3311,1.9,29.3735,0.06364,2.3,0.0783,0.0522,0.7455,COST_FEASIBLE
USD_CHF,H4,asian,3311,1.7,23.09,0.07089,2.1,0.09095,0.06063,0.7164,COST_FEASIBLE
NZD_USD,H4,asian,3311,2.4,24.2351,0.09176,2.8,0.11553,0.07702,0.6329,COST_FEASIBLE
USD_JPY,H4,london,2237,1.6,41.3316,0.04002,2.0,0.04839,0.03226,0.8399,COST_FEASIBLE
GBP_USD,H4,london,2237,1.8,36.2953,0.0472,2.2,0.06061,0.04041,0.8112,COST_FEASIBLE
AUD_USD,H4,london,2237,1.3,25.2583,0.05177,1.7,0.0673,0.04487,0.7929,COST_FEASIBLE
EUR_USD,H4,london,2237,1.5,27.6788,0.05227,1.9,0.06864,0.04576,0.7909,COST_FEASIBLE
USD_CAD,H4,london,2237,1.8,29.5788,0.06041,2.2,0.07438,0.04959,0.7584,COST_FEASIBLE
USD_CHF,H4,london,2237,1.6,23.2536,0.06769,2.0,0.08601,0.05734,0.7293,COST_FEASIBLE
NZD_USD,H4,london,2237,2.3,24.1789,0.08879,2.7,0.11167,0.07445,0.6448,COST_FEASIBLE
USD_JPY,H4,london_ny_overlap,1656,1.5,42.4633,0.03716,1.9,0.04474,0.02983,0.8514,COST_FEASIBLE
GBP_USD,H4,london_ny_overlap,1656,1.8,37.7234,0.04568,2.2,0.05832,0.03888,0.8173,COST_FEASIBLE
EUR_USD,H4,london_ny_overlap,1656,1.5,28.978,0.04938,1.9,0.06557,0.04371,0.8025,COST_FEASIBLE
AUD_USD,H4,london_ny_overlap,1656,1.3,26.0906,0.05081,1.7,0.06516,0.04344,0.7968,COST_FEASIBLE
USD_CAD,H4,london_ny_overlap,1656,1.8,30.7613,0.0573,2.2,0.07152,0.04768,0.7708,COST_FEASIBLE
USD_CHF,H4,london_ny_overlap,1656,1.6,24.4321,0.06418,2.0,0.08186,0.05457,0.7433,COST_FEASIBLE
NZD_USD,H4,london_ny_overlap,1656,2.3,24.8274,0.08854,2.7,0.10875,0.0725,0.6458,COST_FEASIBLE
USD_JPY,H4,ny,2732,2.0,41.3842,0.05497,2.4,0.05799,0.03866,0.7801,COST_FEASIBLE
EUR_USD,H4,ny,2732,1.7,28.2493,0.06341,2.1,0.07434,0.04956,0.7463,COST_FEASIBLE
AUD_USD,H4,ny,2732,1.6,25.6083,0.06369,2.0,0.0781,0.05207,0.7453,COST_FEASIBLE
GBP_USD,H4,ny,2732,2.3,36.7213,0.06419,2.7,0.07353,0.04902,0.7433,COST_FEASIBLE
USD_CAD,H4,ny,2732,2.2,30.2751,0.0794,2.6,0.08588,0.05725,0.6824,COST_FEASIBLE
USD_CHF,H4,ny,2732,2.1,23.9876,0.08643,2.5,0.10422,0.06948,0.6543,COST_FEASIBLE
NZD_USD,H4,ny,2736,2.7,24.4941,0.11175,3.1,0.12656,0.08437,0.553,COST_FEASIBLE
