instrument,timeframe,weekday,n_bars,median_spread_pips,median_atr_pips,spread_atr_ratio,round_trip_cost_pips,cost_in_R_stop_1.0xATR,cost_in_R_stop_1.5xATR,opportunity_score,flags
AUD_USD,H1,Monday,7924,1.3,11.6809,0.11608,1.7,0.14554,0.09702,0.5357,COST_FEASIBLE
AUD_USD,H1,Tuesday,7988,1.3,11.8052,0.11556,1.7,0.144,0.096,0.5378,COST_FEASIBLE
AUD_USD,H1,Wednesday,7919,1.3,12.1859,0.11296,1.7,0.13951,0.093,0.5481,COST_FEASIBLE
AUD_USD,H1,Thursday,7928,1.3,12.619,0.10841,1.7,0.13472,0.08981,0.5664,COST_FEASIBLE
AUD_USD,H1,Friday,7068,1.3,12.1534,0.11193,1.7,0.13988,0.09325,0.5523,COST_FEASIBLE
AUD_USD,H1,Sunday,868,1.6,12.1677,0.144,2.0,0.16437,0.10958,0.424,COST_FEASIBLE
EUR_USD,H1,Monday,7924,1.5,13.1126,0.11557,1.9,0.1449,0.0966,0.5377,COST_FEASIBLE
EUR_USD,H1,Tuesday,7988,1.5,12.7442,0.11976,1.9,0.14909,0.09939,0.521,COST_FEASIBLE
EUR_USD,H1,Wednesday,7921,1.5,13.1731,0.11674,1.9,0.14423,0.09616,0.5331,COST_FEASIBLE
EUR_USD,H1,Thursday,7931,1.5,13.7106,0.11091,1.9,0.13858,0.09239,0.5564,COST_FEASIBLE
EUR_USD,H1,Friday,7068,1.5,13.3078,0.11417,1.9,0.14277,0.09518,0.5433,COST_FEASIBLE
EUR_USD,H1,Sunday,868,1.8,13.7846,0.1454,2.2,0.1596,0.1064,0.4184,COST_FEASIBLE
GBP_USD,H1,Monday,7924,1.9,17.4092,0.10792,2.3,0.13211,0.08808,0.5683,COST_FEASIBLE
GBP_USD,H1,Tuesday,7988,1.9,16.9044,0.11158,2.3,0.13606,0.09071,0.5537,COST_FEASIBLE
GBP_USD,H1,Wednesday,7921,1.9,17.5195,0.10915,2.3,0.13128,0.08752,0.5634,COST_FEASIBLE
GBP_USD,H1,Thursday,7931,1.9,18.3512,0.10344,2.3,0.12533,0.08355,0.5862,COST_FEASIBLE
GBP_USD,H1,Friday,7068,1.8,17.6347,0.1052,2.2,0.12475,0.08317,0.5792,COST_FEASIBLE
GBP_USD,H1,Sunday,867,2.5,18.087,0.14765,2.9,0.16034,0.10689,0.4094,COST_FEASIBLE
NZD_USD,H1,Monday,7931,2.5,11.1778,0.22522,2.9,0.25944,0.17296,0.0991,COST_FEASIBLE
NZD_USD,H1,Tuesday,7988,2.5,11.1621,0.22745,2.9,0.25981,0.17321,0.0902,COST_FEASIBLE
NZD_USD,H1,Wednesday,7919,2.5,11.7373,0.21714,2.9,0.24708,0.16472,0.1314,COST_FEASIBLE
NZD_USD,H1,Thursday,7928,2.5,11.9264,0.2125,2.9,0.24316,0.16211,0.15,COST_FEASIBLE
NZD_USD,H1,Friday,7068,2.5,11.4638,0.21856,2.9,0.25297,0.16865,0.1257,COST_FEASIBLE
NZD_USD,H1,Sunday,870,2.9,11.98,0.26389,3.3,0.27546,0.18364,0.0,COST_HOSTILE
USD_CAD,H1,Monday,7924,1.9,14.2313,0.13417,2.3,0.16162,0.10774,0.4633,COST_FEASIBLE
USD_CAD,H1,Tuesday,7988,1.9,13.9593,0.13757,2.3,0.16476,0.10984,0.4497,COST_FEASIBLE
USD_CAD,H1,Wednesday,7921,1.9,14.2766,0.13543,2.3,0.1611,0.1074,0.4583,COST_FEASIBLE
USD_CAD,H1,Thursday,7931,1.9,14.665,0.13056,2.3,0.15684,0.10456,0.4778,COST_FEASIBLE
USD_CAD,H1,Friday,7068,1.9,14.4147,0.13164,2.3,0.15956,0.10637,0.4735,COST_FEASIBLE
USD_CAD,H1,Sunday,869,2.4,15.3605,0.16909,2.8,0.18229,0.12152,0.3237,COST_FEASIBLE
USD_CHF,H1,Monday,7924,1.7,11.3043,0.151,2.1,0.18577,0.12385,0.396,COST_FEASIBLE
USD_CHF,H1,Tuesday,7988,1.7,10.8841,0.15703,2.1,0.19294,0.12863,0.3719,COST_FEASIBLE
USD_CHF,H1,Wednesday,7919,1.7,11.1359,0.15603,2.1,0.18858,0.12572,0.3759,COST_FEASIBLE
USD_CHF,H1,Thursday,7928,1.7,11.7313,0.14718,2.1,0.17901,0.11934,0.4113,COST_FEASIBLE
USD_CHF,H1,Friday,7068,1.7,11.3199,0.15051,2.1,0.18551,0.12368,0.3979,COST_FEASIBLE
USD_CHF,H1,Sunday,869,2.3,12.002,0.19955,2.7,0.22496,0.14997,0.2018,COST_FEASIBLE
USD_JPY,H1,Monday,7924,1.6,18.4942,0.09136,2.0,0.10814,0.07209,0.6346,COST_FEASIBLE
USD_JPY,H1,Tuesday,7988,1.6,18.2776,0.09394,2.0,0.10942,0.07295,0.6243,COST_FEASIBLE
USD_JPY,H1,Wednesday,7921,1.6,18.5968,0.0932,2.0,0.10755,0.0717,0.6272,COST_FEASIBLE
USD_JPY,H1,Thursday,7932,1.6,19.2598,0.08836,2.0,0.10384,0.06923,0.6466,COST_FEASIBLE
USD_JPY,H1,Friday,7068,1.6,19.4767,0.08649,2.0,0.10269,0.06846,0.6541,COST_FEASIBLE
USD_JPY,H1,Sunday,868,2.1,18.6289,0.13378,2.5,0.1342,0.08947,0.4649,COST_FEASIBLE
AUD_USD,H4,Monday,1983,1.4,25.0343,0.05469,1.8,0.0719,0.04793,0.7812,COST_FEASIBLE
AUD_USD,H4,Tuesday,1996,1.4,25.2911,0.05477,1.8,0.07117,0.04745,0.7809,COST_FEASIBLE
AUD_USD,H4,Wednesday,1986,1.35,25.5274,0.0538,1.75,0.06855,0.0457,0.7848,COST_FEASIBLE
AUD_USD,H4,Thursday,1986,1.4,25.9382,0.05298,1.8,0.0694,0.04626,0.7881,COST_FEASIBLE
AUD_USD,H4,Friday,1655,1.4,25.6339,0.05515,1.8,0.07022,0.04681,0.7794,COST_FEASIBLE
AUD_USD,H4,Sunday,330,1.4,25.6879,0.0546,1.8,0.07007,0.04671,0.7816,COST_FEASIBLE
EUR_USD,H4,Monday,1983,1.5,28.026,0.05467,1.9,0.06779,0.0452,0.7813,COST_FEASIBLE
EUR_USD,H4,Tuesday,1996,1.5,27.2822,0.05638,1.9,0.06964,0.04643,0.7745,COST_FEASIBLE
EUR_USD,H4,Wednesday,1986,1.5,27.5588,0.05526,1.9,0.06894,0.04596,0.779,COST_FEASIBLE
EUR_USD,H4,Thursday,1986,1.5,28.3621,0.05406,1.9,0.06699,0.04466,0.7838,COST_FEASIBLE
EUR_USD,H4,Friday,1655,1.5,28.1545,0.05767,1.9,0.06748,0.04499,0.7693,COST_FEASIBLE
EUR_USD,H4,Sunday,330,1.5,28.3223,0.05514,1.9,0.06709,0.04472,0.7795,COST_FEASIBLE
GBP_USD,H4,Monday,1983,1.9,36.4229,0.0519,2.3,0.06315,0.0421,0.7924,COST_FEASIBLE
GBP_USD,H4,Tuesday,1996,1.9,35.7964,0.05252,2.3,0.06425,0.04283,0.7899,COST_FEASIBLE
