prototype,instrument,n,mean_post_cost,hit_rate
zscore_reversion_h4,AUD_USD,1692,0.000109,0.4905
zscore_reversion_h4,EUR_USD,1716,2e-06,0.5041
zscore_reversion_h4,GBP_USD,1677,-0.000139,0.4919
zscore_reversion_h4,NZD_USD,1705,-0.000253,0.4856
zscore_reversion_h4,USD_CAD,1705,-0.000104,0.488
zscore_reversion_h4,USD_CHF,1701,-0.000466,0.4539
zscore_reversion_h4,USD_JPY,1731,-0.000246,0.4766
failed_breakout_fade_h4,AUD_USD,1198,-0.000104,0.4925
failed_breakout_fade_h4,EUR_USD,1131,-0.000182,0.5004
failed_breakout_fade_h4,GBP_USD,1109,0.000161,0.5176
failed_breakout_fade_h4,NZD_USD,1256,0.000102,0.5088
failed_breakout_fade_h4,USD_CAD,1249,-0.00017,0.4652
failed_breakout_fade_h4,USD_CHF,1241,-0.00031,0.4835
failed_breakout_fade_h4,USD_JPY,1137,2e-05,0.4899
asia_range_breakout_h1,AUD_USD,1184,-0.000224,0.4721
asia_range_breakout_h1,EUR_USD,1459,-0.000105,0.4887
asia_range_breakout_h1,GBP_USD,1520,-0.000195,0.4796
asia_range_breakout_h1,NZD_USD,1241,-0.000398,0.4496
asia_range_breakout_h1,USD_CAD,1376,-0.000198,0.4578
asia_range_breakout_h1,USD_CHF,1503,-0.000304,0.4511
asia_range_breakout_h1,USD_JPY,1158,-6.3e-05,0.4948
ny_open_continuation_h1,AUD_USD,1654,-0.000351,0.4649
ny_open_continuation_h1,EUR_USD,1651,-0.000237,0.4664
ny_open_continuation_h1,GBP_USD,1654,-0.000177,0.474
ny_open_continuation_h1,NZD_USD,1651,-0.000618,0.4173
ny_open_continuation_h1,USD_CAD,1651,-0.000192,0.4682
ny_open_continuation_h1,USD_CHF,1651,-0.00025,0.4561
ny_open_continuation_h1,USD_JPY,1653,-0.000157,0.4658
vol_compression_expansion_h4,AUD_USD,482,-0.000363,0.4959
vol_compression_expansion_h4,EUR_USD,451,-0.000187,0.4678
vol_compression_expansion_h4,GBP_USD,407,-0.000604,0.4472
vol_compression_expansion_h4,NZD_USD,459,-0.001038,0.4248
vol_compression_expansion_h4,USD_CAD,471,-0.00033,0.4713
vol_compression_expansion_h4,USD_CHF,416,-0.00042,0.4712
vol_compression_expansion_h4,USD_JPY,512,-0.000182,0.5098
zscore_reversion_h4_usdjpy,USD_JPY,1731,-0.000246,0.4766
