prototype,session,n,mean_post_cost,hit_rate
zscore_reversion_h4,asia,3234,1.3e-05,0.4985
zscore_reversion_h4,late,1819,-0.000395,0.475
zscore_reversion_h4,london,2110,0.000107,0.5038
zscore_reversion_h4,london_ny_overlap,2588,-9.2e-05,0.4869
zscore_reversion_h4,new_york,2175,-0.000511,0.451
failed_breakout_fade_h4,asia,2528,2.7e-05,0.5123
failed_breakout_fade_h4,late,1025,-0.000178,0.479
failed_breakout_fade_h4,london,1632,6.4e-05,0.4853
failed_breakout_fade_h4,london_ny_overlap,1974,-0.000104,0.4914
failed_breakout_fade_h4,new_york,1156,-0.000257,0.4862
asia_range_breakout_h1,asia,3210,-0.000238,0.4766
asia_range_breakout_h1,london,6231,-0.0002,0.467
ny_open_continuation_h1,london_ny_overlap,11565,-0.000283,0.459
vol_compression_expansion_h4,asia,1176,-0.000296,0.4915
vol_compression_expansion_h4,late,338,-0.000413,0.4556
vol_compression_expansion_h4,london,776,-0.00051,0.4485
vol_compression_expansion_h4,london_ny_overlap,649,-0.000532,0.4638
vol_compression_expansion_h4,new_york,260,-0.000611,0.4846
zscore_reversion_h4_usdjpy,asia,505,-0.000621,0.4594
zscore_reversion_h4_usdjpy,late,280,-0.000825,0.4143
zscore_reversion_h4_usdjpy,london,313,0.000155,0.5304
zscore_reversion_h4_usdjpy,london_ny_overlap,359,0.000276,0.5042
zscore_reversion_h4_usdjpy,new_york,274,-0.000107,0.4745
