time,granularity,bid_o,bid_h,bid_l,bid_c,ask_o,ask_h,ask_l,ask_c,volume,complete
2024-01-02T22:00:00+00:00,H4,1.09993,1.10165,1.09853,1.10026,1.10008,1.10180,1.09868,1.10041,10000,True
2024-01-03T02:00:00+00:00,H4,1.10026,1.10205,1.09732,1.09912,1.10041,1.10220,1.09747,1.09927,10000,True
2024-01-03T06:00:00+00:00,H4,1.09912,1.10129,1.09777,1.09994,1.09927,1.10144,1.09792,1.10009,10000,True
2024-01-03T10:00:00+00:00,H4,1.09994,1.10249,1.09843,1.10098,1.10009,1.10264,1.09858,1.10113,10000,True
2024-01-03T14:00:00+00:00,H4,1.10098,1.10228,1.09753,1.09883,1.10113,1.10243,1.09768,1.09898,10000,True
2024-01-03T18:00:00+00:00,H4,1.09883,1.10009,1.09614,1.09740,1.09898,1.10024,1.09629,1.09755,10000,True
2024-01-03T22:00:00+00:00,H4,1.09740,1.09860,1.09634,1.09754,1.09755,1.09875,1.09649,1.09769,10000,True
2024-01-04T02:00:00+00:00,H4,1.09754,1.09900,1.09574,1.09719,1.09769,1.09915,1.09589,1.09734,10000,True
2024-01-04T06:00:00+00:00,H4,1.09719,1.09823,1.09614,1.09718,1.09734,1.09838,1.09629,1.09733,10000,True
2024-01-04T10:00:00+00:00,H4,1.09718,1.09871,1.09471,1.09624,1.09733,1.09886,1.09486,1.09639,10000,True
2024-01-04T14:00:00+00:00,H4,1.09624,1.09888,1.09457,1.09720,1.09639,1.09903,1.09472,1.09735,10000,True
2024-01-04T18:00:00+00:00,H4,1.09720,1.09950,1.09577,1.09806,1.09735,1.09965,1.09592,1.09821,10000,True
2024-01-04T22:00:00+00:00,H4,1.09806,1.09935,1.09683,1.09813,1.09821,1.09950,1.09698,1.09828,10000,True
2024-01-05T02:00:00+00:00,H4,1.09813,1.10084,1.09666,1.09937,1.09828,1.10099,1.09681,1.09952,10000,True
2024-01-05T06:00:00+00:00,H4,1.09937,1.10110,1.09815,1.09988,1.09952,1.10125,1.09830,1.10003,10000,True
2024-01-05T10:00:00+00:00,H4,1.09988,1.10151,1.09731,1.09894,1.10003,1.10166,1.09746,1.09909,10000,True
2024-01-05T14:00:00+00:00,H4,1.09894,1.10006,1.09822,1.09934,1.09909,1.10021,1.09837,1.09949,10000,True
2024-01-05T18:00:00+00:00,H4,1.09934,1.10055,1.09708,1.09829,1.09949,1.10070,1.09723,1.09844,10000,True
2024-01-05T22:00:00+00:00,H4,1.09829,1.09992,1.09763,1.09926,1.09844,1.10007,1.09778,1.09941,10000,True
2024-01-08T02:00:00+00:00,H4,1.09926,1.10008,1.09837,1.09920,1.09941,1.10023,1.09852,1.09935,10000,True
2024-01-08T06:00:00+00:00,H4,1.09920,1.10097,1.09723,1.09900,1.09935,1.10112,1.09738,1.09915,10000,True
2024-01-08T10:00:00+00:00,H4,1.09900,1.10061,1.09664,1.09825,1.09915,1.10076,1.09679,1.09840,10000,True
2024-01-08T14:00:00+00:00,H4,1.09825,1.10068,1.09717,1.09959,1.09840,1.10083,1.09732,1.09974,10000,True
2024-01-08T18:00:00+00:00,H4,1.09959,1.10042,1.09860,1.09942,1.09974,1.10057,1.09875,1.09957,10000,True
2024-01-08T22:00:00+00:00,H4,1.09942,1.09976,1.09861,1.09895,1.09957,1.09991,1.09876,1.09910,10000,True
2024-01-09T02:00:00+00:00,H4,1.09895,1.10009,1.09743,1.09857,1.09910,1.10024,1.09758,1.09872,10000,True
2024-01-09T06:00:00+00:00,H4,1.09857,1.10127,1.09645,1.09915,1.09872,1.10142,1.09660,1.09930,10000,True
2024-01-09T10:00:00+00:00,H4,1.09915,1.10102,1.09769,1.09955,1.09930,1.10117,1.09784,1.09970,10000,True
2024-01-09T14:00:00+00:00,H4,1.09955,1.10114,1.09842,1.10001,1.09970,1.10129,1.09857,1.10016,10000,True
2024-01-09T18:00:00+00:00,H4,1.10001,1.10195,1.09853,1.10048,1.10016,1.10210,1.09868,1.10063,10000,True
2024-01-09T22:00:00+00:00,H4,1.10048,1.10365,1.09967,1.10284,1.10063,1.10380,1.09982,1.10299,10000,True
2024-01-10T02:00:00+00:00,H4,1.10284,1.10406,1.10117,1.10239,1.10299,1.10421,1.10132,1.10254,10000,True
2024-01-10T06:00:00+00:00,H4,1.10239,1.10375,1.10047,1.10183,1.10254,1.10390,1.10062,1.10198,10000,True
2024-01-10T10:00:00+00:00,H4,1.10183,1.10312,1.09964,1.10093,1.10198,1.10327,1.09979,1.10108,10000,True
2024-01-10T14:00:00+00:00,H4,1.10093,1.10319,1.09935,1.10161,1.10108,1.10334,1.09950,1.10176,10000,True
