campaign,split,instrument,entry_time,side,attribution,weekday,session
C008,validation,GBP_USD,2024-01-16T06:00:00+00:00,long,risk_engine_or_orchestration_divergence,Tuesday,Asia/late
C008,train,USD_CAD,2022-01-24T10:00:00+00:00,short,risk_engine_or_orchestration_divergence,Monday,London
C008,train,USD_CAD,2022-02-04T10:00:00+00:00,short,risk_engine_or_orchestration_divergence,Friday,London
C008,train,USD_CAD,2022-02-24T06:00:00+00:00,short,risk_engine_or_orchestration_divergence,Thursday,Asia/late
C008,train,USD_CAD,2022-04-20T09:00:00+00:00,long,risk_engine_or_orchestration_divergence,Wednesday,London
C008,train,USD_CAD,2022-04-20T13:00:00+00:00,long,risk_engine_or_orchestration_divergence,Wednesday,London/NY overlap
C008,train,USD_CAD,2022-05-27T05:00:00+00:00,long,risk_engine_or_orchestration_divergence,Friday,Asia/late
C008,train,USD_CAD,2022-07-05T09:00:00+00:00,short,risk_engine_or_orchestration_divergence,Tuesday,London
C008,train,USD_CAD,2022-07-05T13:00:00+00:00,short,risk_engine_or_orchestration_divergence,Tuesday,London/NY overlap
C008,train,USD_CAD,2022-08-05T09:00:00+00:00,short,risk_engine_or_orchestration_divergence,Friday,London
C008,train,USD_CAD,2022-09-09T01:00:00+00:00,long,risk_engine_or_orchestration_divergence,Friday,Asia/late
C008,train,USD_CAD,2022-10-13T09:00:00+00:00,short,risk_engine_or_orchestration_divergence,Thursday,London
C008,train,USD_CAD,2022-10-26T05:00:00+00:00,long,risk_engine_or_orchestration_divergence,Wednesday,Asia/late
C008,train,USD_CAD,2022-11-28T02:00:00+00:00,short,risk_engine_or_orchestration_divergence,Monday,Asia/late
C008,train,USD_CAD,2022-12-05T14:00:00+00:00,short,risk_engine_or_orchestration_divergence,Monday,London/NY overlap
C008,train,USD_CAD,2022-12-16T14:00:00+00:00,short,risk_engine_or_orchestration_divergence,Friday,London/NY overlap
C008,train,USD_JPY,2020-04-28T09:00:00+00:00,long,backtrader_position_still_open,Tuesday,London
C008,train,USD_JPY,2020-05-06T13:00:00+00:00,long,risk_engine_or_orchestration_divergence,Wednesday,London/NY overlap
C008,train,USD_JPY,2020-05-29T01:00:00+00:00,long,risk_engine_or_orchestration_divergence,Friday,Asia/late
C008,train,USD_JPY,2020-06-23T13:00:00+00:00,long,risk_engine_or_orchestration_divergence,Tuesday,London/NY overlap
C008,train,USD_JPY,2020-07-10T01:00:00+00:00,long,risk_engine_or_orchestration_divergence,Friday,Asia/late
C008,train,USD_JPY,2020-07-24T01:00:00+00:00,long,risk_engine_or_orchestration_divergence,Friday,Asia/late
C008,train,USD_JPY,2020-08-11T13:00:00+00:00,short,risk_engine_or_orchestration_divergence,Tuesday,London/NY overlap
C008,train,USD_JPY,2020-08-25T05:00:00+00:00,short,risk_engine_or_orchestration_divergence,Tuesday,Asia/late
C008,train,USD_JPY,2020-08-27T13:00:00+00:00,short,risk_engine_or_orchestration_divergence,Thursday,London/NY overlap
C008,train,USD_JPY,2020-09-14T13:00:00+00:00,long,risk_engine_or_orchestration_divergence,Monday,London/NY overlap
