campaign_id,strategy_family,evidence_integrity_status,exit_reason,count,share_pct,expectancy_r,median_r,win_rate_pct,avg_bars_held
CAMPAIGN_008,mean_reversion,LIKELY_CONTAMINATED,eod,1,0.12,-0.037,-0.037,0.0,1.0
CAMPAIGN_008,mean_reversion,LIKELY_CONTAMINATED,stop,559,67.92,-0.7948,-1.0,0.0,10.19
CAMPAIGN_008,mean_reversion,LIKELY_CONTAMINATED,time,263,31.96,1.8801,1.3913,92.78,40.0
CAMPAIGN_008,mean_reversion,LIKELY_CONTAMINATED,stop@AUD_USD,105,,-1.0,-1.0,0.0,
CAMPAIGN_008,mean_reversion,LIKELY_CONTAMINATED,time@AUD_USD,59,,2.0925,1.6537,93.22,
CAMPAIGN_008,mean_reversion,LIKELY_CONTAMINATED,stop@EUR_USD,84,,-1.0,-1.0,0.0,
CAMPAIGN_008,mean_reversion,LIKELY_CONTAMINATED,time@EUR_USD,37,,3.0146,2.6853,94.59,
CAMPAIGN_008,mean_reversion,LIKELY_CONTAMINATED,stop@GBP_USD,101,,-1.0,-1.0,0.0,
CAMPAIGN_008,mean_reversion,LIKELY_CONTAMINATED,time@GBP_USD,54,,2.1717,1.8965,96.3,
CAMPAIGN_008,mean_reversion,LIKELY_CONTAMINATED,stop@USD_CAD,101,,-0.7612,-0.751,0.0,
CAMPAIGN_008,mean_reversion,LIKELY_CONTAMINATED,time@USD_CAD,31,,1.7133,1.7711,93.55,
CAMPAIGN_008,mean_reversion,LIKELY_CONTAMINATED,stop@USD_CHF,69,,-1.1105,-1.1092,0.0,
CAMPAIGN_008,mean_reversion,LIKELY_CONTAMINATED,time@USD_CHF,32,,2.7528,1.6341,87.5,
CAMPAIGN_008,mean_reversion,LIKELY_CONTAMINATED,stop@USD_JPY,99,,-0.0078,-0.0073,0.0,
CAMPAIGN_008,mean_reversion,LIKELY_CONTAMINATED,time@USD_JPY,50,,0.0199,0.0198,90.0,
